month_end,trade_date,next_trade_date,D10,LS,turnover_D10,turnover_LS,turnover_LS_reconst,turnover_LS_reweight,ls_gross_long,ls_gross_short,risk_ls_weighted_multiplier,risk_ls_weighted_score,risk_ls_flagged,risk_ls_high,risk_d10_weighted_multiplier,risk_d10_weighted_score,risk_d10_flagged,risk_d10_high,risk_universe_flagged,risk_universe_high,risk_universe_avg_multiplier,dispersion,dispersion_gate_active,CDI,BOVA11,LS_pre_overlay,beta_est,hedge_ratio,vt_scale,LS_vt,LS_pre_vt,LS_carry,LS_borrow_cost,LS_financing_net,LS_net
2016-04-29,2016-05-02,2016-06-01,-0.007614751059130509,-0.016153273821286306,0.26666666666666666,0.3003654970760234,0.18681278516804833,0.11355271190797506,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2746999990311583,1,0.011074872042450057,-0.10143266475644708,-0.00038893893313848355,0.037130823514041594,0.12700593324725545,1.21714101555728,-0.016153273821286306,-0.013271489182287042,0.006739840502457295,0.003915560971107846,0.0028242795313494487,-0.013328994289936856
2016-05-31,2016-06-01,2016-07-01,0.06063219288278706,-0.026386347630560664,0.20000000000000004,0.22290448343079947,0.12256335282651072,0.10034113060428874,0.5000000000000002,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2775267118338474,1,0.01160529755575812,0.06462585034013602,-0.03032786109486101,0.04702086545639087,0.12700593324725545,1.1928731464687816,-0.026386347630560664,-0.02211999466051457,0.006921823905521825,0.0038374908708973367,0.003084333034624488,-0.023302014595936175
2016-06-30,2016-07-01,2016-08-01,0.12692173920215616,-0.008891673728943854,0.035087719298245626,0.18834586466165396,0.11323611315871378,0.07510975150294018,0.5,0.5000000000000002,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9969879518072289,2.271345678798506,1,0.011074869886563032,0.11122204472843444,-0.021595401082492582,0.013230099241236375,0.12700593324725545,1.190390834026336,-0.008891673728943854,-0.0074695414940897775,0.006591711800499464,0.0038295052343987725,0.002762206566100691,-0.006129467162843163
2016-07-29,2016-08-01,2016-09-01,0.01107313280824661,0.0033945154944103567,0.23333333333333348,0.2304126328894129,0.17076187200026208,0.05965076088915081,0.5000000000000001,0.5000000000000001,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.259721147214453,1,0.012136000032068273,0.016172506738544534,0.0007141962521963634,-0.018418612855451672,0.12700593324725545,1.2262534511415235,0.0033945154944103567,0.0027682005634727396,0.007440905961188681,0.003944875813570092,0.003496030147618589,0.006890545642028945
2016-08-31,2016-09-01,2016-10-03,0.01359051243013267,-0.005266565070570063,0.1754385964912281,0.1385259826782145,0.09277046783625732,0.04575551484195717,0.5000000000000002,0.49999999999999994,0.9950843881856538,0.019662447257383944,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9969879518072289,2.2374617394325567,1,0.011074869449589686,0.007780725022104473,-0.0052931211036675,-0.01877317329223632,0.12700593324725545,1.2233819840096554,-0.005266565070570063,-0.004304922860894849,0.006774397879943474,0.003935638260576928,0.0028387596193665456,-0.002427805451203517
2016-09-30,2016-10-03,2016-11-01,0.06299275774552691,0.029188320540090622,0.14035087719298248,0.15903448639183862,0.0876661350345561,0.07136835135728252,0.5000000000000001,0.49999999999999994,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.320487295411014,1,0.010465588241214796,0.10545709773644485,0.010628959717690054,-0.016063372557258357,0.12700593324725545,1.2150340007507237,0.029188320540090622,0.024022636833254264,0.00635802277546647,0.003908782672754042,0.002449240102712428,0.03163756064280305
2016-10-31,2016-11-01,2016-12-01,-0.04745065774208298,0.03576472122438656,0.10526315789473668,0.120959677393086,0.07858630375560398,0.042373373637482004,0.5000000000000001,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3419414858021623,1,0.0103600668732724,-0.058730158730158744,0.03725905034230031,0.004910934822953626,0.12700593324725545,1.2001595691704103,0.03576472122438656,0.02979997172301705,0.006216866697601622,0.003860931402425582,0.00235593529517604,0.0381206565195626
2016-11-30,2016-12-01,2017-01-02,-0.0050300974339669334,0.0058250736488726996,0.07017543859649125,0.1052631578947369,0.07169475977525513,0.03356839811948177,0.5000000000000001,0.49999999999999994,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.323500724936763,1,0.011217621631425923,-0.022091062394603678,0.007594547296888673,-0.055142884589498814,0.12700593324725545,1.2163822350485731,0.0058250736488726996,0.004788851301038682,0.0068224578359815415,0.003913119962787894,0.0029093378731936473,0.008734411522066346
2016-12-29,2017-01-02,2017-02-01,0.079510714894981,0.0019162270219435964,0.1904761904761906,0.31413096736214635,0.20193856652883965,0.11219240083330671,0.5000000000000001,0.49999999999999983,0.9984177215189872,0.006329113924050633,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.9943181818181818,2.2022397319848426,1,0.010819091947400938,0.08639420589756841,-0.009413600191363296,-0.050421464375150146,0.12700593324725545,1.229157048448615,0.0019162270219435964,0.00155897655581292,0.006649181562480755,0.003954216729820666,0.0026949648326600895,0.004611191854603686
2017-01-31,2017-02-01,2017-03-01,0.08005384923429697,0.013253932669338232,0.22784810126582267,0.21810327506530028,0.1651784483132212,0.05292482675207908,0.49999999999999994,0.5,0.9968354430379746,0.012658227848101266,1.0,0.0,0.9928671890697207,0.02853124372111718,1.0,0.0,1.0,0.0,0.9970588235294118,2.2300791036972236,1,0.008611440762927636,0.03365079365079371,0.006439608692396806,-0.06417753528537634,0.12700593324725545,1.2371291560027495,0.013253932669338232,0.01071345914452668,0.00532673222150417,0.0039798631198424105,0.0013468691016617594,0.014600801770999991
