month_end,trade_date,next_trade_date,D10,LS,turnover_D10,turnover_LS,turnover_LS_reconst,turnover_LS_reweight,ls_gross_long,ls_gross_short,dispersion,dispersion_gate_active,CDI,BOVA11,LS_pre_overlay,beta_est,hedge_ratio,vt_scale,LS_vt,LS_pre_vt,LS_carry,LS_borrow_cost,LS_financing_net,LS_net
2020-04-30,2020-05-04,2020-06-01,0.13109018558823857,0.03996924505031424,0.24561403508771926,0.32623296264433826,0.2572677779455768,0.06896518469876144,0.49999999999999994,0.49999999999999983,2.23718576505185,1,0.002329187792233345,0.11214580284688025,0.01851580974836629,-0.004407415756894659,0.1532754564949134,1.1194296349760489,0.03996924505031424,0.03570500887371042,0.0013036809200252207,0.0036012219887330225,-0.0022975410687078018,0.037671703981606436
2020-05-29,2020-06-01,2020-07-01,0.21022185648901218,0.009874861571431472,0.3174603174603174,0.44773080185154396,0.3757172527776238,0.07201354907392007,0.5,0.5,2.0938789585629998,1,0.0020941888350856086,0.09904306220095704,-0.006353563548518318,0.003813169465647359,0.1532754564949134,1.1186720418487797,0.009874861571431472,0.008827307022987476,0.0011713552500810676,0.0035987848002370327,-0.002427429550155965,0.007447432021275507
2020-06-30,2020-07-01,2020-08-03,0.11122061385750305,0.04775924303796465,0.19999999999999996,0.26589715854410234,0.19327777091398293,0.0726193876301194,0.5,0.49999999999999994,2.2193880026680786,1,0.0019433895950817792,0.08794079233783192,0.029016619578849896,-0.0037001516697484343,0.1532754564949134,1.1238583640709736,0.04775924303796465,0.04249578466895547,0.0010920473255405798,0.00361546927690592,-0.0025234219513653403,0.045235821086599314
2020-07-31,2020-08-03,2020-09-01,0.03120993880509283,0.02714591994240629,0.28070175438596484,0.37217785315784496,0.2906205912431596,0.08155726191468539,0.5,0.5000000000000001,2.1499345570178217,1,0.0015891896058524146,-0.033813525410164025,0.02885344050435563,0.00565526483101333,0.1532754564949134,1.1468173437966478,0.02714591994240629,0.023670656961410387,0.0009112551012864541,0.0036893286603308945,-0.0027780735590444403,0.024367846383361848
2020-08-31,2020-09-01,2020-10-01,-0.07084198072018988,-0.00817430250716789,0.42105263157894735,0.33533281733746106,0.2669719642242862,0.0683608531131749,0.49999999999999994,0.5,2.151670988210845,1,0.0015697104905443293,-0.05425553944916128,0.0012083496001122137,-0.002803140107757189,0.1532754564949134,1.1500640973636986,-0.00817430250716789,-0.007107692976335764,0.0009026338392150963,0.003699773515435977,-0.0027971396762208806,-0.01097144218338877
2020-09-30,2020-10-01,2020-11-03,-0.018710350801378197,0.003992928543455175,0.26666666666666666,0.3043845315904139,0.23508986928104578,0.06929466230936812,0.5,0.49999999999999983,2.1223531056663854,1,0.0015697095238564884,0.008211079483249506,0.0021993275137932354,0.004693289599847467,0.1532754564949134,1.154731622241173,0.003992928543455175,0.003457884469904321,0.0009062966124651108,0.0037147890132364055,-0.0028084924007712947,0.00118443614268388
2020-10-30,2020-11-03,2020-12-01,0.13344262925276515,-0.02777079720946035,0.2456140350877193,0.23839009287925703,0.19878721461341495,0.039602878265842065,0.49999999999999983,0.49999999999999983,2.120591058685901,1,0.0014949081856194812,0.1562601802584429,-0.048117507100201025,0.004293057718642381,0.1532754564949134,1.1491369130687594,-0.02777079720946035,-0.024166656639110735,0.000858927088871995,0.003696790749600395,-0.0028378636607284,-0.03060866087018875
2020-11-30,2020-12-01,2021-01-04,0.09090851326529675,0.025985006464295052,0.22222222222222218,0.2302506481725508,0.16652037704452072,0.06373027112803009,0.5000000000000001,0.49999999999999983,2.148564277337577,1,0.0016445227761876513,0.08564988730277978,0.009184226734837899,-0.06546787553344094,0.1532754564949134,1.1646070555035157,0.025985006464295052,0.022312252309909356,0.0009576114140421835,0.0037465584307160267,-0.0027889470166738432,0.02319605944762121
2020-12-30,2021-01-04,2021-02-01,-0.011026270154129445,0.021804689410517945,0.23333333333333328,0.2501867413632119,0.22347300031123563,0.02671374105197628,0.5,0.49999999999999983,2.1702788141316165,1,0.0014949050415158371,-0.025519031141868376,0.02255941191491601,-0.05708323698189413,0.1532754564949134,1.1692794718827366,0.021804689410517945,0.01864797076733822,0.000873980888729239,0.003761589664551217,-0.002887608775821978,0.018917080634695965
2021-01-29,2021-02-01,2021-03-01,-0.012374002264647561,0.009306807972931298,0.19999999999999996,0.3537209035661047,0.2763974888200894,0.0773234147460153,0.49999999999999983,0.5,2.182960793021199,1,0.0013453159677381255,-0.04651575676875286,0.015083700020487279,-0.06790141436489797,0.1532754564949134,1.1700824564825945,0.009306807972931298,0.007953976167550326,0.0007870653061381423,0.0037641728780978957,-0.0029771075719597535,0.006329700400971545
2021-02-26,2021-03-01,2021-04-01,0.057913676130896784,3.499241575009436e-05,0.22222222222222218,0.34088693957115024,0.27515838206627674,0.06572855750487351,0.4999999999999998,0.5,2.140610317675302,1,0.0020400371728519495,0.04580579089470249,-0.00699101819969979,-0.067728091156916,0.1532754564949134,1.1708901794435445,3.499241575009436e-05,2.9885309796281838e-05,0.00119432974569606,0.0037667713350235422,-0.002572441589327482,-0.002537449173577388
2021-03-31,2021-04-01,2021-05-03,0.12634305986970518,0.04855181896244025,0.25396825396825395,0.4666642095434663,0.3360398545383066,0.1306243550051598,0.5,0.49999999999999994,2.225884499699606,1,0.0020779463982052437,0.02643995370782526,0.035804049320541605,-0.07187333918850126,0.1532754564949134,1.2181612025625994,0.04855181896244025,0.0398566452948129,0.0012656368416491606,0.003918842928062875,-0.0026532060864137147,0.045898612876026534
