month_end,rolling_beta
2011-01-31,
2011-02-28,
2011-03-31,
2011-04-29,
2011-05-31,
2011-06-30,
2011-07-29,
2011-08-31,
2011-09-30,
2011-10-31,
2011-11-30,
2011-12-29,
2012-01-31,
2012-02-29,
2012-03-30,
2012-04-30,
2012-05-31,
2012-06-29,
2012-07-31,
2012-08-31,
2012-09-28,
2012-10-31,
2012-11-30,
2012-12-28,
2013-01-31,
2013-02-28,
2013-03-28,
2013-04-30,
2013-05-31,
2013-06-28,
2013-07-31,
2013-08-30,
2013-09-30,
2013-10-31,
2013-11-29,
2013-12-30,-0.10251644308757474
2014-01-31,-0.1012449401519633
2014-02-28,-0.10025798807159224
2014-03-31,-0.09352581164656817
2014-04-30,-0.09200107860992468
2014-05-30,-0.08523182006660901
2014-06-30,-0.0827667703714571
2014-07-31,-0.10654572640529299
2014-08-29,-0.1259501312635646
2014-09-30,-0.12269112369637096
2014-10-31,-0.12562202051070762
2014-11-28,-0.13000296475635578
2014-12-30,-0.1405459789891023
2015-01-30,-0.13310591602515157
2015-02-27,-0.1275165154778753
2015-03-31,-0.14272981283927708
2015-04-30,-0.17377886030692938
2015-05-29,-0.17607006788423252
2015-06-30,-0.1825935776533463
2015-07-31,-0.18188443020283737
2015-08-31,-0.1830202613447964
2015-09-30,-0.1890749589745356
2015-10-30,-0.1904290703509063
2015-11-30,-0.1746045964882902
2015-12-30,-0.16901259534912658
2016-01-29,-0.17201847645011423
2016-02-29,-0.1593247227681224
2016-03-31,-0.13196844322220463
2016-04-29,-0.10435738998566557
2016-05-31,-0.11072892461774905
2016-06-30,-0.11743677646955002
2016-07-29,-0.10974949681035977
2016-08-31,-0.10975118863819874
2016-09-30,-0.10195468736646923
2016-10-31,-0.09390580075931738
2016-11-30,-0.09438700684725303
2016-12-29,-0.104050568878353
2017-01-31,-0.1002237860909805
2017-02-24,-0.09939389426719494
2017-03-31,-0.09892815088767815
2017-04-28,-0.08946890587348535
2017-05-31,-0.09152820373950118
2017-06-30,-0.08825613211650722
2017-07-31,-0.0677012307718525
2017-08-31,-0.05381232870617263
2017-09-29,-0.05383111220473898
2017-10-31,-0.04734371557759205
2017-11-30,-0.021571558663570946
2017-12-28,-0.012946836817210797
2018-01-31,-0.0073110288325903385
2018-02-28,-0.007338367958659815
2018-03-29,0.017322418906354522
2018-04-30,0.032887923417938454
2018-05-30,0.039627127480762074
2018-06-29,0.041456573759700986
2018-07-31,0.06510494354638731
2018-08-31,0.07450426643615811
2018-09-28,0.05833390247016561
2018-10-31,0.06167530270356384
2018-11-30,0.07361646420873044
2018-12-28,0.06369400098579867
2019-01-31,0.06817361055643445
2019-02-28,0.08580385299607993
2019-03-29,0.06927940554410832
2019-04-30,0.054709901829303714
2019-05-31,0.056586030467644405
2019-06-28,0.0788550114045197
2019-07-31,0.08380531307830245
2019-08-30,0.08332986920667124
2019-09-30,0.07455734839158121
2019-10-31,0.09047922529435232
2019-11-29,0.0922159174866163
2019-12-30,0.085659087066807
2020-01-31,0.06896505796706807
2020-02-28,0.06781425946423553
2020-03-31,0.0656294433595227
2020-04-30,0.06592806172123968
2020-05-29,0.05753182872291107
2020-06-30,0.054259932683940054
2020-07-31,0.04777915931268489
2020-08-31,0.044121436032336855
2020-09-30,0.044145145271364775
2020-10-30,0.022095638618516752
2020-11-30,0.015377814516117663
2020-12-30,0.007728164987202309
2021-01-29,0.004510808011671912
2021-02-26,0.009750418306041403
2021-03-31,0.01320857344051774
2021-04-30,0.009266618048733601
2021-05-31,0.010257002017842957
2021-06-30,0.010983360664474348
2021-07-30,0.003847199575795721
2021-08-31,0.0030085089843602127
2021-09-30,0.015939703087340246
2021-10-29,0.015553570452475877
2021-11-30,0.01394824514668742
2021-12-30,0.017346360719534742
2022-01-31,0.01821251412617091
2022-02-25,0.02205053010016879
2022-03-31,0.0016026473519511024
2022-04-29,0.005394430822316781
2022-05-31,-0.009221112644230077
2022-06-30,-0.013357868193258857
2022-07-29,-0.02288199987859839
2022-08-31,-0.02052295515967126
2022-09-30,-0.01916815872800823
2022-10-31,-0.026975382939324825
2022-11-30,-0.027351909770724905
2022-12-29,-0.032759186996322485
2023-01-31,-0.04091678365674741
2023-02-28,-0.14337535442606741
2023-03-31,-0.1496774091021569
2023-04-28,-0.17091545691821852
2023-05-31,-0.1429199197299945
2023-06-30,-0.14945464868265906
2023-07-31,-0.15788588345800159
2023-08-31,-0.16234836062991212
2023-09-29,-0.1578805162767031
2023-10-31,-0.11775096258384585
2023-11-30,-0.126210033382696
2023-12-28,-0.12865946929313074
2024-01-31,-0.1323464466867027
2024-02-29,-0.14380650605228615
2024-03-28,-0.1559387840684109
2024-04-30,-0.12739922096651068
2024-05-31,-0.13085519567437473
2024-06-28,-0.13746025602315748
2024-07-31,-0.12647224645946947
2024-08-30,-0.1328404192762424
2024-09-30,-0.1637008999645816
2024-10-31,-0.16054945489768332
2024-11-29,-0.1574192101982694
2024-12-30,-0.15258608759815717
2025-01-31,-0.15017093084236907
2025-02-28,-0.19348446715870407
2025-03-31,-0.16917615214943701
2025-04-30,-0.1755213407679489
2025-05-30,-0.16270786955500322
2025-06-30,-0.15329599246352366
2025-07-31,-0.11684619243603457
2025-08-29,-0.1241745808509439
2025-09-30,-0.12628997600772363
