month_end,trade_date,next_trade_date,D10,LS,turnover_D10,turnover_LS,turnover_LS_reconst,turnover_LS_reweight,CDI,BOVA11,LS_pre_overlay,beta_est,hedge_ratio,vt_scale,LS_vt,LS_pre_vt
2011-01-31,2011-02-01,2011-03-01,-0.0319489068571389,-0.0035333087804436526,0.0,7.401486830834377e-17,0.0,7.401486830834377e-17,0.008425009434362085,-0.0011961722488037507,-0.0035333087804436526,0.0,0.0,1.0,-0.0035333087804436526,-0.0035333087804436526
2011-02-28,2011-03-01,2011-04-01,0.04119474933122356,0.035768226211780614,0.19999999999999998,0.3666666666666667,0.225,0.1416666666666667,0.009206833909138457,0.017964071856287456,0.035768226211780614,0.0,0.0,1.0,0.035768226211780614,0.035768226211780614
2011-03-31,2011-04-01,2011-05-02,0.019883346964391185,0.057022247418307116,0.26666666666666666,0.2878787878787879,0.16774891774891773,0.12012987012987021,0.008396233613529702,-0.03676470588235292,0.057022247418307116,0.0,0.0,1.0,0.057022247418307116,0.057022247418307116
2011-04-29,2011-05-02,2011-06-01,0.019154884435780777,0.03774550959823051,0.22222222222222224,0.41548821548821574,0.2791726791726792,0.1363155363155365,0.009853034390991944,-0.029312977099236637,0.03774550959823051,0.0,0.0,1.0,0.03774550959823051,0.03774550959823051
2011-05-31,2011-06-01,2011-07-01,-0.031359784152256286,0.012928624103026762,0.2666666666666666,0.3026936026936028,0.21384680134680137,0.08884680134680141,0.009535252207044431,-0.0301981755268953,0.012928624103026762,0.0,0.0,1.0,0.012928624103026762,0.012928624103026762
2011-06-30,2011-07-01,2011-08-01,-0.03126158199515041,0.05241640174430192,0.30303030303030304,0.35589225589225587,0.2520202020202021,0.10387205387205384,0.009675260632866944,-0.05124878365228669,0.05241640174430192,0.0,0.0,1.0,0.05241640174430192,0.05241640174430192
2011-07-29,2011-08-01,2011-09-01,0.003473376482083059,0.014465302002293089,0.22222222222222224,0.21641414141414153,0.14987373737373738,0.06654040404040414,0.010704896208957981,-0.029401709401709386,0.021396974221924905,-0.23575745630724507,0.23575745630724507,1.0,0.014465302002293089,0.014465302002293089
2011-08-31,2011-09-01,2011-10-03,-0.072311532418101,-0.015519825718890167,0.29629629629629634,0.38518518518518513,0.2735449735449736,0.1116402116402115,0.009398254167376052,-0.09915463191264529,0.007685099190588264,-0.2340276441137097,0.2340276441137097,1.0,-0.015519825718890167,-0.015519825718890167
2011-09-30,2011-10-03,2011-11-01,0.06413213725116776,0.03989506154545777,0.30303030303030304,0.28611111111111115,0.1986111111111111,0.08750000000000001,0.008789482465142662,0.08856304985337249,0.01916885963274799,0.08259161654838564,0.2340276441137097,1.0,0.03989506154545777,0.03989506154545777
2011-10-31,2011-11-01,2011-12-01,0.0594311337979111,0.09131085213276431,0.3333333333333332,0.27870370370370384,0.18697089947089948,0.09173280423280437,0.008567424211848751,0.025502873563218342,0.08534247471463452,-0.0017078703110957087,0.2340276441137097,1.0,0.09131085213276431,0.09131085213276431
2011-11-30,2011-12-01,2012-01-02,0.02927497055773517,0.047290282738245794,0.26666666666666666,0.3111111111111111,0.19788359788359786,0.11322751322751325,0.009047373489255106,-0.010332749562171673,0.049708431775497795,0.06018980671578892,0.2340276441137097,1.0,0.047290282738245794,0.047290282738245794
2011-12-29,2012-01-02,2012-02-01,0.07730235327941347,0.020097517843397993,0.22222222222222224,0.3601851851851852,0.21944444444444447,0.14074074074074075,0.00883164575843809,0.10953813484339059,-0.005464875642934487,0.05824362551973916,0.2340276441137097,0.9964026832772571,0.020097517843397993,0.020170075995074067
2012-01-31,2012-02-01,2012-03-01,0.08665109988019877,0.004322896064633029,0.2666666666666666,0.27592592592592596,0.19814814814814816,0.07777777777777782,0.007414836145679615,0.0389154704944179,-0.004791742562825247,-0.07619565284851677,0.2340276441137097,1.0017014615587987,0.004322896064633029,0.004315553316559956
2012-02-29,2012-03-01,2012-04-02,0.037906217198801585,0.060314108915661,0.13333333333333333,0.10370370370370378,0.07037037037037037,0.03333333333333341,0.008054920154665135,-0.032238256063862436,0.06775199349620496,-0.09164938899844345,0.2340276441137097,1.0017731811106751,0.060314108915661,0.06020735037924472
2012-03-30,2012-04-02,2012-05-02,-0.020378770263157674,0.04537365137257418,0.2777777777777778,0.3589225589225589,0.30892255892255893,0.04999999999999999,0.006971980611159889,-0.037753807106599035,0.04921270968290078,-0.14094510305739658,0.14094510305739658,1.0337686357674691,0.04537365137257418,0.0438914954494521
2012-04-30,2012-05-02,2012-06-01,-0.20386125595296267,-0.014943687914930162,0.30303030303030304,0.40740740740740744,0.3148148148148148,0.09259259259259263,0.0073093626688405244,-0.13748763600395641,0.004592007387646635,-0.14477728735231243,0.14477728735231243,0.9758773746190984,-0.014943687914930162,-0.015313079597488299
2012-05-31,2012-06-01,2012-07-02,-0.001657967269415801,0.001928547141910525,0.3030303030303031,0.4498316498316499,0.35500841750841755,0.09482323232323232,0.006386582234745086,0.020451070336391375,-0.0009934953730910655,0.0038771614640658375,0.14477728735231243,0.9802740382338806,0.001928547141910525,0.0019673551136630213
2012-06-29,2012-07-02,2012-08-01,0.023904404806068754,-0.007971546048964148,0.3888888888888889,0.26313131313131316,0.1709175084175084,0.0922138047138048,0.0067345607664746066,0.05206967596928269,-0.015782787649252006,-0.02220355282715618,0.14477728735231243,0.966918260886104,-0.007971546048964148,-0.008244281209105368
2012-07-31,2012-08-01,2012-09-03,-0.013170553697881998,-0.045291398580697695,0.3888888888888889,0.3383838383838385,0.2358585858585859,0.10252525252525257,0.006849965314555062,0.004094712479971507,-0.05454106489591356,-0.06730329584451189,0.14477728735231243,0.8395342575894693,-0.045291398580697695,-0.053948243530575625
2012-08-31,2012-09-03,2012-10-01,-0.028028750056494633,-0.03349596700956315,0.3888888888888889,0.37373737373737387,0.3109427609427609,0.06279461279461289,0.005369965266185606,0.03280141843971629,-0.04704015156604816,-0.07886396315524388,0.14477728735231243,0.7920306463526346,-0.03349596700956315,-0.04229125118303792
2012-09-28,2012-10-01,2012-11-01,0.013477232306305978,0.02343629998899515,0.2222222222222222,0.1994949494949496,0.1618686868686869,0.03762626262626271,0.006063543747743205,-0.030214592274678043,0.03326821273471706,-0.1177010034987204,0.14477728735231243,0.8111179172779508,0.02343629998899515,0.02889382602673304
2012-10-31,2012-11-01,2012-12-03,0.020574214124724082,0.0035647084882698436,0.3333333333333332,0.3156565656565657,0.2638888888888889,0.05176767676767674,0.005443435742476632,0.0070808992742077415,0.0032048828016429873,-0.15571676415292832,0.15571676415292832,0.8275590336334284,0.0035647084882698436,0.004307497523915436
2012-11-30,2012-12-03,2013-01-02,0.05047060870012388,-0.012110051259324961,0.35897435897435886,0.4653457653457653,0.3538850038850039,0.1114607614607614,0.005336783593778316,0.06890490420108986,-0.025160740214524368,-0.15337491377839269,0.15337491377839269,0.8298843502524521,-0.012110051259324961,-0.014592456473773803
2012-12-28,2013-01-02,2013-02-01,0.014727655686169905,0.01723068744878032,0.2777777777777778,0.32634032634032645,0.2502072002072002,0.07613312613312624,0.005867469311010121,-0.034862687058049735,0.025992617032199433,-0.16301233488956268,0.16301233488956268,0.8484024174324929,0.01723068744878032,0.020309569014342607
2013-01-31,2013-02-01,2013-03-01,0.021540147157011618,0.03679957592851924,0.28571428571428564,0.4220842716605428,0.37147994543238544,0.05060432622815728,0.004816879234908811,-0.05213835406372458,0.05280397262479072,-0.1888840451216832,0.1888840451216832,0.8566832993895088,0.03679957592851924,0.04295586940324787
2013-02-28,2013-03-01,2013-04-01,0.011559501094186334,0.04386338107013207,0.30769230769230765,0.2757590621712829,0.2234678558044009,0.05229120636688195,0.005378582620114258,-0.013122415962610212,0.05434624297560828,-0.24745943982407181,0.24745943982407181,0.8584003714269304,0.04386338107013207,0.051098977272362296
2013-03-28,2013-04-01,2013-05-02,0.00872519074365921,0.049731619454822254,0.24242424242424246,0.3341103341103342,0.257964257964258,0.07614607614607624,0.006016252919069931,-0.012750455373406133,0.06150097015431057,-0.2569602446097333,0.2569602446097333,0.854134006830704,0.049731619454822254,0.05822461002267464
2013-04-30,2013-05-02,2013-06-03,-0.04687648211068398,-0.010444617405355518,0.4761904761904761,0.38754996538710623,0.3392287935737018,0.048321171813404416,0.00586678014293307,-0.030996309963099655,-0.003987549483193212,-0.2654329965126459,0.2654329965126459,0.8550653672801727,-0.010444617405355518,-0.012214992917533533
2013-05-31,2013-06-03,2013-07-01,-0.11098073681842191,0.01818739743035963,0.30769230769230765,0.36395789297128606,0.3111842502603094,0.05277364271097664,0.005919441025405314,-0.11462300076161469,0.0442352177088896,-0.2036942324737409,0.2036942324737409,0.8707447846521558,0.01818739743035963,0.020887173544915476
2013-06-28,2013-07-01,2013-08-01,0.106225654909978,0.06209750989092317,0.30303030303030304,0.27321149537435474,0.2249273207959649,0.04828417457838985,0.0071068152139550644,0.030322580645161246,0.0687266783644462,-0.14462647560519046,0.14462647560519046,0.8493462439718039,0.06209750989092317,0.07311212633441003
2013-07-31,2013-08-01,2013-09-02,-0.0005625047131260948,0.016856737275494672,0.1818181818181818,0.20811965811965816,0.11921134421134422,0.08890831390831394,0.0069759345084061675,0.06073888541014405,0.010730138998562892,-0.029387121539575255,0.14462647560519046,0.8638017677039094,0.016856737275494672,0.01951458992761955
2013-08-30,2013-09-02,2013-10-01,-0.002330152266707399,-0.00888149014978534,0.30769230769230765,0.36341991341991337,0.29592907092907095,0.06749084249084246,0.006991089252236904,0.010035419126328105,-0.011714456030544726,-0.06962682016628943,0.14462647560519046,0.8653834815396538,-0.00888149014978534,-0.010263068731082972
2013-09-30,2013-10-01,2013-11-01,0.041530842358440116,0.03864109441020807,0.46666666666666673,0.5332167832167832,0.40802253302253305,0.12519425019425012,0.008056071351680183,0.03623611922852121,0.03905016434037242,-0.0873092337245165,0.14462647560519046,0.8724393405826413,0.03864109441020807,0.04429086655400292
2013-10-31,2013-11-01,2013-12-02,0.02300496101921369,0.05582185177729295,0.30303030303030304,0.39080886906973866,0.29575809612675436,0.09505077294298431,0.007121615167924977,-0.05433352133859748,0.07247215739652278,-0.05602510484819287,0.14462647560519046,0.8639268975274115,0.05582185177729295,0.06461409169810202
2013-11-29,2013-12-02,2014-01-02,0.006957969503412914,-0.02823485788298083,0.2564102564102564,0.36041916962586146,0.271941436669007,0.08847773295685453,0.007803801225700457,-0.001391650099403563,-0.033321128886888214,-0.13714533139305685,0.13714533139305685,0.8425300986680067,-0.02823485788298083,-0.033511987200954094
2013-12-30,2014-01-02,2014-02-03,-0.08878104829383883,-0.05655986931096807,0.3333333333333333,0.3304015096063592,0.24683302637488583,0.08356848323147335,0.0084159347753745,-0.08023093768664136,-0.06087117520968221,-0.15046536945864383,0.15046536945864383,0.7753965529253499,-0.05655986931096807,-0.07294315289071614
