month_end,trade_date,next_trade_date,D10,LS,turnover_D10,turnover_LS,turnover_LS_reconst,turnover_LS_reweight,CDI,BOVA11,LS_pre_overlay,beta_est,hedge_ratio,vt_scale,LS_vt,LS_pre_vt
2011-01-31,2011-02-01,2011-03-01,-0.02137596533113594,0.007902324097626803,0.0,2.7755575615628914e-16,0.0,2.7755575615628914e-16,0.008425009434362085,-0.0011961722488037507,0.007902324097626803,0.0,0.0,1.0,0.007902324097626803,0.007902324097626803
2011-02-28,2011-03-01,2011-04-01,0.039186766432770255,0.03846549508333946,0.16666666666666666,0.39444444444444454,0.2472222222222222,0.14722222222222228,0.009206833909138457,0.017964071856287456,0.03846549508333946,0.0,0.0,1.0,0.03846549508333946,0.03846549508333946
2011-03-31,2011-04-01,2011-05-02,0.02681826831118803,0.06440448323623965,0.16666666666666666,0.3640572390572392,0.22138047138047137,0.14267676767676776,0.008396233613529702,-0.03676470588235292,0.06440448323623965,0.0,0.0,1.0,0.06440448323623965,0.06440448323623965
2011-04-29,2011-05-02,2011-06-01,0.009237893928696799,0.030003214323203676,0.25641025641025644,0.45202020202020216,0.2914862914862915,0.16053391053391064,0.009853034390991944,-0.029312977099236637,0.030003214323203676,0.0,0.0,1.0,0.030003214323203676,0.030003214323203676
2011-05-31,2011-06-01,2011-07-01,-0.019466660403932287,0.022291912861965496,0.20512820512820507,0.3251748251748253,0.2164335664335664,0.10874125874125891,0.009535252207044431,-0.0301981755268953,0.022291912861965496,0.0,0.0,1.0,0.022291912861965496,0.022291912861965496
2011-06-30,2011-07-01,2011-08-01,-0.033386546838307184,0.045403114772040926,0.2222222222222222,0.26709401709401726,0.20021367521367525,0.06688034188034199,0.009675260632866944,-0.05124878365228669,0.045403114772040926,0.0,0.0,1.0,0.045403114772040926,0.045403114772040926
2011-07-29,2011-08-01,2011-09-01,0.011471034973435523,0.018574373853942304,0.2051282051282051,0.29914529914529925,0.22027972027972031,0.07886557886557893,0.010704896208957981,-0.029401709401709386,0.02309072979533019,-0.1536086177739486,0.1536086177739486,1.0,0.018574373853942304,0.018574373853942304
2011-08-31,2011-09-01,2011-10-03,-0.06818061656021751,0.014972649403903972,0.2564102564102564,0.2884615384615385,0.219988344988345,0.0684731934731935,0.009398254167376052,-0.09915463191264529,0.03004058433163519,-0.1519640044754136,0.1519640044754136,1.0,0.014972649403903972,0.014972649403903972
2011-09-30,2011-10-03,2011-11-01,0.055821045582530954,0.012852182900701099,0.3333333333333334,0.3463480963480965,0.2716588966588967,0.07468919968919982,0.008789482465142662,0.08856304985337249,-0.0006062128035730765,-0.017267174862911863,0.1519640044754136,1.0,0.012852182900701099,0.012852182900701099
2011-10-31,2011-11-01,2011-12-01,0.05634065568007835,0.08374077481592296,0.3333333333333333,0.3383838383838385,0.22474747474747478,0.11363636363636376,0.008567424211848751,0.025502873563218342,0.07986525602362614,-0.0994025825370754,0.1519640044754136,1.0,0.08374077481592296,0.08374077481592296
2011-11-30,2011-12-01,2012-01-02,0.022352548164327243,0.045451582430499855,0.28571428571428564,0.26457431457431474,0.20450937950937953,0.06006493506493522,0.009047373489255106,-0.010332749562171673,0.04702178843120904,-0.03538519383548457,0.1519640044754136,1.0,0.045451582430499855,0.045451582430499855
2011-12-29,2012-01-02,2012-02-01,0.08393224439190507,0.02334520058098465,0.2564102564102564,0.33686313686313696,0.23240463240463247,0.1044585044585045,0.00883164575843809,0.10953813484339059,0.0019189110786424855,-0.03691710451785577,0.1519640044754136,1.2575004837404766,0.02334520058098465,0.018564764692211952
