month_end,LS_mom,LS_val,LS_qual,combo
2011-01-31,0.0073450863057815,-0.0059575737585873,0.0047487327001313,0.00150475155890394
2011-02-28,0.0382492624304536,-0.0072260137112399,0.0325047245720719,0.01891024440209986
2011-03-31,0.0701068416893196,0.028129746887188,0.0562121446213837,0.050537064354879785
2011-04-29,0.0300662012320642,0.0153806140118275,-0.0068268939915061,0.01681334729925546
2011-05-31,0.0208087315076038,0.034270480199213,0.0203778418590444,0.0261072530545356
2011-06-30,0.0438555785803711,-0.0367924196777388,0.0178355288472117,0.00639236933049526
2011-07-29,0.0186171156408158,-0.0210413069159985,0.0343358717144615,0.005897497832819221
2011-08-31,0.016103399285718,0.006778132316695,0.0051592346145268,0.01018445956387056
2011-09-30,0.012703626880526,-0.0155574342546172,-0.0047502614557595,-0.0020915752407883806
2011-10-31,0.0837037871517825,-0.0357144555731635,0.0493887231480405,0.029073477261055705
2011-11-30,0.0441576881978539,0.0552692635992395,0.0326391526022834,0.04629861123929404
2011-12-29,0.0224804901450181,-0.0023927866982191,0.0186303615485982,0.01176115368843924
2012-01-31,-0.0041197884811864,-0.0155201542321355,-0.0258101364676751,-0.01301800437886378
2012-02-29,0.0621538379540739,0.0254320842288378,0.0501916508623243,0.04507269904562954
2012-03-30,0.0556890929373459,0.0077310256865022,0.0285677489878376,0.03108159724710676
2012-04-30,-0.0119289699676839,0.0346994541202099,0.0535371636621894,0.019815626393448284
2012-05-31,0.0098217244744416,0.0263251271353518,0.0361485186009462,0.0216884443641066
2012-06-29,-0.0068875186218764,-0.0084393099209153,-0.0125690422355056,-0.008644539864217801
2012-07-31,-0.0457446524418361,-0.0008715161232412,-0.0549405558216823,-0.02963457859036738
2012-08-31,-0.0331828897745741,0.0370975167839718,-0.01221088558751,-0.0008763263137429194
2012-09-28,0.0201677805240244,0.0300471169929921,-0.0031501241595259,0.01945593417490142
2012-10-31,0.0029304594312548,0.0297496052049451,-0.0281118456533682,0.007449656723806321
2012-11-30,-0.0101185968528505,-0.0191368506144811,0.0347494212099846,-0.00475229474493572
2012-12-28,0.0195438330204654,0.0448181365205696,0.0021252193154796,0.026169831679509925
2013-01-31,0.0363721705940868,0.010647085431907,0.0118372692440625,0.021175156259210026
2013-02-28,0.0439053848480155,0.0489810668559226,0.0045983551344833,0.0380742517084719
2013-03-28,0.0420968840328915,0.0221521444574298,0.0239837437007148,0.030496360136271484
2013-04-30,-0.0077772157531532,0.0695736940098381,0.0178219642072464,0.02828298414412324
2013-05-31,0.0125841978591399,0.0108453515141635,0.036386164937934,0.01664905273690816
2013-06-28,0.0573252298353137,-0.0152574412039013,0.0114902890614468,0.01912517326485432
2013-07-31,0.002057660949063,-0.0413444822503217,0.0152376935196413,-0.012667189816575221
2013-08-30,-0.0131899628140275,0.0379877043350786,-0.0049794198218893,0.008923212644042581
2013-09-30,0.0396395335694978,0.0332327328003267,0.0417741521856376,0.03750373698505732
2013-10-31,0.0598297403407693,0.021734253010079,0.0096977299317593,0.03456514332669119
2013-11-29,-0.0193724354784574,-0.0262144470249575,-0.0509642743471697,-0.028427607870799905
2013-12-30,-0.0468656265000795,0.0292195476367362,-0.0445867327817464,-0.0159757781016866
2014-01-31,0.0389069652676365,-0.000695131045577,-0.0067734083006568,0.013930052028692439
2014-02-28,0.0373685711754024,-0.0156892937820261,0.019893061295448,0.012650323216440119
2014-03-31,0.0089070741678269,-0.0005813477388322,0.0184936587226179,0.00702902231612146
2014-04-30,0.0062896526911393,-0.010724947091264,-0.0193087029275331,-0.0056358583455565
2014-05-30,0.031543101579296,0.0059341134322975,-0.0120361314063111,0.01258365972337518
2014-06-30,0.0479239736193894,0.0251927663766802,-0.0046921036520601,0.028308275268015822
2014-07-31,-0.0287410035275178,-0.0008598278418121,0.0253838120433536,-0.00676357013906124
2014-08-29,0.0357109133137306,0.0368150159208713,-0.0160284597217027,0.025804679749500223
2014-09-30,0.0230525891852841,-0.0061570889806975,0.0228284588715039,0.01132389185613542
2014-10-31,0.0024532257210142,-0.0425538329039531,0.0181974377810954,-0.01240075531695648
2014-11-28,-0.001885127207678,0.0676027989969879,0.0510004887616733,0.03648716646805862
2014-12-30,0.0170754047137236,0.0081296718557655,0.0407505534075361,0.01823214130930286
2015-01-30,-0.046744480121628,0.0480636463340383,-0.015939684870313,-0.0026602704890984798
2015-02-27,0.0072712829864366,-0.0045286473321546,0.0607037887030936,0.013237812002331522
2015-03-31,-0.019135934791203,-0.034046241958148,-0.0460442685684086,-0.030481724413422118
2015-04-30,0.0382603205391905,0.0092552440462169,0.0195994989009456,0.022926125614352078
2015-05-29,0.042983734704371,-0.0367129869574742,0.0058768904918703,0.0036836771971327804
2015-06-30,0.0770510837782458,0.0130878951848324,-0.0070043849660155,0.03465471459202818
2015-07-31,0.0235028683480976,0.0414552873003672,-0.0386160321624242,0.018260055826901083
2015-08-31,0.0233486761462571,0.0735288995412239,-0.0433265769006475,0.030085714894862902
2015-09-30,0.0141312987195008,-0.0443978103155308,0.0435412683472016,-0.0033983509689716803
2015-10-30,0.0254227724147778,0.020619365498178,0.0118733185583778,0.020791518876857883
2015-11-30,-0.0296661400335416,0.0529044198373022,0.0126757085140704,0.011830453624318322
2015-12-30,0.0558349734686059,-0.0332731995529855,0.0766058778869705,0.024345885143642262
2016-01-29,-0.0266117272098438,0.011896524775044,0.0092683276295811,-0.0040324154480037
2016-02-29,-0.0751853347357588,0.0671123713229462,-0.0143641698321239,-0.006102019331549817
2016-03-31,0.040827946128326,0.0461901956296269,0.014716780896791,0.037750612882539364
