month_end,mom_raw,mom_net,mom,mom_carry,mom_borrow,mom_dispersion,mom_gate_active,mom_turnover,mom_gross_long,mom_gross_short,val_raw,val_net,val,val_carry,val_borrow,val_dispersion,val_gate_active,val_turnover,val_gross_long,val_gross_short,bova11,cdi,combo_raw,combo_net,combo,combo_carry,combo_borrow,combo_financing,combo_turnover,combo_gross_long,combo_gross_short,combo_gate_active,mom_risk_ls_weighted_multiplier,val_risk_ls_weighted_multiplier,mom_risk_ls_weighted_score,val_risk_ls_weighted_score,mom_risk_ls_flagged,val_risk_ls_flagged,mom_risk_ls_high,val_risk_ls_high,mom_risk_d10_weighted_multiplier,val_risk_d10_weighted_multiplier,mom_risk_d10_weighted_score,val_risk_d10_weighted_score,mom_risk_d10_flagged,val_risk_d10_flagged,mom_risk_d10_high,val_risk_d10_high,mom_risk_universe_flagged,val_risk_universe_flagged,mom_risk_universe_high,val_risk_universe_high,mom_risk_universe_avg_multiplier,val_risk_universe_avg_multiplier,combo_risk_ls_weighted_multiplier,combo_risk_ls_weighted_score,combo_risk_d10_weighted_multiplier,combo_risk_d10_weighted_score,combo_risk_universe_avg_multiplier,combo_risk_ls_flagged,combo_risk_ls_high,combo_risk_d10_flagged,combo_risk_d10_high,combo_risk_universe_flagged,combo_risk_universe_high
2010-06-30,0.0218353076429431,0.0229236039201891,0.0229236039201891,0.0043053113322477,0.0032170150550017,2.1706982678067694,1.0,6.47630097698008e-17,0.4999999999999998,0.5,-0.0400817249675149,-0.0389934286902689,-0.0389934286902689,0.0043053113322477,0.0032170150550017,2.17249767946733,1.0,1.249000902703301e-16,0.4999999999999998,0.4999999999999999,0.1338932806324109,0.0086106226644955,-0.0091232086622859,-0.008034912385039901,-0.008034912385039901,0.0043053113322477,0.0032170150550017,0.001088296277246,9.483155002006546e-17,0.4999999999999998,0.49999999999999994,1.0,0.986111111111111,1.0,0.0555555555555555,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.9895833333333334,0.9913793103448276,0.9930555555555556,0.02777777777777775,1.0,0.0,0.9904813218390804,1.0,0.0,0.0,0.0,6.0,0.0
2010-07-30,-0.0562537422720427,-0.05503961830581,-0.05503961830581,0.0044311390212344,0.0032170150550017,2.1644832350601546,1.0,0.1746031746031746,0.4999999999999999,0.4999999999999998,-0.0243419194169477,-0.023127795450715,-0.023127795450715,0.0044311390212344,0.0032170150550017,2.162304638181854,1.0,0.0587301587301585,0.4999999999999998,0.4999999999999998,-0.0602759622367464,0.0088622780424689,-0.0402978308444952,-0.0390837068782625,-0.0390837068782625,0.0044311390212344,0.0032170150550017,0.0012141239662327003,0.11666666666666654,0.49999999999999983,0.4999999999999998,1.0,1.0,0.9892857142857144,0.0,0.0428571428571429,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.9942528735632185,0.9946428571428572,0.02142857142857145,1.0,0.0,0.9971264367816093,1.0,0.0,0.0,0.0,2.0,0.0
2010-08-31,0.0020602668231983,0.0030662541287634,0.0030662541287634,0.0042230023605668,0.0032170150550017,2.0835779084520154,1.0,0.3412698412698414,0.5,0.5000000000000001,0.0221285165737304,0.0231345038792955,0.0231345038792955,0.0042230023605668,0.0032170150550017,2.1498754023233286,1.0,0.086002886002886,0.4999999999999999,0.4999999999999999,0.0664605873261205,0.0084460047211336,0.01209439169846435,0.013100379004029451,0.013100379004029451,0.0042230023605668,0.0032170150550017,0.0010059873055651004,0.21363636363636368,0.49999999999999994,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-30,0.0027503477459025,0.003561653674445,0.003561653674445,0.0040283209835442,0.0032170150550017,2.1939129809565583,1.0,0.4424603174603174,0.5,0.5,-0.0026480438719839,-0.0018367379434414,-0.0018367379434414,0.0040283209835442,0.0032170150550017,2.168342481059549,1.0,0.261761057426692,0.4999999999999999,0.4999999999999998,0.0202898550724639,0.0080566419670884,5.115193695930001e-05,0.0008624578655018,0.0008624578655018,0.0040283209835442,0.0032170150550017,0.0008113059285425003,0.3521106874435047,0.49999999999999994,0.4999999999999999,1.0,1.0,0.978715170278638,0.0,0.0851393188854489,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.9964285714285714,0.994186046511628,0.989357585139319,0.04256965944272445,1.0,0.0,0.9953073089700997,2.0,0.0,0.0,0.0,3.0,0.0
2010-10-29,0.0015541823006064,0.0023653099360897,0.0023653099360897,0.004028142690485,0.0032170150550017,2.205571184211837,1.0,0.3148148148148148,0.5,0.5,0.0365736609427833,0.0373847885782666,0.0373847885782666,0.004028142690485,0.0032170150550017,2.1463203574079905,1.0,0.2522802847880247,0.5,0.4999999999999999,-0.0345170454545455,0.00805628538097,0.01906392162169485,0.019875049257178153,0.019875049257178153,0.004028142690485,0.0032170150550017,0.0008111276354833001,0.2835475498014198,0.5,0.49999999999999994,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9895833333333334,1.0,0.0416666666666666,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9967105263157896,0.9973118279569892,1.0,0.0,0.9947916666666667,0.0208333333333333,0.9970111771363894,0.0,0.0,1.0,0.0,2.0,0.0
2010-11-30,0.0032998424042094,0.0047185801229921,0.0047185801229921,0.0046357527737843,0.0032170150550017,2.222176393850236,1.0,0.2676096603515959,0.5,0.4999999999999999,-0.0034563998814452,-0.0020376621626626,-0.0020376621626626,0.0046357527737843,0.0032170150550017,2.0835692025858323,1.0,0.4202020202020201,0.5,0.4999999999999999,0.0151537442989553,0.0092715055475687,-7.82787386178999e-05,0.00134045898016475,0.00134045898016475,0.0046357527737843,0.0032170150550017,0.0014187377187825996,0.343905840276808,0.5,0.4999999999999999,1.0,0.9877666837344256,1.0,0.0489332650622973,0.0,1.0,0.0,0.0,0.0,0.9616071428571428,1.0,0.1535714285714285,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.9936708860759492,0.9923469387755102,0.9938833418672128,0.02446663253114865,0.9808035714285714,0.07678571428571425,0.9930089124257298,1.0,0.0,2.0,0.0,5.0,0.0
2010-12-30,0.008045214511853,0.0091401821520205,0.0091401821520205,0.0043119826951691,0.0032170150550017,2.315325043891559,1.0,0.5845707458610684,0.5,0.4999999999999998,-0.0140765808826477,-0.0129816132424802,-0.0129816132424802,0.0043119826951691,0.0032170150550017,1.9911251541880317,1.0,0.4233229733229732,0.4999999999999998,0.5,-0.0307246376811595,0.0086239653903383,-0.00301568318539735,-0.00192071554522985,-0.00192071554522985,0.0043119826951691,0.0032170150550017,0.0010949676401674,0.5039468595920208,0.4999999999999999,0.4999999999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9967948717948718,0.9973684210526316,1.0,0.0,1.0,0.0,0.9970816464237517,0.0,0.0,0.0,0.0,2.0,0.0
2011-01-31,-0.0059575737585873,-0.004962084096408,-0.004962084096408,0.004212504717181,0.0032170150550017,2.24213414153394,1.0,0.3851851851851851,0.5,0.4999999999999998,0.0047487327001313,0.0057442223623106,0.0057442223623106,0.004212504717181,0.0032170150550017,1.986848539132296,1.0,0.3029064107912669,0.5,0.4999999999999998,-0.0011961722488037,0.008425009434362,-0.000604420529228,0.0003910691329513001,0.0003910691329513001,0.004212504717181,0.0032170150550017,0.0009954896621793001,0.344045797988226,0.5,0.4999999999999998,1.0,1.0,0.9948894451397582,0.0,0.0204422194409678,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.9967948717948718,0.9921052631578948,0.997444722569879,0.0102211097204839,1.0,0.0,0.9944500674763833,1.0,0.0,0.0,0.0,4.0,0.0
2011-02-28,-0.0072260137112399,-0.0058396118116723,-0.0058396118116723,0.0046034169545692,0.0032170150550017,2.227139623110141,1.0,0.2268518518518519,0.5,0.5,0.0325047245720719,0.0338911264716394,0.0338911264716394,0.0046034169545692,0.0032170150550017,1.960797370256,1.0,0.2683341203366232,0.5,0.5000000000000001,0.0179640718562874,0.0092068339091384,0.012639355430416001,0.01402575732998355,0.01402575732998355,0.0046034169545692,0.0032170150550017,0.0013864018995674997,0.24759298609423752,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,0.028129746887188,0.0291108486389511,0.0291108486389511,0.0041981168067648,0.0032170150550017,2.2845186088295533,1.0,0.4944444444444444,0.5000000000000001,0.5,0.0562121446213837,0.0571932463731468,0.0571932463731468,0.0041981168067648,0.0032170150550017,1.935502308274364,1.0,0.3498085434663132,0.4999999999999998,0.5,-0.0367647058823529,0.0083962336135297,0.04217094575428585,0.04315204750604895,0.04315204750604895,0.0041981168067648,0.0032170150550017,0.0009811017517631,0.4221264939553788,0.49999999999999994,0.5,1.0,1.0,0.991982468395572,0.0,0.0320701264177121,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.9971910112359552,0.9930555555555556,0.995991234197786,0.01603506320885605,1.0,0.0,0.9951232833957554,1.0,0.0,0.0,0.0,4.0,0.0
