month_end,trade_date,next_trade_date,D10,LS,turnover_D10,turnover_LS,turnover_LS_reconst,turnover_LS_reweight,CDI,BOVA11,LS_pre_overlay,beta_est,hedge_ratio,vt_scale,LS_vt,LS_pre_vt
2011-01-31,2011-02-01,2011-03-01,-0.02137596533113594,0.007902324097626803,0.0,2.7755575615628914e-16,0.0,2.7755575615628914e-16,0.008425009434362085,-0.0011961722488037507,0.007902324097626803,0.0,0.0,1.0,0.007902324097626803,0.007902324097626803
2011-02-28,2011-03-01,2011-04-01,0.039186766432770255,0.03790435701641413,0.1666666666666667,0.34487179487179503,0.22243589743589745,0.12243589743589756,0.009206833909138457,0.017964071856287456,0.03790435701641413,0.0,0.0,1.0,0.03790435701641413,0.03790435701641413
2011-03-31,2011-04-01,2011-05-02,0.0287833002678953,0.06870594320518503,0.2051282051282052,0.3087606837606838,0.1918803418803419,0.11688034188034185,0.008396233613529702,-0.03676470588235292,0.06870594320518503,0.0,0.0,1.0,0.06870594320518503,0.06870594320518503
2011-04-29,2011-05-02,2011-06-01,0.007635853245581634,0.03144198668430053,0.25641025641025644,0.4572649572649574,0.2857753357753358,0.17148962148962155,0.009853034390991944,-0.029312977099236637,0.03144198668430053,0.0,0.0,1.0,0.03144198668430053,0.03144198668430053
2011-05-31,2011-06-01,2011-07-01,-0.019568167161632826,0.02094878058702393,0.20512820512820507,0.3191530691530691,0.19372571872571875,0.1254273504273504,0.009535252207044431,-0.0301981755268953,0.02094878058702393,0.0,0.0,1.0,0.02094878058702393,0.02094878058702393
2011-06-30,2011-07-01,2011-08-01,-0.033386546838307184,0.04136416452253753,0.2051282051282051,0.2042124542124543,0.11877289377289381,0.08543956043956051,0.009675260632866944,-0.05124878365228669,0.04136416452253753,0.0,0.0,1.0,0.04136416452253753,0.04136416452253753
2011-07-29,2011-08-01,2011-09-01,0.008698966279643793,0.017016290590782274,0.19047619047619047,0.30494505494505497,0.20608558108558106,0.09885947385947393,0.010704896208957981,-0.029401709401709386,0.020962808056662067,-0.13422748357788838,0.13422748357788838,1.0,0.017016290590782274,0.017016290590782274
2011-08-31,2011-09-01,2011-10-03,-0.07074942737112784,0.014520196018378199,0.28571428571428564,0.3223443223443225,0.23440448440448444,0.087939837939838,0.009398254167376052,-0.09915463191264529,0.027648227576441198,-0.13239957937243643,0.13239957937243643,1.0,0.014520196018378199,0.014520196018378199
2011-09-30,2011-10-03,2011-11-01,0.0551064606672656,0.009894110212899229,0.3333333333333333,0.30452880452880465,0.23559773559773564,0.06893106893106905,0.008789482465142662,0.08856304985337249,-0.0018316003356274064,-0.00529273859383249,0.13239957937243643,1.0,0.009894110212899229,0.009894110212899229
2011-10-31,2011-11-01,2011-12-01,0.05861700568425543,0.06877174976656637,0.3333333333333332,0.2525252525252526,0.21085858585858586,0.04166666666666672,0.008567424211848751,0.025502873563218342,0.06539518003400784,-0.09648570469553189,0.13239957937243643,1.0,0.06877174976656637,0.06877174976656637
2011-11-30,2011-12-01,2012-01-02,0.016335764029090354,0.03527950042986791,0.23809523809523803,0.3120879120879121,0.23510378510378513,0.07698412698412699,0.009047373489255106,-0.010332749562171673,0.03664755212566017,-0.04599308215348221,0.13239957937243643,1.0,0.03527950042986791,0.03527950042986791
2011-12-29,2012-01-02,2012-02-01,0.07980466480231295,0.020488614785630372,0.2564102564102564,0.31654456654456664,0.19993894993894998,0.11660561660561669,0.00883164575843809,0.10953813484339059,0.00036708640823908027,-0.046534921849588365,0.13239957937243643,1.3778592599278914,0.020488614785630372,0.014869889386745218
2012-01-31,2012-02-01,2012-03-01,0.08605798335336241,-0.007230650395934382,0.14285714285714282,0.25557775557775564,0.15682928182928185,0.09874847374847379,0.007414836145679615,0.0389154704944179,-0.010775345117670488,-0.09717996112926358,0.13239957937243643,1.2859168745650937,-0.007230650395934382,-0.005622953193129097
2012-02-29,2012-03-01,2012-04-02,0.03868458970048188,0.06890482361252008,0.08888888888888885,0.14835164835164846,0.07417582417582416,0.07417582417582431,0.008054920154665135,-0.032238256063862436,0.0577729455788902,-0.11305407355493284,0.11305407355493284,1.272991204744719,0.06890482361252008,0.054128279406563534
2012-03-30,2012-04-02,2012-05-02,-0.007006304661910795,0.061121547216998036,0.2564102564102564,0.3992673992673994,0.3053986166368401,0.09386878263055931,0.006971980611159889,-0.037753807106599035,0.05295477437243439,-0.15136090017990791,0.15136090017990791,1.2938426720200469,0.061121547216998036,0.047240324143560955
2012-04-30,2012-05-02,2012-06-01,-0.1703897832836645,-0.014781279453868576,0.19047619047619044,0.3278626562610413,0.25972331212811567,0.06813934413292565,0.0073093626688405244,-0.13748763600395641,0.010593927930420842,-0.16688786834303987,0.16688786834303987,1.1967590533903036,-0.014781279453868576,-0.012351090565803224
2012-05-31,2012-06-01,2012-07-02,0.01225452153757383,0.005621370156668794,0.311111111111111,0.3849609541082784,0.2820009610143542,0.10295999309392428,0.006386582234745086,0.020451070336391375,0.001269208017898661,-0.02578654208949613,0.16688786834303987,1.2005719255378602,0.005621370156668794,0.004682243551672593
2012-06-29,2012-07-02,2012-08-01,0.028520098773374924,-0.00851695203299841,0.37499999999999983,0.28630952380952396,0.1598214285714286,0.12648809523809537,0.0067345607664746066,0.05206967596928269,-0.015970156660722344,-0.046068352129411454,0.16688786834303987,1.1698532347887909,-0.00851695203299841,-0.007280359432895947
