month_end,trade_date,next_trade_date,D10,LS,turnover_D10,turnover_LS,turnover_LS_reconst,turnover_LS_reweight,ls_gross_long,ls_gross_short,CDI,BOVA11,LS_pre_overlay,beta_est,hedge_ratio,vt_scale,LS_vt,LS_pre_vt,LS_carry,LS_borrow_cost,LS_financing_net,LS_net
2018-05-30,2018-06-01,2018-07-02,-0.07742988869045603,-0.009492239648462358,0.42857142857142844,0.4471916971916974,0.43330280830280826,0.013888888888889154,0.5,0.5,0.005175127953596537,-0.06903010033444812,-0.004240909839794982,0.059169617656326445,0.12024759328713795,0.7568595398835862,-0.009492239648462358,-0.012541613269382024,0.0019584224808988798,0.002434828534327168,-0.00047640605342828823,-0.009968645701890646
2018-06-29,2018-07-02,2018-08-01,0.04978445620290927,0.008721117322104057,0.3333333333333332,0.4706959706959705,0.3538406038406039,0.11685536685536663,0.5,0.5,0.005422231405763034,0.09225463428653535,-0.0004497972807405275,0.047470613338487046,0.12024759328713795,0.8193766154041476,0.008721117322104057,0.010643600461800427,0.002221424808596094,0.002635946907471493,-0.0004145220988753988,0.008306595223228658
2018-07-31,2018-08-01,2018-09-03,-0.06574772858681971,-0.025528280301762688,0.35555555555555557,0.5204517704517704,0.34272671772671776,0.17772505272505268,0.5000000000000001,0.5,0.005669392098232251,-0.030916984607288645,-0.027801522699781988,0.0354351605767337,0.12024759328713795,0.8099275233378923,-0.025528280301762688,-0.031519215690503935,0.0022958983504763318,0.0026055490360382526,-0.0003096506855619209,-0.02583793098732461
2018-08-31,2018-09-03,2018-10-01,0.029364790311344608,0.03421196079857417,0.3333333333333332,0.45594405594405574,0.3816758308401353,0.07426822510392046,0.5,0.5,0.0046814831535106904,0.04194949769209888,0.03765527056531981,0.05176161640630289,0.12024759328713795,0.8012244480204188,0.03421196079857417,0.04269959670239905,0.0018754593777942463,0.0025775511117171264,-0.0007020917339228801,0.03350986906465129
2018-09-28,2018-10-01,2018-11-01,0.1387474495058841,0.003872549304087851,0.3809523809523809,0.372846059763926,0.23867745822334782,0.13416860154057816,0.49999999999999994,0.5,0.005430480057369236,0.10110749185667767,-0.00733122512655178,0.09378109849109696,0.12024759328713795,0.8023169745078049,0.003872549304087851,0.004826707432512609,0.002178483164876728,0.0025810657858750356,-0.00040258262099830775,0.0034699666830895434
2018-10-31,2018-11-01,2018-12-03,0.04729384668535117,0.01110579488697084,0.3999999999999999,0.3351648351648351,0.27480852480852475,0.06035631035631026,0.5,0.5,0.004935582723077481,0.04248017986037134,0.008675257942868995,0.04678485684482149,0.12024759328713795,0.8057371211371832,0.01110579488697084,0.013783397333483396,0.0019883911072134343,0.002592068449072059,-0.0006036773418586247,0.010502117545112214
2018-11-30,2018-12-03,2019-01-02,0.01899131391551351,0.010906648035328363,0.2745098039215686,0.3692092221503985,0.2699329062254997,0.09927631592489876,0.5,0.5000000000000001,0.0049355815906149125,-0.039727582292849006,0.018061383271391288,0.04977755443512228,0.12024759328713795,0.8210217825904158,0.010906648035328363,0.013284237113559479,0.002026109997823548,0.0026412394350777135,-0.0006151294372541655,0.010291518598074197
2018-12-28,2019-01-02,2019-02-01,0.07662458131998577,-0.026577665073883677,0.3111111111111111,0.3475046694050879,0.26717865296996396,0.0803260164351239,0.5,0.5,0.0054304775314564235,0.11229314420803793,-0.04498505483831764,0.01093343484880704,0.12024759328713795,0.8442158114438544,-0.026577665073883677,-0.031482074504655566,0.002292247497873052,0.002715854975085369,-0.00042360747721231686,-0.027001272551095995
2019-01-31,2019-02-01,2019-03-01,-0.00536051563386106,0.0052987330350176606,0.3333333333333332,0.3217592592592591,0.24421296296296294,0.07754629629629613,0.49999999999999983,0.5,0.004935584456412068,-0.018065887353878707,0.008335049378982209,-0.08432631040092331,0.12024759328713795,0.8598112697076511,0.0052987330350176606,0.006162669904081753,0.0021218355691085032,0.0027660257991096535,-0.0006441902300011503,0.00465454280501651
2019-02-28,2019-03-01,2019-04-01,0.006010413518957501,0.018482852883310245,0.3137254901960784,0.3253540305010892,0.26267701525054465,0.06267701525054453,0.49999999999999983,0.49999999999999994,0.00468822755862508,0.005627705627705648,0.017234113162239263,-0.08977076723942266,0.12024759328713795,1.0319371924504406,0.018482852883310245,0.017910831219699348,0.0024189781922081734,0.003319757483929269,-0.0009007792917210956,0.01758207359158915
