month_end,trade_date,next_trade_date,D10,LS,turnover_D10,turnover_LS,turnover_LS_reconst,turnover_LS_reweight,ls_gross_long,ls_gross_short,CDI,BOVA11,LS_pre_overlay,beta_est,hedge_ratio,vt_scale,LS_vt,LS_pre_vt,LS_carry,LS_borrow_cost,LS_financing_net,LS_net
2015-11-30,2015-12-01,2016-01-04,0.015526459228640162,0.05119378833600873,0.18181818181818185,0.25514331638154003,0.14423832485743657,0.11090499152410345,0.5000000000000001,0.5,0.011613030888727227,-0.06818181818181823,0.036557420821639784,-0.1028663095723767,-0.1227660212263471,1.1394671584753036,0.05119378833600873,0.044927831359799816,0.006616333654031971,0.003665683003495077,0.0029506506505368943,0.054144438986545626
2015-12-30,2016-01-04,2016-02-01,-0.09556014897191852,-0.032239673293645854,0.10256410256410257,0.4386018273636039,0.2878696636099059,0.15073216375369802,0.5,0.5,0.010548946427317851,-0.04390243902439017,-0.02275886755525126,-0.13679071109919683,0.13679071109919683,1.12082193083899,-0.032239673293645854,-0.02876431340838672,0.00591174525149173,0.003605701025485122,0.0023060442260066077,-0.029933629067639245
2016-01-29,2016-02-01,2016-03-01,0.06990233746420436,0.014524272141151115,0.16666666666666666,0.3132349132349132,0.17745078995078997,0.13578412328412326,0.5,0.5000000000000001,0.0100148561151443,0.07168367346938753,0.003159615294497993,-0.10671545686288732,0.13679071109919683,1.1202439641911768,0.014524272141151115,0.012965275962578144,0.00560954105761675,0.0036038416980778186,0.0020056993595389313,0.016529971500690046
2016-02-29,2016-03-01,2016-04-01,0.14938249906162016,0.0656721119183813,0.12121212121212122,0.18181818181818188,0.0909090909090909,0.09090909090909098,0.5000000000000001,0.5,0.011605298957283905,0.14544156153296828,0.041007886275523014,-0.05779987134409099,0.13679071109919683,1.0783077294270371,0.0656721119183813,0.060902940900995337,0.006257041783975384,0.0034689321994914946,0.0027881095844838897,0.0684602215028652
2016-03-31,2016-04-01,2016-05-02,0.05556117321441639,0.04293220367517731,0.30769230769230765,0.6267676767676766,0.43648989898989904,0.19027777777777757,0.5,0.5,0.010544726459726705,0.08790523690773067,0.028522276744198855,0.0470921132452652,0.13679071109919683,1.0588283509823406,0.04293220367517731,0.04054689661015069,0.0055825276644561415,0.00340626674577283,0.0021762609186833115,0.04510846459386062
2016-04-29,2016-05-02,2016-06-01,-0.017157305323848557,-0.03083254085924758,0.30303030303030304,0.3265993265993267,0.2998737373737374,0.0267255892255893,0.5000000000000001,0.5,0.011074872042450057,-0.10143266475644708,-0.014625251468198841,0.05629631102482812,0.13679071109919683,1.081832234384512,-0.03083254085924758,-0.028500297808919675,0.005990576783603154,0.003480270585001119,0.002510306198602035,-0.028322234660645547
2016-05-31,2016-06-01,2016-07-01,0.09640767714714038,0.02675677380153208,0.24242424242424246,0.25454545454545463,0.1897727272727273,0.06477272727272736,0.5000000000000001,0.5,0.01160529755575812,0.06462585034013602,0.01604731436655785,0.07779331843143698,0.13679071109919683,1.0751076294942339,0.02675677380153208,0.024887530389975328,0.00623847197237317,0.0034586374298301564,0.0027798345425430132,0.029536608344075094
2016-06-30,2016-07-01,2016-08-01,0.13454996839125197,0.009418823960975707,0.1818181818181818,0.3710437710437711,0.24339225589225588,0.12765151515151524,0.5000000000000001,0.5,0.011074869886563032,0.11122204472843444,-0.0065273917577785045,0.07631665319925689,0.13679071109919683,1.0842746781537718,0.009418823960975707,0.00868675083053072,0.006004100490924015,0.003488127963377823,0.002515972527546192,0.0119347964885219
2016-07-29,2016-08-01,2016-09-01,0.02648924004088865,0.028128705457802036,0.3333333333333333,0.3925925925925926,0.300462962962963,0.0921296296296296,0.5000000000000001,0.5000000000000001,0.012136000032068273,0.016172506738544534,0.02305511173671333,0.041212956476045566,0.13679071109919683,1.1132427358833399,0.028128705457802036,0.025267360433735387,0.006755156939189993,0.0035813186412080034,0.00317383829798199,0.03130254375578403
2016-08-31,2016-09-01,2016-10-03,0.03805565690454631,0.011988604859350119,0.3636363636363637,0.23905723905723916,0.1820286195286195,0.05702861952861965,0.5,0.5000000000000003,0.011074869449589686,0.007780725022104473,0.009632317388518948,0.03513865557531276,0.13679071109919683,1.1207814379138945,0.011988604859350119,0.010696648297159932,0.006206254053209899,0.003605570759135471,0.002600683294074428,0.014589288153424546
2016-09-30,2016-10-03,2016-11-01,0.06435931389193761,0.01885882269001737,0.303030303030303,0.2857744107744109,0.1666967291967292,0.11907768157768168,0.5,0.5000000000000001,0.010465588241214796,0.10545709773644485,0.002341874247015489,0.034648107070582246,0.13679071109919683,1.1247297646324959,0.01885882269001737,0.01676742563684128,0.005885479299641068,0.0036182725856312753,0.0022672067140097926,0.021126029404027163
2016-10-31,2016-11-01,2016-12-01,-0.07977884810034083,0.01832868361897709,0.16666666666666666,0.17676767676767702,0.08838383838383836,0.08838383838383863,0.5000000000000001,0.5,0.0103600668732724,-0.058730158730158744,0.024333038739397267,0.015825423352232318,0.13679071109919683,1.12450750854781,0.01832868361897709,0.01629929856373015,0.005824986494026124,0.0036175575844607745,0.0022074289095653492,0.02053611252854244
2016-11-30,2016-12-01,2017-01-02,-0.0012727420591172069,0.010805310089242298,0.14814814814814817,0.10185185185185204,0.05092592592592593,0.050925925925926104,0.5000000000000001,0.5,0.011217621631425923,-0.022091062394603678,0.012457915240102988,-0.014563247984009988,0.13679071109919683,1.1451078662385143,0.010805310089242298,0.009436063106208425,0.0064226933853165705,0.003683829245290191,0.0027388641400263795,0.013544174229268678
2016-12-29,2017-01-02,2017-02-01,0.0835123736560403,-0.0028142857543704486,0.2777777777777778,0.505892255892256,0.30723905723905726,0.19865319865319866,0.5000000000000001,0.5,0.010819091947400938,0.08639420589756841,-0.014272987768868666,-0.013948080444380076,0.13679071109919683,1.1463192017285204,-0.0028142857543704486,-0.002455062909289858,0.006201066422286053,0.0036877261297981983,0.002513340292487855,-0.00030094546188259375
2017-01-31,2017-02-01,2017-03-01,0.1284972978618527,0.03919545013740096,0.3333333333333333,0.32554112554112585,0.22943722943722944,0.0961038961038964,0.5,0.5000000000000001,0.008611440762927636,0.03365079365079371,0.03001120395020386,-0.046358559135207915,0.13679071109919683,1.1323478318288451,0.03919545013740096,0.03461431994274827,0.004875573138411823,0.0036427800224919458,0.0012327931159198773,0.04042824325332084
2017-02-24,2017-03-01,2017-04-03,-0.02564882441321301,-0.009890459109780222,0.4848484848484848,0.7156565656565657,0.48341750841750847,0.23223905723905722,0.5000000000000001,0.5,0.010504155058322473,-0.03716216216216217,-0.0036251674525511553,-0.04368845781752329,0.13679071109919683,1.1357109350865353,-0.009890459109780222,-0.008708606040696985,0.005964841881790688,0.0036535991763034597,0.002311242705487228,-0.007579216404292995
2017-03-31,2017-04-03,2017-05-02,0.037119286202661486,-0.00352711115143049,0.2777777777777778,0.4550116550116552,0.3544899544899545,0.10052170052170067,0.5000000000000001,0.5,0.007817125697231697,0.0121212121212122,-0.0047677981144671954,-0.011294921465275195,0.13679071109919683,1.1342182155754839,-0.00352711115143049,-0.003109728889022375,0.004433163179621698,0.003648797075163512,0.0007843661044581859,-0.002742745046972304
2017-04-28,2017-05-02,2017-06-01,-0.06671275174925544,-0.03765288833774623,0.2222222222222222,0.3923076923076924,0.3522385022385022,0.04006919006919021,0.5000000000000001,0.5,0.009219711362202343,-0.04034037188780337,-0.02884880044391309,-0.00980850532959665,0.13679071109919683,1.095612093788493,-0.03765288833774623,-0.034366988600451766,0.005050613634834034,0.0035246006001595333,0.0015260130346745008,-0.03612687530307173
2017-05-31,2017-06-01,2017-07-03,0.05166217334154674,0.0308112808893267,0.06060606060606061,0.19393939393939405,0.14393939393939395,0.05000000000000008,0.5,0.5000000000000001,0.008080987710124887,0.0064039408866995995,0.02743277052885362,0.04928181298656821,0.13679071109919683,1.0884005457991373,0.0308112808893267,0.02830877015658248,0.004397675717148024,0.003501400941707909,0.0008962747754401152,0.031707555664766816
2017-06-30,2017-07-03,2017-08-01,0.11139972518066998,0.05456135114805196,0.2222222222222222,0.3001036001036003,0.21764439264439264,0.08245920745920764,0.5000000000000001,0.5000000000000001,0.00793505064361355,0.04454233969652477,0.04571579237222712,0.0521630178905616,0.13679071109919683,1.0531296229939162,0.05456135114805196,0.051808770693336725,0.004178318446373186,0.0033879338520397097,0.0007903845943334764,0.05535173574238544
2017-07-31,2017-08-01,2017-09-01,0.10184751827491678,0.00315250449783867,0.24242424242424246,0.2988733488733489,0.18647371147371147,0.11239963739963739,0.5000000000000001,0.5000000000000001,0.00801452050194662,0.07747578881599515,0.011782947862065829,0.11352191065243905,-0.11352191065243905,1.05514393974256,0.00315250449783867,0.0029877482863691907,0.004228236368785739,0.0033944139393456384,0.0008338224294401004,0.00398632692727877
2017-08-31,2017-09-01,2017-10-02,0.052900989003145216,-0.0014639894819597524,0.2777777777777778,0.24675324675324695,0.16041366041366042,0.08633958633958651,0.5000000000000001,0.5,0.006340428944008547,0.037982023775007034,0.002927085629484613,0.0762268648408679,-0.11352191065243905,1.0572563316928811,-0.0014639894819597524,-0.001384706279900551,0.0033517293233509223,0.0034012095360518857,-4.948021270096336e-05,-0.0015134696946607158
2017-09-29,2017-10-02,2017-11-01,0.01058591532006251,0.0019818429416351554,0.3333333333333333,0.5086580086580087,0.36266233766233774,0.14599567099567093,0.5000000000000001,0.5000000000000001,0.006403700615894792,0.01131284916201114,0.0031525972255429004,0.07000345384355061,-0.11352191065243905,1.0607501358057136,0.0019818429416351554,0.0018683409737485516,0.003396363148984767,0.003412449156482095,-1.608600749732807e-05,0.0019657569341378273
2017-10-31,2017-11-01,2017-12-01,-0.03241574675254438,0.012311327689662392,0.3333333333333333,0.37676212676212684,0.2568995818995819,0.11986254486254498,0.5,0.5,0.005674522127418591,-0.05040740229250096,0.005465123335992771,0.07484643494602454,-0.11352191065243905,1.1004570237781113,0.012311327689662392,0.011187467955263616,0.0031222838658510493,0.0035401868128765645,-0.00041790294702551524,0.011893424742636877
2017-11-30,2017-12-01,2018-01-02,0.11900415678124558,0.034223388060372506,0.33333333333333326,0.5184815184815187,0.374241478872308,0.14424003960921064,0.5000000000000001,0.5,0.005357961454301119,0.07620709714950546,0.03915663148185417,0.052718249769541224,-0.11352191065243905,1.1218776020537256,0.034223388060372506,0.03050545620816627,0.0030054884741238155,0.0036090971356760584,-0.0006036086615522429,0.033619779398820264
2017-12-28,2018-01-02,2018-02-01,0.06826070051452666,0.00022913705437177303,0.33333333333333326,0.3202428778044064,0.2086062873870516,0.11163659041735481,0.5,0.5,0.005833860500798371,0.10837837837837827,0.01250806967909527,0.10660352460493602,-0.11352191065243905,1.1191114546329184,0.00022913705437177303,0.00020474909216878015,0.0032643700555869955,0.0036001983977789675,-0.00033582834219197206,-0.00010669128782019903
2018-01-31,2018-02-01,2018-03-01,-0.02923346493153592,-0.005950633548656939,0.2499999999999999,0.26426259529382407,0.15484787015162,0.10941472514220406,0.49999999999999994,0.5,0.0046399365258855685,0.00585223116313105,-0.004617963002085674,0.06072187645432728,-0.11352191065243905,1.126519058103657,-0.005950633548656939,-0.005282319465304056,0.0026134884624006826,0.003624028769665817,-0.0010105403072651342,-0.006961173855922073
2018-02-28,2018-03-01,2018-04-02,-0.02448858866730046,0.004549460299236619,0.1777777777777777,0.321369826289094,0.22645486000559548,0.0949149662834985,0.49999999999999983,0.5000000000000001,0.00530620535449855,-0.00242424242424244,0.0037522836533427444,0.07645430271449918,-0.11352191065243905,1.129602366796132,0.004549460299236619,0.004027488285227447,0.0029969510635739355,0.0036339478201487265,-0.000636996756574791,0.003912463542661828
2018-03-29,2018-04-02,2018-05-02,0.0526394127449053,0.04720567524058655,0.1777777777777777,0.28417277167277155,0.21900946275946276,0.06516330891330875,0.5,0.5000000000000001,0.0051751262827499644,0.0015795868772783273,0.04163866063762551,0.07787908506262259,-0.11352191065243905,1.138601625567896,0.04720567524058655,0.041459342917275356,0.0029462035990291268,0.0036628985711013476,-0.0007166949720722208,0.046488980268514335
2018-04-30,2018-05-02,2018-06-01,-0.07191313194476291,0.02509615712838968,0.16666666666666666,0.3353632478632477,0.2510149572649573,0.08434829059829042,0.5,0.5,0.00517512915838636,-0.093169962392333,0.011502152536216531,0.04020578968661356,-0.11352191065243905,1.1366535866290695,0.02509615712838968,0.022078984682410062,0.002941164559574267,0.0036566317005074125,-0.0007154671409331454,0.024380689987456537
2018-05-30,2018-06-01,2018-07-02,-0.05081750308983433,0.009658861241242324,0.14814814814814817,0.27442810457516337,0.15236556743909685,0.12206253713606652,0.49999999999999994,0.49999999999999983,0.005175127953596537,-0.06903010033444812,0.0003780577854151362,0.027635700345448124,-0.11352191065243905,1.175832603024765,0.009658861241242324,0.00821448666791126,0.0030425420863318194,0.003782671186092523,-0.0007401290997607036,0.00891873214148162
2018-06-29,2018-07-02,2018-08-01,-0.005292813111300756,-0.04073194037744781,0.12499999999999994,0.16683006535947717,0.09531979458450046,0.07151027077497671,0.5,0.49999999999999994,0.005422231405763034,0.09225463428653535,-0.026087751175767133,0.04380788024815909,-0.11352191065243905,1.1140916303936754,-0.04073194037744781,-0.03656067352651664,0.003020431313609164,0.0035840495476278595,-0.0005636182340186956,-0.041295558611466505
2018-07-31,2018-08-01,2018-09-03,-0.0008785186772788632,0.023152417960591063,0.12499999999999994,0.22843137254901955,0.1380252100840336,0.09040616246498594,0.49999999999999983,0.49999999999999983,0.005669392098232251,-0.030916984607288645,0.017126894431702296,-0.043687930875760075,-0.11352191065243905,1.1219077909406874,0.023152417960591063,0.02063664959593375,0.003180267582452165,0.003609194253779907,-0.0004289266713277417,0.02272349128926332
2018-08-31,2018-09-03,2018-10-01,-0.008900900159539553,-0.022833947074860535,0.18518518518518523,0.26778711484593837,0.18004740357681534,0.087739711269123,0.5,0.4999999999999998,0.0046814831535106904,0.04194949769209888,-0.014921841595585905,-0.05105952630165533,-0.11352191065243905,1.1600240679610674,-0.022833947074860535,-0.019684028724503054,0.0027153165659133376,0.0037318148907950852,-0.0010164983248817476,-0.023850445399742282
2018-09-28,2018-10-01,2018-11-01,0.1288172340158413,-0.046799996806598444,0.20833333333333326,0.21477411477411476,0.1340964590964591,0.08067765567765568,0.49999999999999994,0.5,0.005430480057369236,0.10110749185667767,-0.028730211180621846,-0.06844496235776358,-0.11352191065243905,1.1639437220186049,-0.046799996806598444,-0.040208126837467814,0.0031603865851610774,0.003744424476908583,-0.0005840378917475056,-0.04738403469834595
2018-10-31,2018-11-01,2018-12-03,0.029795317194699546,-0.022258909460456427,0.2083333333333333,0.17559523809523817,0.10168650793650792,0.07390873015873022,0.49999999999999994,0.5,0.004935582723077481,0.04248017986037134,-0.01461368841218188,-0.10138470316578643,-0.11352191065243905,1.1452342301095189,-0.022258909460456427,-0.019436119594790496,0.0028261991400027405,0.0036842357597656208,-0.0008580366197628803,-0.023116946080219306
2018-11-30,2018-12-03,2019-01-02,-0.007838637742556226,-0.022941698122070035,0.15686274509803919,0.25251831501831495,0.15296855921855926,0.09954975579975571,0.5,0.5,0.0049355815906149125,-0.039727582292849006,-0.024240599041015446,-0.10414205385152593,-0.11352191065243905,1.1627442813633844,-0.022941698122070035,-0.01973064799352922,0.002869409634844943,0.0037405658582631575,-0.0008711562234182146,-0.02381285434548825
2018-12-28,2019-01-02,2019-02-01,0.12606002612566022,-0.006480500946519291,0.14285714285714282,0.24299450549450538,0.16316391941391942,0.07983058608058596,0.49999999999999994,0.49999999999999994,0.0054304775314564235,0.11229314420803793,0.007320783862124936,-0.05103329533645258,-0.11352191065243905,1.194133506188484,-0.006480500946519291,-0.005426948421541401,0.0032423575874579204,0.0038415454670903356,-0.0005991878796324152,-0.007079688826151707
2019-01-31,2019-02-01,2019-03-01,-0.0028511114224105023,0.01017591910908664,0.20833333333333323,0.21477411477411482,0.14584859584859586,0.06892551892551897,0.49999999999999983,0.5,0.004935584456412068,-0.018065887353878707,0.00646405319412641,-0.001057756753880696,-0.11352191065243905,1.1950682392563414,0.01017591910908664,0.008514927244170457,0.0029491801130126683,0.003844552517442042,-0.0008953724044293739,0.009280546704657265
2019-02-28,2019-03-01,2019-04-01,-0.022485124911674412,-0.0027914007152613444,0.19607843137254896,0.11611721611721626,0.0797068044949401,0.03641041162227616,0.5,0.49999999999999983,0.00468822755862508,0.005627705627705648,-0.0015233905335992292,-0.015496721745078348,-0.11352191065243905,1.2909653525980742,-0.0027914007152613444,-0.002162258429045858,0.0030261696716402165,0.004153054974793601,-0.0011268853031533841,-0.003918286018414728
2019-03-29,2019-04-01,2019-05-02,-0.028943861483454025,-0.005277769637102818,0.1333333333333333,0.31759768009768014,0.16465412609950902,0.15294355399817114,0.5000000000000001,0.5000000000000001,0.005183004504666133,-0.007856220404649172,-0.004836356724820331,-0.016359076477962024,-0.11352191065243905,1.3380060476863485,-0.005277769637102818,-0.003944503573977879,0.0034674456862144373,0.004304385599090327,-0.0008369399128758895,-0.006114709549978708
2019-04-30,2019-05-02,2019-06-03,0.039871307257023425,0.007879991296522318,0.14285714285714282,0.2442330322779455,0.16636951868546695,0.07786351359247855,0.49999999999999983,0.49999999999999983,0.005430481280309873,0.019741837509491322,0.007929588955599845,-0.014196128506747402,-0.11352191065243905,1.3852596812289095,0.007879991296522318,0.005688457841732402,0.0037613133836408067,0.0044564012496002775,-0.0006950878659594708,0.007184903430562847
2019-05-31,2019-06-03,2019-07-01,0.09014055149660039,0.015842657653097055,0.2222222222222222,0.30779544745868426,0.23791257058864546,0.06988287687003879,0.49999999999999983,0.49999999999999994,0.004688230633274948,0.04882459312839038,0.016843132274808357,-0.011924064693338985,-0.11352191065243905,1.4019466450814844,0.015842657653097055,0.011300471176045535,0.0032863246038440275,0.00451008346353628,-0.0012237588596922529,0.014618898793404802
2019-06-28,2019-07-01,2019-08-01,0.06701150324350147,-0.01575299352443554,0.12499999999999994,0.2397283272283273,0.13268467643467644,0.10704365079365086,0.49999999999999994,0.5000000000000001,0.005659221629623845,-0.00020283975659229903,-0.01134571528495792,0.01587558822898701,-0.11352191065243905,1.3912767701023678,-0.01575299352443554,-0.011322688528233286,0.003936771795078261,0.004475758315093478,-0.0005389865200152166,-0.016291980044450757
2019-07-31,2019-08-01,2019-09-02,0.017849092081439713,-0.05330704569279253,0.1666666666666666,0.2763278388278389,0.17876221001221002,0.0975656288156289,0.5,0.5,0.005017114026254488,-0.010752688172043001,-0.04125582665153755,0.03176267082545204,-0.11352191065243905,1.3315057173175844,-0.05330704569279253,-0.040035160945597344,0.0033401580051960478,0.004283473938431527,-0.0009433159332354795,-0.05425036162602801
2019-08-30,2019-09-02,2019-10-01,0.037492100817268434,0.025859835326918837,0.2222222222222222,0.4333333333333334,0.3,0.13333333333333344,0.49999999999999983,0.5000000000000001,0.004618699183855934,0.03568498769483197,0.023604897236277494,0.09921502245141747,-0.11352191065243905,1.322491983261427,0.025859835326918837,0.019553869251551392,0.003054096321872785,0.004254476620271088,-0.001200380298398303,0.024659455028520533
2019-09-30,2019-10-01,2019-11-01,0.03798926473473874,-0.025123796855915946,0.16666666666666666,0.2561813186813186,0.1742445054945055,0.08193681318681308,0.49999999999999994,0.49999999999999983,0.004773723371155114,0.028217821782178243,-0.01503215438309517,0.14518125268529547,-0.14518125268529547,1.3133979715293431,-0.025123796855915946,-0.019128853097482225,0.0031348992961586714,0.004225221047618609,-0.0010903217514599377,-0.026214118607375884
2019-10-31,2019-11-01,2019-12-02,0.04549176973997984,0.022486879305857747,0.16666666666666666,0.2246031746031746,0.17640415140415142,0.04819902319902322,0.49999999999999994,0.49999999999999983,0.003803831092924481,0.007221954742417047,0.018068126050538952,0.12935200905351274,-0.12935200905351274,1.3124164060768329,0.022486879305857747,0.017133951695313763,0.0024961051661496285,0.004222063336780414,-0.0017259581706307856,0.02076092113522696
2019-11-29,2019-12-02,2020-01-02,0.14064499994971777,0.0030370245028023884,0.0833333333333333,0.1536172161172161,0.08871336996336997,0.0649038461538461,0.5,0.5,0.0037279409341381964,0.07504780114722753,0.01201736556637159,0.09668223913418543,-0.12935200905351274,1.314853471132097,0.0030370245028023884,0.0023097817129291917,0.0024508480387135196,0.004229903411753219,-0.0017790553730396997,0.0012579691297626887
2019-12-30,2020-01-02,2020-02-03,-0.0028265391259578595,-0.02231622971426949,0.11764705882352937,0.21936274509803919,0.13520954156310408,0.08415320353493509,0.5,0.5,0.003766235786434091,-0.024455313472654505,-0.020296896072289305,0.09999895906464572,-0.12935200905351274,1.3024870458020912,-0.02231622971426949,-0.017133552142568006,0.0024527366616333276,0.004190120435290036,-0.0017373837736567085,-0.0240536134879262
2020-01-31,2020-02-03,2020-03-02,-0.09152344070425472,0.020936787100264212,0.14814814814814806,0.16994756060730876,0.09120747879087387,0.07874008181643487,0.5,0.49999999999999983,0.0029277304696122552,-0.08067456700091169,0.004520990071786143,0.13776462673352627,-0.13776462673352627,1.3390894998692535,0.020936787100264212,0.015635091681555597,0.0019602465651525243,0.0043078710810741045,-0.00234762451592158,0.018589162584342633
2020-02-28,2020-03-02,2020-04-01,-0.4345012321381525,0.0190777133314235,0.1666666666666666,0.212120169705309,0.15050452929709893,0.06161564040821008,0.49999999999999994,0.4999999999999998,0.0033645394643435633,-0.3280118988596926,-0.030900801477463952,0.036297591016728525,-0.13776462673352627,1.3352603763080861,0.0190777133314235,0.014287635333096769,0.002246268115631395,0.004295552732930367,-0.0020492846172989717,0.01702842871412453
2020-03-31,2020-04-01,2020-05-04,0.14807729301101688,-0.008675346271480207,0.27450980392156865,0.48020869166380004,0.3442710124985666,0.13593767916523336,0.5,0.5,0.0028492611374593135,0.10919285819684243,0.008537926470572646,0.04506152939063548,-0.13776462673352627,1.3336454677528335,-0.008675346271480207,-0.006504986880882215,0.0018999521012084484,0.00429035754779567,-0.002390405446587221,-0.011065751718067427
2020-04-30,2020-05-04,2020-06-01,0.12627346990160446,0.0033005008197306046,0.28070175438596484,0.25694444444444436,0.20904508072141856,0.04789936372302586,0.5000000000000001,0.49999999999999994,0.002329187792233345,0.11214580284688025,0.01782556374951909,0.04469278725816546,-0.13776462673352627,1.3891937575650717,0.0033005008197306046,0.0023758390805870035,0.0016178465705836667,0.004469057232401237,-0.0028512106618175707,0.00044929015791303397
2020-05-29,2020-06-01,2020-07-01,0.1544695775070639,-0.03684097428814528,0.37499999999999994,0.24645969498910678,0.19053957283106496,0.055920122158041784,0.5,0.5,0.0020941888350856086,0.09904306220095704,-0.012910163360148557,0.04989459250648022,-0.13776462673352627,1.3873568173632693,-0.03684097428814528,-0.026554793854808828,0.0014526935786010311,0.004463147768116902,-0.003010454189515871,-0.03985142847766115
2020-06-30,2020-07-01,2020-08-03,0.05694072769290056,-0.023192256229217438,0.0784313725490196,0.24387254901960786,0.14415849673202616,0.09971405228758172,0.49999999999999994,0.49999999999999994,0.0019433895950817792,0.08794079233783192,-0.0031536443123052066,0.03857267892598955,-0.13776462673352627,1.5189336812554053,-0.023192256229217438,-0.015268774743377168,0.0014759399558855089,0.004886432520147814,-0.0034104925642623055,-0.026602748793479743
