month_end,trade_date,next_trade_date,D10,LS,turnover_D10,turnover_LS,turnover_LS_reconst,turnover_LS_reweight,ls_gross_long,ls_gross_short,dispersion,dispersion_gate_active,CDI,BOVA11,LS_pre_overlay,beta_est,hedge_ratio,vt_scale,LS_vt,LS_pre_vt,LS_carry,LS_borrow_cost,LS_financing_net,LS_net
2013-05-31,2013-06-03,2013-07-01,-0.11625232693781669,0.011576595955725797,0.2564102564102564,0.47416472416472405,0.3683954933954934,0.10576923076923066,0.49999999999999994,0.5,2.227990690516588,1,0.005919441025405314,-0.11462300076161469,-0.005015722701005992,-0.07505374765814761,-0.12052154883046434,1.3156988580489282,0.011576595955725797,0.008798818882379305,0.0038941008987068743,0.0042326230341919666,-0.0003385221354850923,0.011238073820240705
2013-06-28,2013-07-01,2013-08-01,0.007799585833148226,-0.015459135051251167,0.26666666666666666,0.28571428571428564,0.22871572871572873,0.0569985569985569,0.5,0.5,2.198476951222412,1,0.0071068152139550644,0.030322580645161246,-0.008157790875338184,0.058017915957677225,-0.12052154883046434,1.3087303134050716,-0.015459135051251167,-0.011812315259229678,0.0046504522511356715,0.0042102051211612285,0.00044024712997444305,-0.015018887921276723
2013-07-31,2013-08-01,2013-09-02,-0.015085705093132248,-0.0417494194124896,0.2222222222222222,0.28030303030303033,0.2064393939393939,0.07386363636363642,0.5,0.5,2.225460478139935,1,0.0069759345084061675,0.06073888541014405,-0.02197683116626377,-0.004324000802671193,-0.12052154883046434,1.4250322224081629,-0.0417494194124896,-0.02929717571013042,0.004970465727943918,0.004584350113349613,0.0003861156145943054,-0.041363303797895296
2013-08-30,2013-09-02,2013-10-01,0.08837154245655608,0.037905944159805034,0.25641025641025633,0.4264957264957266,0.31930846930846934,0.10718725718725718,0.5000000000000001,0.5000000000000003,2.1961351043467894,1,0.006991089252236904,0.010035419126328105,0.02813431008176603,-0.07131942382835793,-0.12052154883046434,1.4078436163515566,0.037905944159805034,0.026924825825498103,0.004921180187552854,0.00452905410889102,0.00039212607866183444,0.03829807023846687
2013-09-30,2013-10-01,2013-11-01,0.04792792095197574,0.032974645844786814,0.12121212121212122,0.28022533022533036,0.17344599844599848,0.1067793317793319,0.5000000000000001,0.5,2.2054544586184104,1,0.008056071351680183,0.03623611922852121,0.027959196944115125,-0.06018662471065707,-0.12052154883046434,1.3977067030386445,0.032974645844786814,0.023591963731088378,0.0056300124642004925,0.004496443506152131,0.0011335689580483617,0.03410821480283518
2013-10-31,2013-11-01,2013-12-02,-0.02191291982951323,0.02293700992195649,0.15384615384615377,0.28030303030303033,0.17045454545454544,0.10984848484848486,0.5000000000000001,0.49999999999999983,2.205102685269288,1,0.007121615167924977,-0.05433352133859748,0.009869586614067291,-0.03042217386344152,-0.12052154883046434,1.3970693326248045,0.02293700992195649,0.016417946759208144,0.0049746950749318146,0.004494393075935193,0.00048030199899662136,0.023417311920953112
2013-11-29,2013-12-02,2014-01-02,-0.02668653897137725,-0.026191295600570874,0.2777777777777778,0.2238095238095239,0.14894179894179893,0.07486772486772497,0.5,0.49999999999999994,2.2144879628684997,1,0.007803801225700457,-0.001391650099403563,-0.01936489942874983,-0.015738677660990356,-0.12052154883046434,1.3643306776864872,-0.026191295600570874,-0.019197175603339642,0.005323482707395272,0.004389072330118121,0.0009344103772771506,-0.025256885223293724
2013-12-30,2014-01-02,2014-02-03,-0.07635559860307235,0.029696780181237042,0.24242424242424243,0.4345543345543345,0.34017279017279023,0.09438154438154434,0.5000000000000001,0.5,2.026505192582209,1,0.0084159347753745,-0.08023093768664136,0.012224259169319242,-0.022089538056693777,-0.12052154883046434,1.3564003699639895,0.029696780181237042,0.021893816043433732,0.005707688521455389,0.004363560410784051,0.0013441281106713384,0.03104090829190838
2014-01-31,2014-02-03,2014-03-05,0.008421516674590115,-0.0006805791805523625,0.2564102564102564,0.23610679734502085,0.19381097443008619,0.042295822914934667,0.5000000000000001,0.5000000000000001,2.098286782193752,1,0.007836869701381088,-0.0021645021645021467,-0.0007605728642165081,-0.02899057499830377,-0.12052154883046434,1.3619654321185553,-0.0006805791805523625,-0.0004997037109038168,0.005336772814649155,0.00438146329951731,0.0009553095151318448,0.00027473033457948233
2014-02-28,2014-03-05,2014-04-01,0.036400445293006546,-0.016083704015131185,0.1111111111111111,0.14423508299685975,0.13961791535815765,0.00461716763870209,0.5000000000000001,0.5,2.178792596131874,1,0.007599483935512019,0.0661605206073752,-0.003899560285678878,-0.03426874660093004,-0.12052154883046434,1.3546078290723955,-0.016083704015131185,-0.011873328700709592,0.005147160217977241,0.004357793779749086,0.0007893664382281548,-0.01529433757690303
