bps,D10_sharpe,D10_mean,D10_t,D10_alpha_bps,D10_alpha_t,LS_mean,LS_t,LS_alpha_bps,LS_alpha_t,LS_ir,LS_mean_vt,LS_t_vt,LS_alpha_bps_vt,LS_alpha_t_vt,LS_ir_vt,LS_maxDD_vt,LS_hit_vt,avg_turnover_D10,avg_turnover_LS
20,0.2058822681166822,0.01211226143976864,2.5508600704756534,57.8838008081761,2.170550260206195,0.009616205353884915,3.6890319292569456,106.69208372855898,4.522697161476371,1.28228756639648,0.010047506427157937,3.8654715229382632,111.51053171226329,4.732569620150709,1.3753703460848699,-0.1224021837767596,0.6836158192090396,0.1750175545188257,0.23523808997687765
50,0.19375823981410795,0.0118497351079904,2.492832492399311,55.242023814912734,2.068974503660637,0.009263348218919599,3.562261197708951,103.12944492828153,4.381910391208911,1.2399990154209861,0.009691731643188643,3.7386321488858854,107.92143720390222,4.590904105576453,1.331905361351682,-0.12552196253900672,0.6779661016949152,0.1750175545188257,0.23523808997687765
100,0.17356450955455402,0.011412191221693336,2.3962137878478904,50.83906215947381,1.8997523733546775,0.008675252993977405,3.3481626022785718,97.19171359448573,4.14360492589165,1.1689217922979374,0.009098773669906489,3.5240896786039513,101.93961302330037,4.350920887867671,1.2587430405963576,-0.1307011430123951,0.672316384180791,0.1750175545188257,0.23523808997687765
