bps,D10_sharpe,D10_mean,D10_t,D10_alpha_bps,D10_alpha_t,LS_mean,LS_t,LS_alpha_bps,LS_alpha_t,LS_ir,LS_mean_vt,LS_t_vt,LS_alpha_bps_vt,LS_alpha_t_vt,LS_ir_vt,LS_maxDD_vt,LS_hit_vt,avg_turnover_D10,avg_turnover_LS
20,0.12231738454599062,0.01023800239117142,2.134953681837787,40.54562487231692,1.3462944330909157,0.00951520481094919,3.8741380204119538,98.44722696571925,4.03434932209678,1.188638226507971,0.009982298708373326,4.064684499502606,102.31071135920165,4.1660146511284735,1.2176411748759937,-0.12693906230961904,0.655367231638418,0.2783859049867812,0.3520690024816528
50,0.10274568211542871,0.009820423533691246,2.0479879565598007,36.38378129440013,1.2060685016747057,0.00898710130722671,3.6514521017511883,93.16453860016966,3.8098204198496783,1.124239670792453,0.009443740649748962,3.8392505031156183,96.92256566452173,3.9386575779010293,1.1531510862987002,-0.12955087325071202,0.6497175141242938,0.2783859049867812,0.3520690024816528
100,0.07011952676656687,0.009124458771224296,1.9029830679372344,29.447375331205446,0.9733607952634038,0.00810692880102258,3.282188442799836,84.36005799092027,3.4375102557308788,1.0170250427575787,0.008546143885375026,3.4648352671136133,87.9423228400552,3.56147510396406,1.0457112859149582,-0.13610454385218929,0.6271186440677966,0.2783859049867812,0.3520690024816528
