month_end,trade_date,next_trade_date,D10,LS,turnover_D10,turnover_LS,turnover_LS_reconst,turnover_LS_reweight,ls_gross_long,ls_gross_short,CDI,BOVA11,LS_pre_overlay,beta_est,hedge_ratio,vt_scale,LS_vt,LS_pre_vt,LS_carry,LS_borrow_cost,LS_financing_net,LS_net
2011-01-31,2011-02-01,2011-03-01,-0.02137596533113594,0.007902324097626803,0.0,2.7755575615628914e-16,0.0,2.7755575615628914e-16,0.5000000000000001,0.5000000000000001,0.008425009434362085,-0.0011961722488037507,0.007902324097626803,0.0,0.0,1.0,0.007902324097626803,0.007902324097626803,0.0042125047171810434,0.004744396467291524,-0.0005318917501104803,0.007370432347516323
2011-02-28,2011-03-01,2011-04-01,0.039186766432770255,0.03824926243045368,0.16666666666666666,0.32777777777777795,0.21388888888888888,0.11388888888888904,0.5000000000000003,0.5,0.009206833909138457,0.017964071856287456,0.03824926243045368,0.0,0.0,1.0,0.03824926243045368,0.03824926243045368,0.004603416954569228,0.004744396467291523,-0.0001409795127222946,0.038108282917731384
2011-03-31,2011-04-01,2011-05-02,0.02681826831118803,0.06848397402479726,0.16666666666666666,0.2916666666666668,0.18333333333333332,0.10833333333333349,0.5000000000000001,0.5,0.008396233613529702,-0.03676470588235292,0.06848397402479726,0.0,0.0,1.0,0.06848397402479726,0.06848397402479726,0.004198116806764851,0.004744396467291523,-0.0005462796605266718,0.06793769436427059
2011-04-29,2011-05-02,2011-06-01,0.009237893928696799,0.030066201232064226,0.25641025641025644,0.40850815850815864,0.26139693639693645,0.14711122211122218,0.5,0.5000000000000001,0.009853034390991944,-0.029312977099236637,0.030066201232064226,0.0,0.0,1.0,0.030066201232064226,0.030066201232064226,0.004926517195495973,0.004744396467291524,0.00018212072820444902,0.030248321960268675
2011-05-31,2011-06-01,2011-07-01,-0.019466660403932287,0.02080873150760384,0.20512820512820507,0.3251748251748252,0.21340326340326343,0.11177156177156178,0.5,0.5000000000000001,0.009535252207044431,-0.0301981755268953,0.02080873150760384,0.0,0.0,1.0,0.02080873150760384,0.02080873150760384,0.0047676261035222165,0.004744396467291524,2.322963623069274e-05,0.020831961143834534
2011-06-30,2011-07-01,2011-08-01,-0.033386546838307184,0.04385557858037117,0.2222222222222222,0.2670940170940172,0.19566822066822076,0.07142579642579643,0.5000000000000001,0.5000000000000001,0.009675260632866944,-0.05124878365228669,0.04385557858037117,0.0,0.0,1.0,0.04385557858037117,0.04385557858037117,0.004837630316433473,0.004744396467291524,9.323384914194932e-05,0.043948812429513116
2011-07-29,2011-08-01,2011-09-01,0.011471034973435523,0.018717205883784074,0.20512820512820507,0.2713675213675215,0.18113830613830617,0.09022921522921533,0.5000000000000001,0.5,0.010704896208957981,-0.029401709401709386,0.02309072979533019,-0.1487506679217721,0.1487506679217721,1.0,0.018717205883784074,0.018717205883784074,0.005352448104478991,0.004744396467291523,0.0006080516371874678,0.019325257520971542
2011-08-31,2011-09-01,2011-10-03,-0.06818061656021751,0.015451827443126568,0.2564102564102564,0.2884615384615385,0.219988344988345,0.06847319347319343,0.5000000000000001,0.5000000000000001,0.009398254167376052,-0.09915463191264529,0.0300405843316352,-0.14713137053810307,0.14713137053810307,1.0,0.015451827443126568,0.015451827443126568,0.004699127083688027,0.004744396467291524,-4.526938360349675e-05,0.015406558059523071
2011-09-30,2011-10-03,2011-11-01,0.055821045582530954,0.012424190100387976,0.3333333333333334,0.3463480963480965,0.2716588966588967,0.07468919968919978,0.5000000000000001,0.5000000000000001,0.008789482465142662,0.08856304985337249,-0.0006062128035730679,-0.017044292267474857,0.14713137053810307,1.0,0.012424190100387976,0.012424190100387976,0.004394741232571332,0.004744396467291524,-0.000349655234720192,0.012074534865667784
2011-10-31,2011-11-01,2011-12-01,0.05634065568007835,0.08361752876364241,0.3333333333333333,0.33838383838383845,0.22474747474747478,0.11363636363636372,0.5000000000000001,0.5000000000000001,0.008567424211848751,0.025502873563218342,0.07986525602362614,-0.09902595772099669,0.14713137053810307,1.0,0.08361752876364241,0.08361752876364241,0.004283712105924376,0.004744396467291524,-0.0004606843613671474,0.08315684440227526
2011-11-30,2011-12-01,2012-01-02,0.022352548164327243,0.04460261224766866,0.28571428571428564,0.2979076479076481,0.22117604617604614,0.07673160173160196,0.5,0.5,0.009047373489255106,-0.010332749562171673,0.046122883852177964,-0.03495188444105477,0.14713137053810307,1.0,0.04460261224766866,0.04460261224766866,0.004523686744627553,0.004744396467291523,-0.00022070972266396982,0.04438190252500469
2011-12-29,2012-01-02,2012-02-01,0.08393224439190507,0.0222103071858928,0.25641025641025644,0.336863136863137,0.2138861138861139,0.12297702297702318,0.5,0.5000000000000001,0.00883164575843809,0.10953813484339059,0.0019189110786424848,-0.03635046082910846,0.14713137053810307,1.2314835592665134,0.0222103071858928,0.018035406984338084,0.005438013276391173,0.005842646248111638,-0.00040463297172046477,0.021805674214172337
2012-01-31,2012-02-01,2012-03-01,0.08267450874168314,-0.006589003418537297,0.20512820512820507,0.29059829059829073,0.18048433048433046,0.1101139601139602,0.5,0.5000000000000001,0.007414836145679615,0.0389154704944179,-0.01141806500135061,-0.10103612668497161,0.14713137053810307,1.1575132306059845,-0.006589003418537297,-0.005692378492371792,0.00429138547069982,0.005491701682130232,-0.0012003162114304121,-0.007789319629967709
