run_id,band_keep,band_add,sector_tol,exit_cap_frac,ls_turnover_budget,micro_add_frac,overlay_band,train_mean,train_drawdown,train_turnover,train_alpha,train_alpha_t,train_sharpe,constraints_pass,oos_mean,oos_drawdown,oos_turnover,oos_alpha,oos_alpha_t,oos_sharpe
run_01,0.8267295010548164,0.9103349178495007,0.10140718380348455,0.07251005233337088,0.2553998169172193,0.03303849121634412,0.09567126167110716,0.009841163388737204,-0.059182092293899924,0.34008773889050326,0.009103504410914672,4.417685028076635,1.608499208428649,True,,,,,,
run_02,0.8166737222796295,0.954656587181451,0.08572319817679412,0.06672199706106206,0.2950857313113482,0.025258587069407305,0.11553152305371112,0.007371258481016184,-0.06317192851935605,0.33287920614007577,0.006677253169126063,3.3067949312233673,1.2176892160460469,True,,,,,,
run_03,0.8089481266420546,0.9173283577883209,0.08123871299504352,0.055610563129449356,0.2663641496911712,0.02957318101914773,0.1097845325588113,0.009806094549119624,-0.04902418537642439,0.32505835146004547,0.0092209211213788,4.409168879072086,1.6066070617179251,True,,,,,,
run_04,0.789520604613899,0.9259683867635131,0.09216431003825099,0.0633145946811053,0.30043779246824,0.020969164659173693,0.10477814677509646,0.009456129145425795,-0.055371449261722216,0.3187182501116796,0.008693575696316612,4.0444855937157325,1.5738912143488772,True,,,,,,
run_05,0.8139299514560918,0.9030664002456668,0.09217954197866157,0.07256531897233226,0.3249601298055213,0.017739463344194847,0.11292502426860994,0.011036805686117734,-0.03686798060241381,0.33524092492738294,0.010470403328248376,5.75484531320988,1.8108689090445247,True,0.010386803294631835,-0.053798299440084074,0.29852706222938297,0.01025686551346239,5.019483073967128,1.567411710167856
run_06,0.8176365295454444,0.9426496442500515,0.10872017043816778,0.05933236833267451,0.2553890928768106,0.027471528094683857,0.12391526659215826,0.008769214240958202,-0.05091363694273354,0.32990794627935854,0.00828879180720267,4.248941310052726,1.4032429953328363,True,,,,,,
run_07,0.8380410903828497,0.9314191274420903,0.08290770476591398,0.07862843977829814,0.3134772029008384,0.026201289001024513,0.09128253376545543,0.00849094340648027,-0.0625221268702052,0.3488469469266786,0.00774548480468646,3.9257686321801804,1.4079582828907298,True,,,,,,
run_08,0.8255971137416055,0.9118980303615064,0.10156124060246792,0.06896127010184606,0.31750713965574623,0.02321293737549731,0.10953577651859286,0.010046177695550652,-0.0568724858390095,0.34229696018735495,0.009589358876291997,4.845300070355851,1.5883527283245427,True,,,,,,
run_09,0.816535953112279,0.9534704253933279,0.10551144913877589,0.055297278246692866,0.3046026535497048,0.02000849168802592,0.12444051807237415,0.0073850811078688,-0.0583574645298377,0.3325858783982354,0.006788272600262555,3.4045667640602746,1.203636419496878,True,,,,,,
run_10,0.8347976569530342,0.9024214709819968,0.08194168583530716,0.062457236459697044,0.32484953227700214,0.022547237014218638,0.10672916022684258,0.01005624567586073,-0.06401453668870105,0.3495033971214749,0.009361219956277768,4.849212919472899,1.643258683853386,True,,,,,,
