month_end,mom_raw,mom_net,mom,mom_carry,mom_borrow,mom_dispersion,mom_gate_active,mom_turnover,mom_gross_long,mom_gross_short,val_raw,val_net,val,val_carry,val_borrow,val_dispersion,val_gate_active,val_turnover,val_gross_long,val_gross_short,bova11,cdi,combo_pre_overlay,combo_beta_est,combo_hedge_ratio,combo_raw,combo_net,combo,combo_carry,combo_borrow,combo_financing,combo_turnover,combo_gross_long,combo_gross_short,combo_gate_active
2011-01-31,0.0079023240976268,0.0081277586003559,0.0081277586003559,0.004212504717181,0.0039870702144518,,,2.775557561562891e-16,0.5000000000000001,0.5000000000000001,-0.0059627718453576,-0.0057373373426285,-0.0057373373426285,0.004212504717181,0.0039870702144518,,,0.3851851851851852,0.5,0.5,-0.0011961722488037,0.008425009434362,0.0008976938600876497,0.0,0.0,0.0008976938600876497,0.00112312836281685,0.00112312836281685,0.004212504717181,0.0039870702144518,0.00022543450272920033,0.19259259259259273,0.5,0.5,
2011-02-28,0.0382492624304536,0.038865609170571,0.038865609170571,0.0046034169545692,0.0039870702144518,,,0.3277777777777779,0.5000000000000003,0.5,-0.0071479490308808,-0.0065316022907635,-0.0065316022907635,0.0046034169545692,0.0039870702144518,,,0.2268518518518519,0.5,0.5,0.0179640718562874,0.0092068339091384,0.01663318558149715,0.0,0.0,0.01663318558149715,0.017249532321614552,0.017249532321614552,0.0046034169545692,0.0039870702144518,0.0006163467401173999,0.2773148148148149,0.5000000000000002,0.5,
2011-03-31,0.0684839740247972,0.0686950206171102,0.0686950206171102,0.0041981168067648,0.0039870702144518,,,0.2916666666666668,0.5000000000000001,0.5,0.0279699821614532,0.0281810287537661,0.0281810287537661,0.0041981168067648,0.0039870702144518,,,0.4944444444444444,0.5000000000000001,0.5,-0.0367647058823529,0.0083962336135297,0.04601150844550635,0.0,0.0,0.04601150844550635,0.04622255503781934,0.04622255503781934,0.0041981168067648,0.0039870702144518,0.00021104659231300019,0.3930555555555556,0.5000000000000001,0.5,
2011-04-29,0.0300662012320642,0.0310056482131083,0.0310056482131083,0.0049265171954959,0.0039870702144518,,,0.4085081585081587,0.5,0.5000000000000001,0.0152532315227164,0.0161926785037605,0.0161926785037605,0.0049265171954959,0.0039870702144518,,,0.3329966329966331,0.5000000000000001,0.5000000000000001,-0.0293129770992366,0.0098530343909919,0.02089329367697435,0.0,0.0,0.02089329367697435,0.02183274065801845,0.02183274065801845,0.0049265171954959,0.0039870702144518,0.0009394469810441002,0.37075239575239594,0.5,0.5000000000000001,
2011-05-31,0.0208087315076038,0.0215892873966741,0.0215892873966741,0.0047676261035222,0.0039870702144518,,,0.3251748251748251,0.5000000000000001,0.5000000000000001,0.0344165360102465,0.0354423582598787,0.0354423582598787,0.0062657101219819,0.0052398878723497,,,0.2870370370370371,0.5,0.5000000000000001,-0.0301981755268953,0.0095352522070444,0.02167850126365445,0.0,0.0,0.02167850126365445,0.02258169033300575,0.02258169033300575,0.00551666811275205,0.00461347904340075,0.0009031890693512994,0.3061059311059311,0.5,0.5000000000000001,
2011-06-30,0.0438555785803711,0.0447061386823527,0.0447061386823527,0.0048376303164334,0.0039870702144518,,,0.2670940170940171,0.5000000000000001,0.5000000000000001,-0.0373778943123205,-0.0363056181231159,-0.0363056181231159,0.006098658740753,0.0050263825515484,,,0.2895622895622897,0.5000000000000001,0.5000000000000002,-0.0512487836522866,0.0096752606328669,0.004014891180491399,0.0,0.0,0.004014891180491399,0.0049763093260845,0.0049763093260845,0.0054681445285932,0.0045067263830000995,0.0009614181455931004,0.2783281533281534,0.5000000000000001,0.5000000000000002,
2011-07-29,0.018717205883784,0.0200825837738111,0.0200825837738111,0.0053524481044789,0.0039870702144518,,,0.2713675213675214,0.5000000000000001,0.5,-0.0213816209246877,-0.0196276871263673,-0.0196276871263673,0.0068756347255742,0.0051217009272538,,,0.230976430976431,0.5,0.5000000000000003,-0.0294017094017093,0.0107048962089579,0.001451162286014501,0.007026485279932658,0.0,0.001451162286014501,0.003010818130188251,0.003010818130188251,0.00611404141502655,0.0045543855708528,0.00155965584417375,0.2511719761719762,0.5,0.5000000000000002,
2011-08-31,0.0154518274431265,0.0161638843123627,0.0161638843123627,0.004699127083688,0.0039870702144518,,,0.2884615384615385,0.5000000000000001,0.5000000000000001,0.0081433542760325,0.0090894225917952,0.0090894225917952,0.0062434553161304,0.0052973870003677,,,0.2136363636363637,0.5,0.5000000000000001,-0.0991546319126452,0.009398254167376,0.012109698823268001,0.009026635616565512,0.0,0.012109698823268001,0.012938761415767452,0.012938761415767452,0.0054712911999092,0.00464222860740975,0.0008290625924994499,0.2510489510489511,0.5,0.5000000000000001,
2011-09-30,0.0124241901003879,0.0128318611185074,0.0128318611185074,0.0043947412325713,0.0039870702144518,,,0.3463480963480965,0.5000000000000001,0.5000000000000001,-0.0162255126119641,-0.0156701681812214,-0.0156701681812214,0.0059866778838531,0.0054313334531104,,,0.2333333333333334,0.5000000000000001,0.5000000000000001,0.0885630498533724,0.0087894824651426,-0.0009216957789463501,0.009739443627805476,0.0,-0.0009216957789463501,-0.0004401880545152491,-0.0004401880545152491,0.0051907095582122,0.004709201833781099,0.000481507724431101,0.28984071484071494,0.5000000000000001,0.5000000000000001,
2011-10-31,0.0836175287636424,0.0839141706551149,0.0839141706551149,0.0042837121059243,0.0039870702144518,,,0.3383838383838384,0.5000000000000001,0.5000000000000001,-0.0361068746580714,-0.0357077291225706,-0.0357077291225706,0.0057639349383975,0.0053647894028967,,,0.2074074074074073,0.5000000000000001,0.5,0.0255028735632183,0.0085674242118487,0.028052275179504798,-0.039015909889850396,0.0,0.028052275179504798,0.028400168892991448,0.028400168892991448,0.0050238235221609,0.00467592980867425,0.00034789371348665013,0.27289562289562286,0.5000000000000001,0.5,
2011-11-30,0.0446026122476686,0.0451392287778443,0.0451392287778443,0.0045236867446275,0.0039870702144518,,,0.297907647907648,0.5,0.5000000000000001,0.0556467832826434,0.056299969654642,0.056299969654642,0.0055063725521351,0.0048531861801365,,,0.2740740740740741,0.5,0.5,-0.0103327495621716,0.0090473734892551,0.04529671781264055,-0.01746052709429253,0.0,0.04529671781264055,0.0458916192637277,0.0458916192637277,0.0050150296483813,0.00442012819729415,0.0005949014510871495,0.285990860990861,0.5,0.5,
