run_id,band_keep,band_add,sector_tol,exit_cap_frac,ls_turnover_budget,micro_add_frac,overlay_band,train_mean,train_drawdown,train_turnover,train_alpha,train_alpha_t,train_sharpe,constraints_pass,oos_mean,oos_drawdown,oos_turnover,oos_alpha,oos_alpha_t,oos_sharpe
run_01,0.8366119503366332,0.9215652620004944,0.10354416235909931,0.06773834555688235,0.26648957050772354,0.03345451372845829,0.12477326178714278,0.009910382859079457,-0.0475808298585908,0.3441723899229661,0.009335555224763717,4.577064425638535,1.5962847196138796,True,0.00928766104751032,-0.04520297188493694,0.29883867252512347,0.009449662897178641,5.20328370182444,1.3937889570843547
run_02,0.8018483055774314,0.9583906088779736,0.08673572992205394,0.07416487603784366,0.301280660815276,0.024421210424514,0.09123221882204038,0.007641093008137096,-0.059896217917833616,0.33000069618490674,0.006954885157235531,3.2122865900823006,1.208702820912062,True,,,,,,
run_03,0.8336878921849677,0.9344179514288805,0.09170924772959532,0.060640371116447093,0.29867757175143644,0.02194056849225352,0.1103031963259668,0.008907520163081644,-0.07401407360099943,0.34311965027188657,0.008187298606081278,4.109306057075645,1.4437484302328523,True,,,,,,
run_04,0.8022561421626186,0.9033121712368326,0.08751227600989102,0.07522889114623561,0.31363389731628083,0.028346508524717384,0.10882350364392336,0.010574771366289345,-0.05535164386963953,0.3292889243809033,0.010141551964610796,5.582165988614926,1.7210048039954973,True,0.010052081911963195,-0.05218323641373579,0.289673041366734,0.009962584390867894,4.909888425572151,1.515343361994324
run_05,0.8381906695629386,0.950415645238776,0.08735202383760668,0.0670264126816161,0.3260356122540342,0.030712351291873382,0.10477401118927561,0.008296075798823799,-0.06336376352084794,0.3459724339996537,0.007550970566264403,3.695172258314669,1.3457670072249417,True,,,,,,
run_06,0.8081954199564806,0.931069609637091,0.10705680205086197,0.07142886636842129,0.27583241311620715,0.024240826993375285,0.09369239224284245,0.009295524722006667,-0.06236743408642342,0.3222967384757643,0.008573439122672796,4.194422164041004,1.5884777227637055,True,,,,,,
run_07,0.8095220974681947,0.9137413418289959,0.08279396083865877,0.05273830460494195,0.2594242913574439,0.028982527819476203,0.09716732899683415,0.009869974299097464,-0.062048109261005235,0.3268932986489578,0.00936019801785112,4.517291098754981,1.6159763817731447,True,0.009709802843900207,-0.05335872633889027,0.2880099436634017,0.009527745855706137,4.74033673111037,1.470039017956172
run_08,0.8141032294982513,0.9361571435208799,0.10898796280371989,0.06374599544377565,0.3097074580067588,0.015697886413146518,0.11578426474726723,0.009541510891706073,-0.06977104442116955,0.3290398775262426,0.0088290320743843,4.231567718889448,1.5834228568144315,True,0.008069280467302058,-0.0486851060119422,0.29196070797756063,0.008365023659673409,5.187241185625118,1.2611225274085371
run_09,0.8388181997568961,0.9028429676959163,0.10722949464054107,0.05467335094406772,0.30077238371151,0.015505558424988571,0.09245862366005964,0.009439503924043167,-0.06598734480980673,0.35093809106811097,0.008718217246121414,4.435888966750949,1.549385156275853,True,0.010219730267616842,-0.05762575764417677,0.3091290689570924,0.00998031534322519,5.181424699496921,1.5369485833413061
run_10,0.7880817993713316,0.9540793774959573,0.1034866681613881,0.06985365031115462,0.29845111578777495,0.020875218926133518,0.11112421148366655,0.00690132062994204,-0.06084155661265633,0.3217043679686701,0.006240654063024667,3.183492817658943,1.1324588332337608,True,,,,,,
