month_end,trade_date,ticker,score,multiplier,flags,trading_days,max_halt_run,short_median_volume,long_median_volume,zero_volume_days
2015-05-29,2015-06-01,APER3,1,0.75,liquidity_slump,21,0,1313555.0,2193244.0,0
2015-05-29,2015-06-01,BRPR3,1,0.75,liquidity_slump,21,0,4514492.0,9836717.0,0
