month_end,mom_raw,mom_net,mom,mom_carry,mom_borrow,mom_dispersion,mom_gate_active,mom_turnover,mom_gross_long,mom_gross_short,val_raw,val_net,val,val_carry,val_borrow,val_dispersion,val_gate_active,val_turnover,val_gross_long,val_gross_short,bova11,cdi,combo_pre_overlay,combo_beta_est,combo_hedge_ratio,combo_raw,combo_net,combo,combo_carry,combo_borrow,combo_financing,combo_turnover,combo_gross_long,combo_gross_short,combo_gate_active,mom_risk_ls_weighted_multiplier,val_risk_ls_weighted_multiplier,mom_risk_ls_weighted_score,val_risk_ls_weighted_score,mom_risk_ls_flagged,val_risk_ls_flagged,mom_risk_ls_high,val_risk_ls_high,mom_risk_d10_weighted_multiplier,val_risk_d10_weighted_multiplier,mom_risk_d10_weighted_score,val_risk_d10_weighted_score,mom_risk_d10_flagged,val_risk_d10_flagged,mom_risk_d10_high,val_risk_d10_high,mom_risk_universe_flagged,val_risk_universe_flagged,mom_risk_universe_high,val_risk_universe_high,mom_risk_universe_avg_multiplier,val_risk_universe_avg_multiplier,combo_risk_ls_weighted_multiplier,combo_risk_ls_weighted_score,combo_risk_d10_weighted_multiplier,combo_risk_d10_weighted_score,combo_risk_universe_avg_multiplier,combo_risk_ls_flagged,combo_risk_ls_high,combo_risk_d10_flagged,combo_risk_d10_high,combo_risk_universe_flagged,combo_risk_universe_high
2016-06-30,-0.0324235100632245,-0.0307382336673886,-0.0307382336673886,0.0040217326400813,0.0023364562442455,2.1912085993846704,1.0,0.4935158365270891,0.5000000000000001,0.4999999999999999,0.009783123328624,0.0122358905604448,0.0122358905604448,0.0058532677839135,0.0034005005520927,2.271345678798506,1.0,0.3377104377104376,0.5,0.4999999999999999,0.1112220447284344,0.011074869886563,-0.0367392623135111,-0.06959496528569294,0.14475893011409235,-0.020638878113521213,-0.018569856299692912,-0.018569856299692912,0.0049375002119974,0.0028684783981691,0.0020690218138282998,0.41561313711876335,0.5,0.4999999999999999,1.0,0.9909679840384498,1.0,0.0361280638462002,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.995049504950495,0.9969879518072288,0.9954839920192249,0.0180640319231001,1.0,0.0,0.996018728378862,1.0,0.0,0.0,0.0,3.0,0.0
2016-07-29,-0.0233343341510579,-0.0212442155883707,-0.0212442155883707,0.0044485816815064,0.0023584631188192,2.2671633058210783,1.0,0.4108190557724662,0.5,0.4999999999999998,0.0272447540705166,0.0303592200674767,0.0303592200674767,0.0066287896912116,0.0035143236942516,2.259721147214453,1.0,0.4296296296296297,0.5,0.4999999999999999,0.0161725067385445,0.0121360000320682,-0.006410253060416751,-0.10005430692246688,0.14475893011409235,-0.0040691382876821,-0.0014668460078585003,-0.0014668460078585003,0.005538685686359,0.0029363934065353998,0.0026022922798236,0.4202243427010479,0.5,0.49999999999999983,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-31,0.021496165502214,0.0231901946967006,0.0231901946967006,0.004042620483045,0.0023485912885584,2.2126936275669413,1.0,0.3535967578520769,0.4999999999999999,0.4999999999999999,0.0115607273724297,0.0141060834217616,0.0141060834217616,0.0060742214686507,0.0035288654193189,2.2374617394325567,1.0,0.2390572390572391,0.4999999999999998,0.4999999999999999,0.0077807250221044,0.0110748694495896,0.0186014333126186,-0.09806921866546742,0.14475893011409235,0.01972776274233038,0.02184745536423958,0.02184745536423958,0.00505842097584785,0.00293872835393865,0.0021196926219091998,0.296326998454658,0.49999999999999983,0.4999999999999999,1.0,0.9973404255319148,1.0,0.0106382978723404,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.995,0.9969879518072288,0.9986702127659575,0.0053191489361702,1.0,0.0,0.9959939759036144,1.0,0.0,0.0,0.0,3.0,0.0
2016-09-30,0.0151987483535235,0.0166856649529055,0.0166856649529055,0.0038599113225446,0.0023729947231625,2.1064711194988797,0.0,0.0,0.4999999999999999,0.4999999999999999,0.0161415264804233,0.0183652728315362,0.0183652728315362,0.0057726598268491,0.0035489134757362,2.320487295411014,1.0,0.2857744107744107,0.5,0.4999999999999999,0.1054570977364448,0.0104655882412147,-0.00221354876142855,-0.10732651472986246,0.14475893011409235,0.01305230787983647,0.01490763935508397,0.01490763935508397,0.00481628557469685,0.00296095409944935,0.0018553314752475002,0.14288720538720534,0.49999999999999994,0.4999999999999999,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-31,0.0301530795572792,0.0316039310828875,0.0316039310828875,0.0038285221802089,0.0023776706546006,2.0589798939226056,0.0,0.0,0.4999999999999999,0.4999999999999999,0.0192861259511944,0.0214509129429152,0.0214509129429152,0.0057124625552266,0.0035476755635058,2.3419414858021623,1.0,0.1767676767676766,0.4999999999999999,0.5,-0.0587301587301587,0.0103600668732724,0.03828156967926045,-0.08646429766776755,0.14475893011409235,0.029779854736051853,0.0315876739947164,0.0315876739947164,0.00477049236771775,0.0029626731090532,0.0018078192586645499,0.0883838383838383,0.4999999999999999,0.49999999999999994,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-30,-0.0019657703193478,-0.0001771609941374,-0.0001771609941374,0.004194326076296,0.0024057167510855,2.095663920692014,0.0,0.0,0.4999999999999999,0.4999999999999999,0.0111377177154467,0.0138330599617562,0.0138330599617562,0.0063206336391587,0.0036252913928492,2.323500724936763,1.0,0.1018518518518518,0.5,0.5,-0.0220910623946036,0.0112176216314259,0.00748132904412555,-0.12053972318917512,0.12053972318917512,0.004818478498125235,0.007060454283885235,0.007060454283885235,0.00525747985772735,0.00301550407196735,0.00224197578576,0.0509259259259259,0.49999999999999994,0.49999999999999994,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-29,0.0144754974454941,0.0162047396364743,0.0162047396364743,0.004266491775323,0.0025372495843428,2.184922973849356,1.0,0.8410060388783793,0.5000000000000001,0.4999999999999999,0.0067302798384756,0.0092048628604764,0.0092048628604764,0.0061054421212889,0.0036308590992881,2.2022397319848426,0.0,0.0,0.5,0.5,0.0863942058975684,0.0108190919474009,-0.00219723242434175,-0.11176851404637798,0.12053972318917512,0.008216701239699746,0.010318613846190245,0.010318613846190245,0.00518596694830595,0.00308405434181545,0.0021019126064904994,0.42050301943918966,0.5,0.49999999999999994,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.9927184466019418,0.9943181818181818,1.0,0.0,1.0,0.0,0.9935183142100618,0.0,0.0,0.0,0.0,5.0,0.0
2017-01-31,0.0060021909785255,0.0068684541347413,0.0068684541347413,0.0034259839065451,0.0025597207503294,2.113223198687147,0.0,0.0,0.5000000000000001,0.4999999999999999,0.03550941733496,0.0367276234060488,0.0367276234060488,0.0048178828390187,0.0035996767679299,2.2300791036972236,1.0,0.3723798266351458,0.4999999999999999,0.5,0.0336507936507937,0.0086114407629276,0.0147022091723244,-0.1028265012174037,0.12053972318917512,0.018758466524087126,0.019800701137739376,0.019800701137739376,0.0041219333727819,0.00307969875912965,0.0010422346136522505,0.1861899133175729,0.5,0.49999999999999994,0.0,0.9962121212121212,0.9973404255319148,0.0151515151515151,0.0106382978723404,1.0,1.0,0.0,0.0,0.9924242424242424,0.99468085106383,0.0303030303030303,0.0212765957446808,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9975490196078431,0.9970588235294118,0.996776273372018,0.01289490651192775,0.9935525467440363,0.02578981302385555,0.9973039215686275,2.0,0.0,2.0,0.0,2.0,0.0
2017-02-24,0.0068504322238744,0.0084705578744729,0.0084705578744729,0.0041812109613196,0.0025610853107211,2.1083401282412826,0.0,0.0,0.5000000000000001,0.4999999999999999,-0.0130925145948,-0.0108388988568238,-0.0108388988568238,0.0058161185354653,0.003562502797489,2.178068977013607,0.0,0.0,0.4999999999999999,0.5,-0.0371621621621621,0.0105041550583224,0.00383898509771025,-0.10166477026594155,0.12053972318917512,-0.0006405316424280072,0.0012963390518593932,0.0012963390518593932,0.00499866474839245,0.00306179405410505,0.0019368706942874004,0.0,0.5,0.49999999999999994,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,0.0108341541884842,0.0113845255746272,0.0113845255746272,0.0031106471203925,0.0025602757342496,2.2578895386227473,1.0,0.5854917140505419,0.4688405797101449,0.5,-0.0145710670125982,-0.0138141340182431,-0.0138141340182431,0.0042781138309559,0.0035211808366009,2.27113863851493,1.0,0.5906821901502751,0.5,0.4999999999999998,0.0121212121212122,0.0078171256972316,-0.00153323899540995,-0.0752420190377844,0.12053972318917512,-7.215144160175723e-05,0.0005815007486471928,0.0005815007486471928,0.0036943804756742,0.0030407282854252498,0.0006536521902489501,0.5880869521004085,0.48442028985507246,0.4999999999999999,1.0,0.984697368398869,1.0,0.0612105264045234,0.0,2.0,0.0,0.0,0.0,0.99468085106383,1.0,0.0212765957446808,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9952830188679244,1.0,0.9923486841994344,0.0306052632022617,0.9973404255319149,0.0106382978723404,0.9976415094339621,2.0,0.0,1.0,0.0,2.0,0.0
