month_end,trade_date,cohort_id,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional,rationale
2019-11-29,2019-12-02,1,LS,ALPA4,L,SELL,-0.0009464062715779653,31.27366316,-14,-437.83128424,reweight
2019-11-29,2019-12-02,1,LS,BPAC11,L,SELL,-0.0009464062715779653,15.29535409,-28,-428.26991452,reweight
2019-11-29,2019-12-02,1,LS,BPAN4,L,SELL,-0.0009464062715779653,7.638065008,-56,-427.731640448,reweight
2019-11-29,2019-12-02,1,LS,BRAP4,S,OPEN,-0.037327686358656464,7.157676037,-2347,-16799.065658839,add
2019-11-29,2019-12-02,1,LS,BRKM5,S,OPEN,-0.037327686358656464,23.93858194,-702,-16804.884521879998,add
2019-11-29,2019-12-02,1,LS,CAML3,S,OPEN,-0.037327686358656464,5.98523927,-2806,-16794.58139162,add
2019-11-29,2019-12-02,1,LS,CIEL3,S,BUY,0.009294184719002202,6.193988862,675,4180.94248185,reweight
2019-11-29,2019-12-02,1,LS,CMIG4,S,OPEN,-0.037327686358656464,3.610346514,-4653,-16798.942329642,add
2019-11-29,2019-12-02,1,LS,COGN3,S,BUY,0.009294184719002202,9.950481436,420,4179.20220312,reweight
2019-11-29,2019-12-02,1,LS,CPLE6,L,CLOSE,-0.03827409263023442,3.744386445,-4600,-17224.177647,exit
2019-11-29,2019-12-02,1,LS,CSNA3,L,SELL,-0.0009464062715779653,7.617227639,-56,-426.564747784,reweight
2019-11-29,2019-12-02,1,LS,CVCB3,S,BUY,0.009294184719002202,36.17509707,116,4196.31126012,reweight
2019-11-29,2019-12-02,1,LS,ELET3,L,CLOSE,-0.03827409263023442,27.74725169,-621,-17231.04329949,exit
2019-11-29,2019-12-02,1,LS,ENEV3,L,OPEN,0.03732768635865646,9.5525,1758,16793.295000000002,add
2019-11-29,2019-12-02,1,LS,FLRY3,S,CLOSE,0.046621871077658666,20.67541965,1015,20985.550944749997,exit
2019-11-29,2019-12-02,1,LS,GFSA3,S,BUY,0.009294184719002202,847.7530057,5,4238.7650285,reweight
2019-11-29,2019-12-02,1,LS,GOLL54,L,CLOSE,-0.03827409263023442,0.442107849,-38957,-17223.195473493,exit
2019-11-29,2019-12-02,1,LS,GRND3,S,CLOSE,0.046621871077658666,6.784773632,3092,20978.520070144,exit
2019-11-29,2019-12-02,1,LS,HGTX3,L,CLOSE,-0.03827409263023442,31.00438668,-556,-17238.43899408,exit
2019-11-29,2019-12-02,1,LS,JBSS3,L,SELL,-0.0009464062715779653,19.60461467,-22,-431.30152274,reweight
2019-11-29,2019-12-02,1,LS,LAME3,S,SELL,-0.006037839997811732,6.498253943,-418,-2716.270148174,reweight
2019-11-29,2019-12-02,1,LS,LOGN3,L,BUY,0.0206867765194241,17.2,541,9305.199999999999,reweight
2019-11-29,2019-12-02,1,LS,MDIA3,S,OPEN,-0.037327686358656464,28.69534416,-585,-16786.7763336,add
2019-11-29,2019-12-02,1,LS,MGLU3,L,OPEN,0.03732768635865646,109.2167834,154,16819.3846436,add
2019-11-29,2019-12-02,1,LS,MILS3,L,SELL,-0.0009464062715779653,6.005478236,-71,-426.38895475600003,reweight
2019-11-29,2019-12-02,1,LS,MOVI3,L,SELL,-0.0009464062715779653,13.70704928,-31,-424.91852768,reweight
2019-11-29,2019-12-02,1,LS,NATU3,L,SELL,-0.0009464062715779653,31.7298007,-13,-412.4874091,reweight
2019-11-29,2019-12-02,1,LS,OIBR3,S,OPEN,-0.037327686358656464,83.22699931,-202,-16811.853860619998,add
