month_end,trade_date,book,ticker,side,prev_weight,target_weight,delta_weight,px_ref_open,sector
2017-11-30,2017-12-01,D10,ABEV3,L,0.0,0.025641025641025644,0.008461538461538463,14.75076638,Food & Beverage
2017-11-30,2017-12-01,D10,BEEF3,L,0.0,0.025641025641025644,0.008461538461538463,7.633465213,Food & Beverage
2017-11-30,2017-12-01,D10,BRAP4,L,0.0,0.04945054945054945,0.01631868131868132,4.775144132,Other
2017-11-30,2017-12-01,D10,BRSR6,L,0.0,0.07509157509157509,0.02478021978021978,7.191071689,Financial Services
2017-11-30,2017-12-01,D10,CVCB3,L,0.0,0.0,0.0,39.6709197,Transportation Services
2017-11-30,2017-12-01,D10,ENAT3,L,0.0,0.04945054945054945,0.01631868131868132,5.080182772,Oil & Gas
2017-11-30,2017-12-01,D10,ENGI11,L,0.0,0.025641025641025644,0.008461538461538463,18.07610143,Electric Power
2017-11-30,2017-12-01,D10,EZTC3,L,0.0,0.04945054945054945,0.01631868131868132,12.80232731,Construction
2017-11-30,2017-12-01,D10,FESA4,L,0.0,0.07509157509157509,0.02478021978021978,2.608313303,Basic & Fabricated Metal
2017-11-30,2017-12-01,D10,FLRY3,L,0.0,0.04945054945054945,0.01631868131868132,17.53760441,Other
2017-11-30,2017-12-01,D10,GOLL54,L,0.0,0.025641025641025644,0.008461538461538463,0.18061406,Transportation Services
2017-11-30,2017-12-01,D10,GRND3,L,0.0,0.0,0.0,5.016117352,Textile
2017-11-30,2017-12-01,D10,GUAR3,L,0.0,0.04945054945054945,0.01631868131868132,15.01092056,Textile
2017-11-30,2017-12-01,D10,LIGT3,L,0.0,0.07509157509157509,0.02478021978021978,14.94966813,Electric Power
2017-11-30,2017-12-01,D10,MDIA3,L,0.0,0.025641025641025644,0.008461538461538463,39.46080067,Food & Beverage
2017-11-30,2017-12-01,D10,MGLU3,L,0.0,0.07509157509157509,0.02478021978021978,16.84524579,Trade
2017-11-30,2017-12-01,D10,MRFG3,L,0.0,0.023809523809523808,0.007857142857142858,4.14292479,Food & Beverage
2017-11-30,2017-12-01,D10,PRIO3,L,0.0,0.025641025641025644,0.008461538461538463,1.27794738,Oil & Gas
2017-11-30,2017-12-01,D10,QUAL3,L,0.0,0.07509157509157509,0.02478021978021978,21.37387024,Other
2017-11-30,2017-12-01,D10,SEER3,L,0.0,0.025641025641025644,0.008461538461538463,24.36731045,Other
2017-11-30,2017-12-01,D10,TAEE11,L,0.0,0.023809523809523808,0.007857142857142858,9.549360016,Electric Power
2017-11-30,2017-12-01,D10,TGMA3,L,0.0,0.07509157509157509,0.02478021978021978,12.25068607,Transportation Services
2017-11-30,2017-12-01,D10,TOTS3,L,0.0,0.023809523809523808,0.007857142857142858,9.218278038,Software & Data
2017-11-30,2017-12-01,D10,TUPY3,L,0.0,0.0,0.0,13.68712412,Vehicle & Parts
2017-11-30,2017-12-01,D10,WIZC3,L,0.0,0.025641025641025644,0.008461538461538463,6.296515131,Financial Services
2017-11-30,2017-12-01,D10,YDUQ3,L,0.0,0.025641025641025644,0.008461538461538463,24.8029421,Other
2017-11-30,2017-12-01,LS,AALR3,S,0.0,-0.011111111111111112,-0.003666666666666667,14.66478879,Other
2017-11-30,2017-12-01,LS,ABEV3,L,0.0,0.012820512820512822,0.0042307692307692315,14.75076638,Food & Beverage
2017-11-30,2017-12-01,LS,BBSE3,S,0.0,-0.03782051282051282,-0.012480769230769231,13.33092732,Financial Services
2017-11-30,2017-12-01,LS,BEEF3,L,0.0,0.012820512820512822,0.0042307692307692315,7.633465213,Food & Beverage
2017-11-30,2017-12-01,LS,BRAP4,L,0.0,0.024725274725274724,0.00815934065934066,4.775144132,Other
2017-11-30,2017-12-01,LS,BRFS3,S,0.0,-0.03782051282051282,-0.012480769230769231,37.16503492,Food & Beverage
2017-11-30,2017-12-01,LS,BRSR6,L,0.0,0.037545787545787544,0.01239010989010989,7.191071689,Financial Services
2017-11-30,2017-12-01,LS,CIEL3,S,0.0,-0.02393162393162393,-0.007897435897435898,15.30322808,Software & Data
2017-11-30,2017-12-01,LS,CPLE6,S,0.0,-0.026709401709401708,-0.008814102564102564,1.246126515,Electric Power
2017-11-30,2017-12-01,LS,CSNA3,S,0.0,-0.03782051282051282,-0.012480769230769231,4.181146848,Basic & Fabricated Metal
2017-11-30,2017-12-01,LS,CVCB3,,0.0,0.0,0.0,39.6709197,Transportation Services
2017-11-30,2017-12-01,LS,DMMO3,S,0.0,-0.02393162393162393,-0.007897435897435898,11.14785631,Oil & Gas
2017-11-30,2017-12-01,LS,ELET3,S,0.0,-0.03782051282051282,-0.012480769230769231,14.38689934,Electric Power
2017-11-30,2017-12-01,LS,EMBR3,S,0.0,-0.011111111111111112,-0.003666666666666667,15.44308786,Vehicle & Parts
2017-11-30,2017-12-01,LS,ENAT3,L,0.0,0.024725274725274724,0.00815934065934066,5.080182772,Oil & Gas
2017-11-30,2017-12-01,LS,ENGI11,L,0.0,0.012820512820512822,0.0042307692307692315,18.07610143,Electric Power
2017-11-30,2017-12-01,LS,EZTC3,L,0.0,0.024725274725274724,0.00815934065934066,12.80232731,Construction
2017-11-30,2017-12-01,LS,FESA4,L,0.0,0.037545787545787544,0.01239010989010989,2.608313303,Basic & Fabricated Metal
2017-11-30,2017-12-01,LS,FLRY3,L,0.0,0.024725274725274724,0.00815934065934066,17.53760441,Other
2017-11-30,2017-12-01,LS,GFSA3,S,0.0,-0.03782051282051282,-0.012480769230769231,2038.56624,Construction
