month_end,trade_date,sleeve,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional
2024-04-30,2024-05-02,momentum,D10,ANIM3,L,BUY,0.0048840048840048,2.977793677,1230,3662.68622271
2024-04-30,2024-05-02,momentum,D10,BMGB4,L,BUY,0.0036630036630036,2.847344216,965,2747.6871684400003
2024-04-30,2024-05-02,momentum,D10,BRFS3,L,BUY,0.0153235653235653,16.58805878,693,11495.52473454
2024-04-30,2024-05-02,momentum,D10,CEAB3,L,BUY,0.0153235653235653,10.78544885,1066,11497.2884741
2024-04-30,2024-05-02,momentum,D10,CPLE6,L,BUY,0.0048840048840048,8.493121475,431,3660.535355725
2024-04-30,2024-05-02,momentum,D10,CSED3,L,BUY,0.0055555555555555,3.854324333,1081,4166.524603973
2024-04-30,2024-05-02,momentum,D10,CSNA3,L,BUY,0.0153235653235653,12.66770379,907,11489.607337529998
2024-04-30,2024-05-02,momentum,D10,GFSA3,L,BUY,0.0048840048840048,107.4,34,3651.6
2024-04-30,2024-05-02,momentum,D10,IRBR3,L,BUY,0.0104395604395604,43.37,181,7849.969999999999
2024-04-30,2024-05-02,momentum,D10,LIGT3,L,BUY,0.0153235653235653,4.98,2308,11493.84
2024-04-30,2024-05-02,momentum,D10,MDNE3,L,BUY,0.0153235653235653,10.84087147,1060,11491.3237582
2024-04-30,2024-05-02,momentum,D10,MLAS3,L,BUY,0.0048840048840048,1.94,1888,3662.72
2024-04-30,2024-05-02,momentum,D10,NEOE3,L,BUY,0.0048840048840048,18.41440494,199,3664.46658306
2024-04-30,2024-05-02,momentum,D10,OPCT3,L,BUY,0.0104395604395604,6.36,1231,7829.160000000001
2024-04-30,2024-05-02,momentum,D10,PETR4,L,BUY,0.0104395604395604,33.61780662,233,7832.948942460001
2024-04-30,2024-05-02,momentum,D10,PINE4,L,BUY,0.0036630036630036,3.799916974,723,2747.339972202
2024-04-30,2024-05-02,momentum,D10,PLPL3,L,BUY,0.0153235653235653,10.27226748,1119,11494.66731012
2024-04-30,2024-05-02,momentum,D10,POMO4,L,BUY,0.0153235653235653,6.158279438,1866,11491.349431308
2024-04-30,2024-05-02,momentum,D10,POSI3,L,BUY,0.0055555555555555,8.790498213,474,4166.696152961999
2024-04-30,2024-05-02,momentum,D10,RAIZ4,L,BUY,0.0048840048840048,3.089476683,1186,3664.119346038
2024-04-30,2024-05-02,momentum,D10,RANI3,L,BUY,0.0055555555555555,8.097295988,515,4170.107433820001
2024-04-30,2024-05-02,momentum,D10,SEER3,L,BUY,0.0153235653235653,5.416471325,2122,11493.75215165
2024-04-30,2024-05-02,momentum,D10,SOJA3,L,BUY,0.0153235653235653,17.61009447,653,11499.39168891
2024-04-30,2024-05-02,momentum,D10,SUZB3,L,BUY,0.0097680097680097,57.1751952,128,7318.4249856
2024-04-30,2024-05-02,momentum,D10,SYNE3,L,BUY,0.0048840048840048,3.313636409,1105,3661.568231945
2024-04-30,2024-05-02,momentum,D10,TEND3,L,BUY,0.0153235653235653,12.21319454,941,11492.61606214
2024-04-30,2024-05-02,momentum,D10,TOTS3,L,BUY,0.0048840048840048,27.67529306,132,3653.13868392
2024-04-30,2024-05-02,momentum,D10,UGPA3,L,BUY,0.0097680097680097,25.27202368,290,7328.8868672
2024-04-30,2024-05-02,momentum,D10,UNIP6,L,BUY,0.0048840048840048,45.23681069,81,3664.18166589
2024-04-30,2024-05-02,momentum,D10,USIM5,L,BUY,0.0153235653235653,7.99,1438,11489.62
2024-04-30,2024-05-02,momentum,D10,VLID3,L,BUY,0.0153235653235653,15.4523659,744,11496.5602296
2024-04-30,2024-05-02,momentum,D10,VULC3,L,BUY,0.0153235653235653,14.28333568,805,11498.0852224
2024-04-30,2024-05-02,momentum,D10,YDUQ3,L,BUY,0.0153235653235653,14.346445,801,11491.502445
2024-04-30,2024-05-02,momentum,LS,AESB3,S,SELL,-0.0028001000381501,9.47,-222,-2102.34
2024-04-30,2024-05-02,momentum,LS,AMBP3,S,SELL,-0.0092094101848093,1.017,-6792,-6907.463999999999
2024-04-30,2024-05-02,momentum,LS,ANIM3,L,BUY,0.002542619574872,2.977793677,640,1905.78795328
2024-04-30,2024-05-02,momentum,LS,AZEV4,S,SELL,-0.0029906450793036,0.865040225,-2593,-2243.049303425
