month_end,trade_date,sleeve,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional
2019-11-29,2019-12-02,momentum,LS,GOLL54,L,BUY,0.0037600876586533,0.442107849,6379,2820.205968771
2019-11-29,2019-12-02,momentum,LS,GRND3,S,SELL,-0.0040850653374184,6.784773632,-452,-3066.7176816640003
2019-11-29,2019-12-02,momentum,LS,HYPE3,S,SELL,-0.0040850653374184,26.75632719,-115,-3076.97762685
2019-11-29,2019-12-02,momentum,LS,JBSS3,L,BUY,0.0122534621346704,19.60461467,469,9194.56428023
2019-11-29,2019-12-02,momentum,LS,LAME3,S,SELL,-0.0128272691437875,6.498253943,-1480,-9617.41583564
2019-11-29,2019-12-02,momentum,LS,LIGT3,S,SELL,-0.004512105190384,19.50212197,-174,-3393.36922278
2019-11-29,2019-12-02,momentum,LS,LOGN3,L,BUY,0.0122534621346704,17.2,534,9184.8
2019-11-29,2019-12-02,momentum,LS,LPSB3,L,BUY,0.0082721928490374,7.522191391,825,6205.807897575
2019-11-29,2019-12-02,momentum,LS,MDIA3,S,SELL,-0.008742203806369,28.69534416,-228,-6542.53846848
2019-11-29,2019-12-02,momentum,LS,MGLU3,L,BUY,0.0039812692856329,109.2167834,27,2948.8531518
2019-11-29,2019-12-02,momentum,LS,MILS3,L,BUY,0.0122534621346704,6.005478236,1530,9188.38170108
2019-11-29,2019-12-02,momentum,LS,MOVI3,L,BUY,0.0122534621346704,13.70704928,670,9183.7230176
2019-11-29,2019-12-02,momentum,LS,NATU3,L,BUY,0.0122534621346704,31.7298007,290,9201.642203
2019-11-29,2019-12-02,momentum,LS,OIBR3,S,SELL,-0.004230098615985,83.22699931,-38,-3162.62597378
2019-11-29,2019-12-02,momentum,LS,PRIO3,L,BUY,0.0077413569442863,4.692463036,1237,5804.576775532
2019-11-29,2019-12-02,momentum,LS,PSSA3,S,SELL,-0.0040850653374184,22.43326266,-137,-3073.35698442
2019-11-29,2019-12-02,momentum,LS,QUAL3,L,BUY,0.0039812692856329,32.7069638,91,2976.3337058
2019-11-29,2019-12-02,momentum,LS,RADL3,S,SELL,-0.0040850653374184,20.55621926,-149,-3062.87666974
2019-11-29,2019-12-02,momentum,LS,RAPT4,L,BUY,0.0122534621346704,8.323038134,1104,9188.634099936
2019-11-29,2019-12-02,momentum,LS,SBSP3,L,BUY,0.0037600876586533,50.03626223,56,2802.03068488
2019-11-29,2019-12-02,momentum,LS,SIMH3,L,BUY,0.0122534621346704,4.714614213,1949,9188.783101137
2019-11-29,2019-12-02,momentum,LS,SMLS3,S,SELL,-0.0128272691437875,26.61671455,-361,-9608.63395255
2019-11-29,2019-12-02,momentum,LS,SMTO3,S,SELL,-0.008742203806369,16.28866985,-403,-6564.33394955
2019-11-29,2019-12-02,momentum,LS,SRNA3,L,BUY,0.0039812692856329,16.31371679,183,2985.41017257
2019-11-29,2019-12-02,momentum,LS,TRIS3,L,BUY,0.004512105190384,10.61824734,319,3387.22090146
2019-11-29,2019-12-02,momentum,LS,UGPA3,S,SELL,-0.0128272691437875,18.52181982,-519,-9612.82448658
