month_end,trade_date,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional
2014-05-30,2014-06-02,D10,AEDU3,L,BUY,0.044642857142857144,16.04095205,1252,20083.2719666
2014-05-30,2014-06-02,D10,ALPA4,L,BUY,0.044642857142857144,7.446236593,2698,20089.946327914
2014-05-30,2014-06-02,D10,AMER3,L,BUY,0.06425070028011204,2412.271705,12,28947.26046
2014-05-30,2014-06-02,D10,BBSE3,L,BUY,0.04044117647058824,11.79089658,1543,18193.35342294
2014-05-30,2014-06-02,D10,COGN3,L,BUY,0.06425070028011204,11.94352208,2421,28915.26695568
2014-05-30,2014-06-02,D10,CSNA3,L,BUY,0.06425070028011204,4.59060981,6298,28911.660583380002
2014-05-30,2014-06-02,D10,DAGB33,L,BUY,0.06425070028011204,346.4223431,83,28753.054477299997
2014-05-30,2014-06-02,D10,DASA3,L,BUY,0.044642857142857144,13.75668261,1460,20084.7566106
2014-05-30,2014-06-02,D10,EMBR3,L,BUY,0.06425070028011204,19.50535682,1482,28906.93880724
2014-05-30,2014-06-02,D10,EZTC3,L,BUY,0.06425070028011204,10.15931993,2846,28913.42452078
2014-05-30,2014-06-02,D10,GOLL54,L,BUY,0.04044117647058824,0.171901934,105866,18198.570144844
2014-05-30,2014-06-02,D10,GUAR3,L,BUY,0.0196078431372549,9.838107516,897,8824.782441852001
2014-05-30,2014-06-02,D10,MRVE3,L,BUY,0.06425070028011204,4.017462159,7197,28913.675158323
2014-05-30,2014-06-02,D10,PSSA3,L,BUY,0.06425070028011204,8.593388786,3365,28916.75326489
2014-05-30,2014-06-02,D10,QUAL3,L,BUY,0.0196078431372549,13.06011375,676,8828.636895
2014-05-30,2014-06-02,D10,SMLS3,L,BUY,0.04044117647058824,19.31129463,942,18191.23954146
2014-05-30,2014-06-02,D10,SMTO3,L,BUY,0.0196078431372549,9.063586625,974,8827.93337275
2014-05-30,2014-06-02,D10,TCSA3,L,BUY,0.023809523809523808,57.57802221,186,10709.51213106
2014-05-30,2014-06-02,D10,TIMS3,L,BUY,0.0196078431372549,7.897570894,1117,8821.586688598
2014-05-30,2014-06-02,D10,VALE3,L,BUY,0.06425070028011204,13.69089488,2112,28915.16998656
2014-05-30,2014-06-02,D10,YDUQ3,L,BUY,0.06425070028011204,19.1276404,1512,28920.992284800002
2014-05-30,2014-06-02,LS,AEDU3,L,BUY,0.023278827473660186,16.04095205,653,10474.741688650001
2014-05-30,2014-06-02,LS,ALPA4,L,BUY,0.023278827473660186,7.446236593,1407,10476.854886351
2014-05-30,2014-06-02,LS,AMAR3,S,SELL,-0.023278827473660186,61.20707939,-171,-10466.410575689999
2014-05-30,2014-06-02,LS,AMER3,L,BUY,0.032407779424115164,2412.271705,6,14473.63023
2014-05-30,2014-06-02,LS,APER3,S,SELL,-0.011085155939838186,139.2336632,-36,-5012.4118751999995
2014-05-30,2014-06-02,LS,AZZA3,S,SELL,-0.02143130148368716,21.21469099,-455,-9652.68440045
2014-05-30,2014-06-02,LS,B3SA3,S,SELL,-0.010346145543848974,2.419545101,-1924,-4655.204774324
2014-05-30,2014-06-02,LS,BBSE3,L,BUY,0.019475097494303952,11.79089658,743,8760.63615894
2014-05-30,2014-06-02,LS,BPHA3,S,SELL,-0.034363983413498375,189.0,-82,-15498.0
2014-05-30,2014-06-02,LS,BRML3,S,SELL,-0.010346145543848974,10.95423633,-425,-4655.55044025
2014-05-30,2014-06-02,LS,BRSR6,S,SELL,-0.010346145543848974,4.501023774,-1034,-4654.058582316
2014-05-30,2014-06-02,LS,COGN3,L,BUY,0.032407779424115164,11.94352208,1221,14583.04045968
2014-05-30,2014-06-02,LS,CSNA3,L,BUY,0.032407779424115164,4.59060981,3177,14584.367366370001
2014-05-30,2014-06-02,LS,DAGB33,L,BUY,0.032407779424115164,346.4223431,42,14549.7384102
2014-05-30,2014-06-02,LS,EMBR3,L,BUY,0.032407779424115164,19.50535682,748,14590.006901359999
2014-05-30,2014-06-02,LS,ENEV3,S,SELL,-0.034363983413498375,17.96721806,-861,-15469.77474966
2014-05-30,2014-06-02,LS,EZTC3,L,BUY,0.032407779424115164,10.15931993,1435,14578.624099550001
2014-05-30,2014-06-02,LS,GOLL54,L,BUY,0.019475097494303952,0.171901934,50981,8763.732497254001
2014-05-30,2014-06-02,LS,GUAR3,L,BUY,0.009128951950454977,9.838107516,418,4112.328941688001
2014-05-30,2014-06-02,LS,LPSB3,S,SELL,-0.024017837869649405,8.957942226,-1207,-10812.236266782
2014-05-30,2014-06-02,LS,MBRF3,S,SELL,-0.034363983413498375,3.243353233,-4768,-15464.308214944
2014-05-30,2014-06-02,LS,MMXM3,S,SELL,-0.02143130148368716,60.5,-159,-9619.5
2014-05-30,2014-06-02,LS,MRVE3,L,BUY,0.032407779424115164,4.017462159,3630,14583.387637169999
2014-05-30,2014-06-02,LS,OGXP3,S,SELL,-0.034363983413498375,20.0,-773,-15460.0
2014-05-30,2014-06-02,LS,POMO4,S,SELL,-0.024017837869649405,2.360265022,-4579,-10807.653535738
2014-05-30,2014-06-02,LS,PRML3,S,SELL,-0.034363983413498375,11.6380243,-1329,-15466.934294699999
2014-05-30,2014-06-02,LS,PSSA3,L,BUY,0.032407779424115164,8.593388786,1697,14582.980769842
2014-05-30,2014-06-02,LS,QUAL3,L,BUY,0.009128951950454977,13.06011375,315,4113.93583125
2014-05-30,2014-06-02,LS,RAPT4,S,SELL,-0.024017837869649405,4.499027875,-2402,-10806.66495575
2014-05-30,2014-06-02,LS,RSID3,S,SELL,-0.034363983413498375,41.0,-377,-15457.0
2014-05-30,2014-06-02,LS,SMLS3,L,BUY,0.019475097494303952,19.31129463,454,8767.327762019999
2014-05-30,2014-06-02,LS,SMTO3,L,BUY,0.009128951950454977,9.063586625,453,4105.804741125
2014-05-30,2014-06-02,LS,TGMA3,S,SELL,-0.034363983413498375,11.1136806,-1391,-15459.1297146
2014-05-30,2014-06-02,LS,TIMS3,L,BUY,0.009128951950454977,7.897570894,520,4106.73686488
2014-05-30,2014-06-02,LS,TOTS3,S,SELL,-0.034363983413498375,10.99232406,-1407,-15466.19995242
2014-05-30,2014-06-02,LS,VALE3,L,BUY,0.032407779424115164,13.69089488,1065,14580.803047200001
2014-05-30,2014-06-02,LS,YDUQ3,L,BUY,0.032407779424115164,19.1276404,762,14575.261984800001
