month_end,trade_date,sleeve,cohort_id,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional,rationale
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,0,LS,GOLL54,S,SELL,-0.0041265673889351,0.158638699,-19509,-3094.882378791,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,0,LS,GOLL54,S,SELL,-0.00805361435235015,0.158638699,-38075,-6040.168464425,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,0,LS,HYPE3,S,SELL,-0.0041265673889351,8.577343141,-361,-3096.420873901,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,0,LS,LAND3,S,SELL,-0.0041265673889351,26.8296691,-115,-3085.4119465,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,0,LS,LUPA3,S,CLOSE,0.0451326205747042,870.8466061,39,33963.017637900004,exit
2012-03-30 00:00:00,2012-04-02 00:00:00,value,0,LS,LUPA3,S,CLOSE,0.06497309276593485,870.8466061,56,48767.4099416,exit
2012-03-30 00:00:00,2012-04-02 00:00:00,value,0,LS,MGLU3,L,BUY,0.006400777794081179,3.36597862,1426,4799.8855121199995,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,0,LS,MILK33,S,SELL,-0.0041265673889351,3.0,-1032,-3096.0,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,0,LS,MILK33,L,BUY,0.006400777794081179,3.0,1600,4800.0,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,0,LS,MMXM3,S,SELL,-0.00805361435235015,1346.324223,-4,-5385.296892,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,0,LS,ODPV3,L,CLOSE,-0.0416608805304962,5.214360976,-5992,-31244.450968192,exit
2012-03-30 00:00:00,2012-04-02 00:00:00,value,0,LS,ODPV3,S,SELL,-0.00805361435235015,5.214360976,-1158,-6038.230010208,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,0,LS,OSXB3,S,SELL,-0.0041265673889351,1622.0,-2,-3244.0,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,0,LS,POMO4,L,BUY,0.0042834226442037,2.356776827,1363,3212.286815201,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,0,LS,POMO4,S,SELL,-0.00805361435235015,2.356776827,-2563,-6040.419007601,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,0,LS,PRIO3,S,SELL,-0.0041265673889351,12.75950587,-243,-3100.55992641,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,0,LS,RAPT4,L,BUY,0.006400777794081179,6.304788719,761,4797.944215159,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,0,LS,RPMG3,L,BUY,0.0042834226442037,25.77232552,125,3221.54069,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,0,LS,RPMG3,S,SELL,-0.00805361435235015,25.77232552,-234,-6030.72417168,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,0,LS,RSID3,S,SELL,-0.00805361435235015,229.5903415,-26,-5969.348879,reweight
