month_end,trade_date,cohort_id,sleeve,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional,rationale
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,TIMS3,L,BUY,0.003478260869565243,24.33,107,2603.31,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,UNIP6,L,OPEN,0.0555555555555555,70.99,587,41671.13,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,USIM5,L,OPEN,0.04347826086956524,5.72,5701,32609.719999999998,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,WIZC3,L,OPEN,0.0555555555555555,8.3,5020,41666.0,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,WIZC3,L,BUY,0.003478260869565243,8.3,314,2606.2000000000003,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,ALPA4,S,BUY,0.00045897925469653295,10.6,32,339.2,keep
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,AMBP3,S,CLOSE,0.02885138224335351,0.36,60107,21638.52,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,AMER3,L,OPEN,0.0256778080212453,5.51,3495,19257.45,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,ARML3,S,BUY,0.0064809931913076,3.75,1296,4860.0,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,AURA33,L,SELL,-0.0043422916092764,58.06,-56,-3251.36,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,AURA33,L,OPEN,0.024689046077093046,58.06,319,18521.14,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,AURE3,S,BUY,0.0064809931913076,11.03,441,4864.23,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,AURE3,S,BUY,0.00045897925469653295,11.03,31,341.93,keep
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,AZUL4,S,BUY,0.0064809931913076,1.2,4051,4861.2,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,AZZA3,S,BUY,0.0064809931913076,28.92,168,4858.56,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,BBAS3,S,BUY,0.0064809931913076,21.99,221,4859.79,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,BLAU3,L,SELL,-0.004162336166260487,13.38,-233,-3117.54,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,BPAC11,L,OPEN,0.0256778080212453,49.4,390,19266.0,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,BPAN4,S,OPEN,-0.022009549732496,10.35,-1595,-16508.25,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,BRBI11,S,OPEN,-0.028392402988656976,19.39,-1098,-21290.22,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,BRKM5,S,BUY,0.0064809931913076,6.82,713,4862.66,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,BRKM5,S,BUY,0.00045897925469653295,6.82,50,341.0,keep
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,CAML3,S,BUY,0.0064809931913076,5.45,892,4861.400000000001,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,CASH3,L,CLOSE,-0.0300200996305218,4.43,-5082,-22513.26,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,CEAB3,L,SELL,-0.0043422916092764,16.3,-200,-3260.0,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,CEAB3,L,SELL,-0.004162336166260487,16.3,-192,-3129.6000000000004,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,CMIG4,L,SELL,-0.004162336166260487,11.4,-274,-3123.6,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,CMIN3,L,CLOSE,-0.028851382243353534,6.07,-3565,-21639.55,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,COGN3,L,SELL,-0.0043422916092764,3.75,-868,-3255.0,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,CSAN3,S,BUY,0.0064809931913076,6.15,790,4858.5,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,CSAN3,S,BUY,0.00045897925469653295,6.15,56,344.40000000000003,keep
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,CSNA3,S,BUY,0.0064809931913076,9.43,515,4856.45,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,CVCB3,L,OPEN,0.024689046077093046,1.88,9849,18516.12,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,EGIE3,S,OPEN,-0.022009549732496,40.1,-412,-16521.2,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,ELET3,L,CLOSE,-0.028851382243353534,55.84,-388,-21665.920000000002,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,ENEV3,S,BUY,0.00045897925469653295,18.55,19,352.45,keep
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,EVEN3,S,BUY,0.00045897925469653295,7.5,46,345.0,keep
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,FESA4,L,CLOSE,-0.0300200996305218,7.9,-2850,-22515.0,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,FRAS3,S,BUY,0.00045897925469653295,23.0,15,345.0,keep
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,GFSA3,S,BUY,0.0064809931913076,6.38,762,4861.56,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,GGBR4,L,SELL,-0.004162336166260487,18.85,-166,-3129.1000000000004,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,GOAU4,S,CLOSE,0.02885138224335351,10.99,1969,21639.31,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,GUAR3,L,SELL,-0.004162336166260487,10.17,-307,-3122.19,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,HBSA3,S,BUY,0.00045897925469653295,3.93,88,345.84000000000003,keep
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,HYPE3,S,BUY,0.00045897925469653295,26.3,13,341.90000000000003,keep
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,INTB3,S,BUY,0.00045897925469653295,12.03,29,348.87,keep
