month_end,trade_date,book,ticker,side,prev_weight,target_weight,delta_weight,px_ref_open,sector
2014-06-30,2014-07-01,D10,AEDU3,L,0.044642857142857144,0.020833333333333332,-0.023809523809523808,18.55,Other
2014-06-30,2014-07-01,D10,ALPA4,L,0.044642857142857144,0.020833333333333332,-0.023809523809523808,7.214129808,Textile
2014-06-30,2014-07-01,D10,AMER3,L,0.06425070028011204,0.06266339869281046,-0.0015873015873015862,2673.393849,Trade
2014-06-30,2014-07-01,D10,BBSE3,L,0.04044117647058824,0.06266339869281046,0.022222222222222223,13.3250741,Financial Services
2014-06-30,2014-07-01,D10,COGN3,L,0.06425070028011204,0.06266339869281046,-0.0015873015873015862,13.11387779,Other
2014-06-30,2014-07-01,D10,CSNA3,L,0.06425070028011204,0.06266339869281046,-0.0015873015873015862,5.037436258,Basic & Fabricated Metal
2014-06-30,2014-07-01,D10,DAGB33,L,0.06425070028011204,0.04044117647058824,-0.023809523809523808,379.3447038,Trade
2014-06-30,2014-07-01,D10,DASA3,L,0.044642857142857144,0.020833333333333332,-0.023809523809523808,13.22434662,Other
2014-06-30,2014-07-01,D10,ELET3,L,0.0,0.022222222222222223,0.022222222222222223,4.939245655,Electric Power
2014-06-30,2014-07-01,D10,EMBR3,L,0.06425070028011204,0.06266339869281046,-0.0015873015873015862,19.49629116,Vehicle & Parts
2014-06-30,2014-07-01,D10,EZTC3,L,0.06425070028011204,0.04044117647058824,-0.023809523809523808,10.3706972,Construction
2014-06-30,2014-07-01,D10,GFSA3,L,0.0,0.022222222222222223,0.022222222222222223,3357.568545,Construction
2014-06-30,2014-07-01,D10,GOLL54,L,0.04044117647058824,0.06266339869281046,0.022222222222222223,0.156948287,Transportation Services
2014-06-30,2014-07-01,D10,GUAR3,L,0.0196078431372549,0.04183006535947712,0.022222222222222223,10.22507511,Textile
2014-06-30,2014-07-01,D10,MRVE3,L,0.06425070028011204,0.06266339869281046,-0.0015873015873015862,4.384806304,Construction
2014-06-30,2014-07-01,D10,PRML3,L,0.0,0.022222222222222223,0.022222222222222223,10.66003907,Other
2014-06-30,2014-07-01,D10,PSSA3,L,0.06425070028011204,0.06266339869281046,-0.0015873015873015862,8.871582013,Financial Services
2014-06-30,2014-07-01,D10,QUAL3,L,0.0196078431372549,0.0196078431372549,0.0,14.30184102,Other
2014-06-30,2014-07-01,D10,SMLS3,L,0.04044117647058824,0.06266339869281046,0.022222222222222223,21.71885254,Other
2014-06-30,2014-07-01,D10,SMTO3,L,0.0196078431372549,0.0196078431372549,0.0,9.333082941,Other
2014-06-30,2014-07-01,D10,TCSA3,L,0.023809523809523808,0.0,-0.023809523809523808,57.33844653,Construction
2014-06-30,2014-07-01,D10,TIMS3,L,0.0196078431372549,0.0196078431372549,0.0,8.349968572,Telecommunication
2014-06-30,2014-07-01,D10,VALE3,L,0.06425070028011204,0.06266339869281046,-0.0015873015873015862,14.0382829,Mining
2014-06-30,2014-07-01,D10,YDUQ3,L,0.06425070028011204,0.06266339869281046,-0.0015873015873015862,20.54398327,Other
2014-06-30,2014-07-01,LS,AEDU3,,0.023278827473660186,0.0,-0.023278827473660186,18.55,Other
2014-06-30,2014-07-01,LS,ALPA4,L,0.023278827473660186,0.01067172344371383,-0.012607104029946359,7.214129808,Textile
2014-06-30,2014-07-01,LS,AMAR3,S,-0.023278827473660186,-0.022842329740107192,0.0004364977335529994,59.89627936,Trade
2014-06-30,2014-07-01,LS,AMER3,L,0.032407779424115164,0.030703224715516186,-0.001704554708598981,2673.393849,Trade
2014-06-30,2014-07-01,LS,APER3,S,-0.011085155939838186,-0.03205833625652174,-0.020973180316683552,184.7854172,Financial Services
2014-06-30,2014-07-01,LS,AZZA3,S,-0.02143130148368716,-0.01192943003779793,0.00950187144588923,23.72751879,Textile
2014-06-30,2014-07-01,LS,B3SA3,,-0.010346145543848974,0.0,0.010346145543848974,2.56762336,Financial Services
2014-06-30,2014-07-01,LS,BBSE3,L,0.019475097494303952,0.030703224715516186,0.011228127221212233,13.3250741,Financial Services
2014-06-30,2014-07-01,LS,BPHA3,S,-0.034363983413498375,-0.03477175977790512,-0.0004077763644067441,183.0,Trade
2014-06-30,2014-07-01,LS,BRML3,,-0.010346145543848974,0.0,0.010346145543848974,11.15544867,Other
2014-06-30,2014-07-01,LS,BRSR6,S,-0.010346145543848974,-0.009692661905710817,0.0006534836381381567,4.624747459,Financial Services
2014-06-30,2014-07-01,LS,COGN3,L,0.032407779424115164,0.030703224715516186,-0.001704554708598981,13.11387779,Other
2014-06-30,2014-07-01,LS,CSNA3,L,0.032407779424115164,0.030703224715516186,-0.001704554708598981,5.037436258,Basic & Fabricated Metal
2014-06-30,2014-07-01,LS,DAGB33,L,0.032407779424115164,0.020364385349424648,-0.012043394074690518,379.3447038,Trade
2014-06-30,2014-07-01,LS,ELET3,L,0.0,0.010338839366091538,0.010338839366091538,4.939245655,Electric Power
2014-06-30,2014-07-01,LS,EMBR3,L,0.032407779424115164,0.030703224715516186,-0.001704554708598981,19.49629116,Vehicle & Parts
2014-06-30,2014-07-01,LS,ENEV3,S,-0.034363983413498375,-0.03477175977790512,-0.0004077763644067441,17.53942715,Electric Power
2014-06-30,2014-07-01,LS,EZTC3,L,0.032407779424115164,0.01067172344371383,-0.021736055980401337,10.3706972,Construction
2014-06-30,2014-07-01,LS,GFSA3,L,0.0,0.010338839366091538,0.010338839366091538,3357.568545,Construction
2014-06-30,2014-07-01,LS,GOLL54,L,0.019475097494303952,0.030703224715516186,0.011228127221212233,0.156948287,Transportation Services
