month_end,trade_date,next_trade_date,D10,LS,turnover_D10,turnover_LS,turnover_LS_reconst,turnover_LS_reweight,ls_gross_long,ls_gross_short,risk_ls_weighted_multiplier,risk_ls_weighted_score,risk_ls_flagged,risk_ls_high,risk_d10_weighted_multiplier,risk_d10_weighted_score,risk_d10_flagged,risk_d10_high,risk_universe_flagged,risk_universe_high,risk_universe_avg_multiplier,dispersion,dispersion_gate_active,LS_pre_overlay,CDI,BOVA11,beta_est,hedge_ratio,vt_scale,LS_vt,LS_pre_vt,LS_carry,LS_borrow_cost,LS_financing_net,LS_net
2017-07-31,2017-08-01,2017-09-01,0.10184751827491678,0.022139519153848857,0.24242424242424243,0.23907976081889118,0.17975068409851017,0.05932907672038099,0.5,0.49999999999999994,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.225952253864001,1,0.010180216908424687,0.00801452050194662,0.07747578881599515,0.11220473541478179,0.13008500605334689,1.0928424791463136,0.022139519153848857,0.02025865536554124,0.00437930422725815,0.003515690708159088,0.0008636135190990624,0.02300313267294792
2017-08-31,2017-09-01,2017-10-02,0.052900989003145216,0.008502617719155633,0.2777777777777778,0.24422799422799416,0.17211399711399708,0.07211399711399709,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9974747474747475,2.2168810909610923,1,0.00280843503658813,0.006340428944008547,0.037982023775007034,0.07290374811252064,0.13008500605334689,1.0972072679953677,0.008502617719155633,0.007749326829278285,0.003478382359787186,0.0035297322995983993,-5.134993981121324e-05,0.00845126777934442
2017-09-29,2017-10-02,2017-11-01,0.01058591532006251,0.005681213698670408,0.3333333333333333,0.4848484848484846,0.35984848484848486,0.12499999999999979,0.49999999999999983,0.49999999999999983,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.191360666494687,1,0.0036853194952627135,0.006403700615894792,0.01131284916201114,0.06708334077606819,0.13008500605334689,1.1016612521778555,0.005681213698670408,0.005156951546983533,0.003527354419539379,0.0035440608337682007,-1.670641422882183e-05,0.005664507284441586
2017-10-31,2017-11-01,2017-12-01,-0.03241574675254438,-0.0011482142204978425,0.33333333333333326,0.34645909645909634,0.2417480667480667,0.10471102971102964,0.49999999999999983,0.5000000000000001,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.203074517082107,1,0.005548034993493672,0.005674522127418591,-0.05040740229250096,0.07090993079442875,0.13008500605334689,1.137733150952547,-0.0011482142204978425,-0.0010092122388598067,0.0032280459700889524,0.0036601046751888835,-0.00043205870509993105,-0.0015802729255977735
2017-11-30,2017-12-01,2018-01-02,0.11900415678124558,0.05356516317450543,0.3333333333333333,0.4039294039294037,0.3218967734815941,0.08203263044780958,0.5,0.49999999999999994,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.20032433277902,1,0.0372076033597187,0.005357961454301119,0.07620709714950546,0.04908606641945049,0.13008500605334689,1.1367576784535125,0.05356516317450543,0.04712100405372011,0.003045351912017372,0.003656966565473748,-0.0006116146534563757,0.052953548521049054
2017-12-28,2018-01-02,2018-02-01,0.06826070051452666,0.028996674447228615,0.3333333333333334,0.24678809361845225,0.19227994227994225,0.05450815133851001,0.5,0.49999999999999994,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.239017968168662,1,0.01148773077533865,0.005833860500798371,0.10837837837837827,0.10034115282156794,0.13008500605334689,1.1332964889007044,0.028996674447228615,0.025586132782741907,0.003305746811145649,0.0036458318665741497,-0.0003400850554285007,0.028656589391800116
2018-01-31,2018-02-01,2018-03-01,-0.02923346493153592,-0.004320631427206652,0.25,0.26029434132556994,0.20069540124488514,0.059598940080684844,0.5,0.49999999999999994,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2078351134014413,1,-0.004556941590401323,0.0046399365258855685,0.00585223116313105,0.05601161048002947,0.13008500605334689,1.1383101184192221,-0.004320631427206652,-0.0037956540641198356,0.0026408433481192374,0.003661960788215422,-0.0010211174400961845,-0.005341748867302837
2018-02-28,2018-03-01,2018-04-02,-0.02448858866730046,0.004287927646410169,0.17777777777777784,0.28885087963193207,0.21046666809123682,0.07838421154069525,0.5,0.5,0.9973404255319149,0.010638297872340429,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9977876106194691,2.2806376194856735,1,0.004069413295564559,0.00530620535449855,-0.00242424242424244,0.07125651082131436,0.13008500605334689,1.1422120456412266,0.004287927646410169,0.003754055705132201,0.003030405836277109,0.003674513346832132,-0.0006441075105550228,0.003643820135855146
2018-03-29,2018-04-02,2018-05-02,0.05263941274490532,0.048339806833507325,0.1777777777777778,0.2906739537058685,0.22908272283272288,0.06159123087314561,0.5000000000000001,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2506252680537813,1,0.041638660637625516,0.0051751262827499644,0.0015795868772783273,0.0720431544855058,0.13008500605334689,1.1552347697947147,0.048339806833507325,0.041844141206118055,0.0029892429099556165,0.003716407646491038,-0.0007271647365354214,0.047612642096971906
2018-04-30,2018-05-02,2018-06-01,-0.0719131319447629,-0.0009783539360398372,0.16666666666666666,0.30758547008546994,0.2371260683760684,0.07045940170940151,0.5000000000000001,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9977678571428571,2.2491046738425844,1,0.011270127446580222,0.00517512915838636,-0.093169962392333,0.03427276074055826,0.13008500605334689,1.1511567523209372,-0.0009783539360398372,-0.0008498876752165169,0.002978692437404714,0.0037032886028833356,-0.0007245961654786218,-0.001702950101518459
2018-05-30,2018-06-01,2018-07-02,-0.05081750308983433,-0.009340872041671187,0.14814814814814822,0.252205882352941,0.15388071895424837,0.09832516339869264,0.5000000000000001,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.244504243345749,1,0.0010861111200940862,0.005175127953596537,-0.06903010033444812,0.024973421449389476,0.13008500605334689,1.183337048580732,-0.009340872041671187,-0.00789366989977574,0.0030619603193182843,0.003806813100425511,-0.0007448527811072265,-0.010085724822778414
