month_end,equity_curve
2011-01-31,1.0016145646263444
2011-02-28,1.0196632458959374
2011-03-31,1.068407272598041
2011-04-29,1.092556264030473
2011-05-31,1.1181912896232529
2011-06-30,1.124719669509898
2011-07-29,1.129082518167231
2011-08-31,1.1449549896629814
2011-09-30,1.1454747014581335
2011-10-31,1.1790355446042935
2011-11-30,1.2338369568778147
2011-12-29,1.2434934117045273
2012-01-31,1.233607769109474
2012-02-29,1.2798582774916423
2012-03-30,1.3145151551166496
2012-04-30,1.3297962996942
2012-05-31,1.3482469304161657
2012-06-29,1.3384848919132641
2012-07-31,1.3056777021756287
2012-08-31,1.2971874340018508
2012-09-28,1.326034423135229
2012-10-31,1.3416561763005914
2012-11-30,1.3223271515892847
2012-12-28,1.3584690966801636
2013-01-31,1.3818806928494123
2013-02-28,1.4365096763681156
2013-03-28,1.47779039736543
2013-04-30,1.507662060126929
2013-05-31,1.5062014295203474
2013-06-28,1.548637251268245
2013-07-31,1.5409558362738873
2013-08-30,1.5539107583506495
2013-09-30,1.6127649274068154
2013-10-31,1.6639253446091513
2013-11-29,1.6321533064343983
2013-12-30,1.5939290975611469
2014-01-31,1.6290672076428456
2014-02-28,1.6672799406227312
2014-03-31,1.6810695836862573
2014-04-30,1.6812598802798795
2014-05-30,1.7236041172179268
2014-06-30,1.7939467376009808
2014-07-31,1.8191631469825766
2014-08-29,1.8175443349490312
2014-09-30,1.8462942054163314
2014-10-31,1.8237866248778947
2014-11-28,1.8287223308727922
2014-12-30,1.833639516051278
2015-01-30,1.8574777102891804
2015-02-27,1.8683199944080622
2015-03-31,1.8770883563058705
2015-04-30,1.8914059188355339
2015-05-29,1.9201065999609135
2015-06-30,1.9986904712529159
2015-07-31,2.041005577303667
2015-08-31,2.127745812938271
2015-09-30,2.118928384478199
2015-10-30,2.166466351836342
2015-11-30,2.168396998322952
2015-12-30,2.2143847580178853
2016-01-29,2.1915220585137485
2016-02-29,2.1381929696103628
2016-03-31,2.2311078540121243
2016-04-29,2.2241379453761243
2016-05-31,2.2261327810386287
2016-06-30,2.179445802224229
2016-07-29,2.1762177769622366
2016-08-31,2.2225199321399147
2016-09-30,2.2658745690210687
2016-10-31,2.3243989198325523
2016-11-30,2.3417883474903736
2016-12-29,2.3915236312548265
2017-01-31,2.4840477059511272
2017-02-24,2.523478643661244
2017-03-31,2.5649633079434135
2017-04-28,2.5147336504099593
2017-05-31,2.554956840213527
2017-06-30,2.6772258598205014
2017-07-31,2.758550109959303
2017-08-31,2.751493851106799
2017-09-29,2.7440957884471615
2017-10-31,2.715523673732916
2017-11-30,2.821181197205788
2017-12-28,2.8847035104352177
2018-01-31,2.89135008886133
2018-02-28,2.907432972171993
2018-03-29,2.8929925057287993
2018-04-30,2.8623423410874103
2018-05-30,2.8328504037667033
2018-06-29,2.8291987336478006
2018-07-31,2.803584246696867
2018-08-31,2.848687414357924
2018-09-28,2.825523867366313
2018-10-31,2.834332296705689
2018-11-30,2.8105619732401106
2018-12-28,2.7867372953924487
2019-01-31,2.797887728818476
2019-02-28,2.819271056218465
2019-03-29,2.825108313742594
2019-04-30,2.8337485431393397
2019-05-31,2.862893808757439
2019-06-28,2.843710660636542
2019-07-31,2.816174369543331
2019-08-30,2.8000085592117196
2019-09-30,2.8206402480471504
2019-10-31,2.8374192234486624
2019-11-29,2.880421564781004
2019-12-30,2.887552074768944
2020-01-31,2.869638460217069
2020-02-28,2.709044920214143
2020-03-31,2.7647515906086677
2020-04-30,2.845163849827085
2020-05-29,2.8424315060248695
2020-06-30,2.8995382408994392
2020-07-31,2.8971687259428065
2020-08-31,2.895206382028366
2020-09-30,2.8914435312886
2020-10-30,2.8704102491995047
2020-11-30,2.914045314730226
2020-12-30,2.9008557725572395
2021-01-29,2.9041643616506683
2021-02-26,2.991378646910169
2021-03-31,3.1447316143600785
2021-04-30,3.131344694720107
2021-05-31,3.047199555687005
2021-06-30,3.09356333521083
2021-07-30,3.1442288285045557
2021-08-31,3.1314693790739883
2021-09-30,3.0801571047269065
2021-10-29,3.119927363298106
2021-11-30,3.189157704315463
2021-12-30,3.182883840449826
2022-01-31,3.254760917627569
2022-02-25,3.3398017322300753
2022-03-31,3.417141605054159
2022-04-29,3.54172470411576
2022-05-31,3.6133192124534137
2022-06-30,3.61532436277795
2022-07-29,3.577671086770823
2022-08-31,3.6596718877211356
2022-09-30,3.735419197029579
2022-10-31,3.8904284948921273
2022-11-30,3.9508904877454216
2022-12-29,3.904787078782924
2023-01-31,4.031931282337518
2023-02-28,4.134669343336948
2023-03-31,4.097199740220357
2023-04-28,4.108086342035114
2023-05-31,4.2404287367770515
2023-06-30,4.297364858241076
2023-07-31,4.42443721653861
2023-08-31,4.459350112633448
2023-09-29,4.481872972919903
2023-10-31,4.521409597005891
2023-11-30,4.516671316601594
2023-12-28,4.5826171431417615
2024-01-31,4.6320848388765095
2024-02-29,4.6886785408721465
2024-03-28,4.758288306342255
2024-04-30,4.653812735168375
2024-05-31,4.646781665572812
2024-06-28,4.548584944089462
2024-07-31,4.599264334697906
2024-08-30,4.599976850558575
2024-09-30,4.8242513915802485
2024-10-31,4.8922434527626155
2024-11-29,4.929137287983046
2024-12-30,4.932363090638057
2025-01-31,4.939453843163713
2025-02-28,4.711462355841408
2025-03-31,4.8185779824908215
2025-04-30,4.975392494736411
2025-05-30,4.99431850649924
2025-06-30,5.068688620923433
2025-07-31,5.189801489370944
2025-08-29,5.227878813941943
2025-09-30,5.354309199288823
2025-10-31,5.298515974730309
2025-11-28,
