month_end,trade_date,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional
2023-12-28,2024-01-02,LS,ENEV3,S,BUY,0.0014992503748125924,13.51,100,1351.0
2023-12-28,2024-01-02,LS,GGBR4,L,SELL,-0.006745431632010082,18.60665883,-350,-6512.330590500001
2023-12-28,2024-01-02,LS,GOAU4,,SELL,-0.007246376811594203,10.19326448,-700,-7135.2851359999995
2023-12-28,2024-01-02,LS,INTB3,,SELL,-0.007246376811594203,20.70494851,-300,-6211.484553
2023-12-28,2024-01-02,LS,IRBR3,L,BUY,0.008076702755341697,44.34,150,6651.000000000001
2023-12-28,2024-01-02,LS,JHSF3,S,BUY,0.0014992503748125924,4.862805653,300,1458.8416958999999
2023-12-28,2024-01-02,LS,KEPL3,L,BUY,0.007575757575757576,9.355709762,800,7484.5678096
2023-12-28,2024-01-02,LS,LEVE3,,SELL,-0.021159420289855072,30.84434592,-650,-20048.824848
2023-12-28,2024-01-02,LS,MDIA3,,SELL,-0.007246376811594203,37.55807017,-150,-5633.7105255
2023-12-28,2024-01-02,LS,MLAS3,S,SELL,-0.005747126436781609,2.1,-2700,-5670.0
2023-12-28,2024-01-02,LS,MYPK3,S,BUY,0.0018286311389759669,12.04993116,150,1807.489674
2023-12-28,2024-01-02,LS,OIBR3,S,BUY,0.0014992503748125924,6.341104709,200,1268.2209418
2023-12-28,2024-01-02,LS,OPCT3,L,BUY,0.0008303259437474944,6.34,100,634.0
2023-12-28,2024-01-02,LS,PETR4,L,BUY,0.008076702755341697,28.97908882,250,7244.772205
2023-12-28,2024-01-02,LS,PLPL3,L,BUY,0.0008303259437474944,9.987326126,50,499.36630629999996
2023-12-28,2024-01-02,LS,POMO4,L,BUY,0.0008303259437474944,5.190531797,150,778.57976955
2023-12-28,2024-01-02,LS,POSI3,L,BUY,0.0008303259437474944,6.347887856,100,634.7887856
2023-12-28,2024-01-02,LS,PRIO3,,SELL,-0.01391304347826087,46.58,-250,-11645.0
2023-12-28,2024-01-02,LS,PRNR3,,SELL,-0.007246376811594203,11.53291046,-600,-6919.746276
2023-12-28,2024-01-02,LS,QUAL3,S,BUY,0.0014992503748125924,3.369791133,400,1347.9164532
2023-12-28,2024-01-02,LS,RANI3,L,BUY,0.0008303259437474944,9.411280482,50,470.56402410000004
2023-12-28,2024-01-02,LS,RCSL4,S,SELL,-0.006076507200944982,3.52,-1700,-5984.0
