month_end,trade_date,cohort_id,sleeve,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional,rationale
2014-01-31,2014-02-03,0,momentum,LS,PFRM3,L,SELL,-0.0015060355610817741,10.85342783,-83,-900.8345098899999,reweight
2014-01-31,2014-02-03,0,momentum,LS,POMO4,S,OPEN,-0.03361242174392155,2.689285492,-7499,-20166.951904508,add
2014-01-31,2014-02-03,0,momentum,LS,PRML3,S,BUY,0.004858164015847953,9.486456784,307,2912.342232688,reweight
2014-01-31,2014-02-03,0,momentum,LS,PSSA3,L,SELL,-0.0015060355610817741,7.36672748,-123,-906.1074800399999,reweight
2014-01-31,2014-02-03,0,momentum,LS,RSID3,S,BUY,0.004858164015847953,48.25,60,2895.0,reweight
2014-01-31,2014-02-03,0,momentum,LS,SIMH3,L,SELL,-0.0015060355610817741,2.496076901,-362,-903.579838162,reweight
2014-01-31,2014-02-03,0,momentum,LS,TGMA3,S,BUY,0.004858164015847953,11.15512173,261,2911.4867715299997,reweight
2014-01-31,2014-02-03,0,momentum,LS,USIM5,L,CLOSE,-0.033285052482607616,9.086162286,-2198,-19971.384704628003,exit
2014-01-31,2014-02-03,0,momentum,LS,VALE3,L,SELL,-0.0015060355610817741,15.26076009,-59,-900.38484531,reweight
2014-01-31,2014-02-03,0,momentum,LS,YDUQ3,L,SELL,-0.0015060355610817741,13.05936713,-69,-901.09633197,reweight
2014-01-31,2014-02-03,1,momentum,LS,AEDU3,L,BUY,0.0009721185635066243,12.5717988,46,578.3027448,reweight
2014-01-31,2014-02-03,1,momentum,LS,BBAS3,L,BUY,0.0009721185635066243,4.626752179,126,582.9707745540001,reweight
2014-01-31,2014-02-03,1,momentum,LS,BBDC4,S,SELL,-0.0017349263752812205,5.493452158,-189,-1038.262457862,reweight
2014-01-31,2014-02-03,1,momentum,LS,BISA3,S,SELL,-0.0017349263752812205,1.32,-789,-1041.48,reweight
2014-01-31,2014-02-03,1,momentum,LS,BPHA3,S,SELL,-0.0017349263752812205,252.5,-4,-1010.0,reweight
2014-01-31,2014-02-03,1,momentum,LS,COGN3,L,BUY,0.0009721185635066243,7.695737531,76,584.876052356,reweight
2014-01-31,2014-02-03,1,momentum,LS,DAGB33,L,BUY,0.0009721185635066243,344.4405759,2,688.8811518,reweight
2014-01-31,2014-02-03,1,momentum,LS,ENEV3,S,SELL,-0.0017349263752812205,45.82229287,-23,-1053.91273601,reweight
2014-01-31,2014-02-03,1,momentum,LS,EZTC3,L,BUY,0.0009721185635066243,11.52892866,51,587.97536166,reweight
2014-01-31,2014-02-03,1,momentum,LS,GRND3,L,BUY,0.0009721185635066243,2.488646632,234,582.343311888,reweight
2014-01-31,2014-02-03,1,momentum,LS,HGTX3,S,SELL,-0.0017349263752812205,19.13116943,-54,-1033.08314922,reweight
2014-01-31,2014-02-03,1,momentum,LS,KEPL3,L,BUY,0.0065660475050420795,3.018309472,1305,3938.89386096,reweight
2014-01-31,2014-02-03,1,momentum,LS,MBRF3,S,SELL,-0.0017349263752812205,2.533487242,-411,-1041.263256462,reweight
2014-01-31,2014-02-03,1,momentum,LS,MMXM3,S,BUY,0.007562126447505594,92.0,49,4508.0,reweight
2014-01-31,2014-02-03,1,momentum,LS,MPLU3,S,SELL,-0.0017349263752812205,17.07206744,-61,-1041.39611384,reweight
2014-01-31,2014-02-03,1,momentum,LS,OGXP3,S,SELL,-0.0017349263752812205,31.0,-34,-1054.0,reweight
2014-01-31,2014-02-03,1,momentum,LS,OSXB3,S,CLOSE,0.026589963686899525,73.0,219,15987.0,exit
2014-01-31,2014-02-03,1,momentum,LS,PFRM3,L,BUY,0.0009721185635066243,10.85342783,54,586.08510282,reweight
2014-01-31,2014-02-03,1,momentum,LS,PRML3,S,SELL,-0.0017349263752812205,9.486456784,-110,-1043.51024624,reweight
2014-01-31,2014-02-03,1,momentum,LS,PSSA3,L,BUY,0.0009721185635066243,7.36672748,79,581.97147092,reweight
2014-01-31,2014-02-03,1,momentum,LS,SIMH3,L,BUY,0.0009721185635066243,2.496076901,234,584.0819948339999,reweight
2014-01-31,2014-02-03,1,momentum,LS,SMTO3,L,CLOSE,-0.033299370273433014,5.857998867,-3411,-19981.634135337,exit
2014-01-31,2014-02-03,1,momentum,LS,TCSA3,L,BUY,0.0009721185635066243,58.58616933,10,585.8616933,reweight
2014-01-31,2014-02-03,1,momentum,LS,TGMA3,S,SELL,-0.0017349263752812205,11.15512173,-93,-1037.42632089,reweight
2014-01-31,2014-02-03,1,momentum,LS,USIM5,S,SELL,-0.0017349263752812205,9.086162286,-115,-1044.90866289,reweight
2014-01-31,2014-02-03,1,momentum,LS,VALE3,L,BUY,0.0009721185635066243,15.26076009,38,579.9088834199999,reweight
2014-01-31,2014-02-03,1,momentum,LS,YDUQ3,L,BUY,0.0009721185635066243,13.05936713,45,587.67152085,reweight
2014-01-31,2014-02-03,2,momentum,LS,AEDU3,L,SELL,-0.0005087961268521457,12.5717988,-24,-301.7231712,reweight
2014-01-31,2014-02-03,2,momentum,LS,AMAR3,S,SELL,-0.0036254289944113727,57.3859147,-38,-2180.6647586,reweight
2014-01-31,2014-02-03,2,momentum,LS,ARTR3,L,SELL,-0.0005087961268521457,15.72442887,-19,-298.76414853,reweight
2014-01-31,2014-02-03,2,momentum,LS,B3SA3,S,SELL,-0.0036254289944113727,2.051290697,-1060,-2174.3681388200002,reweight
2014-01-31,2014-02-03,2,momentum,LS,BBAS3,L,SELL,-0.0005087961268521457,4.626752179,-66,-305.365643814,reweight
2014-01-31,2014-02-03,2,momentum,LS,BISA3,S,SELL,-0.0036254289944113727,1.32,-1648,-2175.36,reweight
2014-01-31,2014-02-03,2,momentum,LS,BPHA3,S,SELL,-0.0036254289944113727,252.5,-9,-2272.5,reweight
2014-01-31,2014-02-03,2,momentum,LS,COGN3,L,SELL,-0.0005087961268521457,7.695737531,-40,-307.82950124,reweight
2014-01-31,2014-02-03,2,momentum,LS,CTIP3,S,CLOSE,0.030646059842528266,19.63471547,936,18378.09367992,exit
2014-01-31,2014-02-03,2,momentum,LS,DAGB33,L,SELL,-0.0005087961268521457,344.4405759,-1,-344.4405759,reweight
2014-01-31,2014-02-03,2,momentum,LS,ENEV3,S,SELL,-0.0036254289944113727,45.82229287,-47,-2153.64776489,reweight
2014-01-31,2014-02-03,2,momentum,LS,EZTC3,L,SELL,-0.0005087961268521457,11.52892866,-26,-299.75214516,reweight
2014-01-31,2014-02-03,2,momentum,LS,GRND3,L,SELL,-0.0005087961268521457,2.488646632,-123,-306.103535736,reweight
2014-01-31,2014-02-03,2,momentum,LS,HYPE3,L,SELL,-0.0005087961268521457,10.22878198,-30,-306.8634594,reweight
2014-01-31,2014-02-03,2,momentum,LS,KEPL3,L,SELL,-0.008453550357233608,3.018309472,-1680,-5070.759912959999,reweight
2014-01-31,2014-02-03,2,momentum,LS,MBRF3,S,SELL,-0.0036254289944113727,2.533487242,-859,-2176.265540878,reweight
