month_end,trade_date,cohort_id,sleeve,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional,rationale
2021-09-30,2021-10-01,2,momentum,D10,AZEV4,L,SELL,-0.009153318077803202,3.120434059,-1760,-5491.96394384,reweight
2021-09-30,2021-10-01,2,momentum,D10,BIDI3,L,SELL,-0.009153318077803202,15.98886943,-343,-5484.18221449,reweight
2021-09-30,2021-10-01,2,momentum,D10,BPAN4,L,OPEN,0.04347826086956524,14.19534472,1838,26091.04359536,add
2021-09-30,2021-10-01,2,momentum,D10,BRAP4,L,CLOSE,-0.05263157894736844,14.31940421,-2205,-31574.28628305,exit
2021-09-30,2021-10-01,2,momentum,D10,CMIG4,L,OPEN,0.04347826086956524,5.023572505,5193,26087.412018465,add
2021-09-30,2021-10-01,2,momentum,D10,CSNA3,L,SELL,-0.009153318077803202,18.53083645,-296,-5485.127589199999,reweight
2021-09-30,2021-10-01,2,momentum,D10,CSUD3,L,CLOSE,-0.05263157894736844,15.25584904,-2070,-31579.607512799997,exit
2021-09-30,2021-10-01,2,momentum,D10,DEXP3,L,SELL,-0.009153318077803202,9.522827643,-577,-5494.671550010999,reweight
2021-09-30,2021-10-01,2,momentum,D10,ELET3,L,OPEN,0.04347826086956524,34.14297968,764,26085.236475520003,add
2021-09-30,2021-10-01,2,momentum,D10,EMBR3,L,OPEN,0.04347826086956524,23.32596472,1118,26078.428556960003,add
2021-09-30,2021-10-01,2,momentum,D10,FRAS3,L,SELL,-0.009153318077803202,12.50359692,-439,-5489.07904788,reweight
2021-09-30,2021-10-01,2,momentum,D10,INEP3,L,OPEN,0.04347826086956524,8.8,2964,26083.2,add
2021-09-30,2021-10-01,2,momentum,D10,ISAE4,L,CLOSE,-0.05263157894736844,18.11300035,-1743,-31570.95961005,exit
2021-09-30,2021-10-01,2,momentum,D10,JBSS3,L,SELL,-0.009153318077803202,28.43644311,-193,-5488.23352023,reweight
2021-09-30,2021-10-01,2,momentum,D10,LJQQ3,L,OPEN,0.04347826086956524,14.47266219,1802,26079.737266379998,add
2021-09-30,2021-10-01,2,momentum,D10,LWSA3,L,SELL,-0.009153318077803202,22.29385819,-246,-5484.2891147400005,reweight
2021-09-30,2021-10-01,2,momentum,D10,MBRF3,L,CLOSE,-0.05263157894736844,16.90330407,-1868,-31575.372002760003,exit
2021-09-30,2021-10-01,2,momentum,D10,MDNE3,L,CLOSE,-0.05263157894736844,6.654884282,-4745,-31577.42591809,exit
2021-09-30,2021-10-01,2,momentum,D10,OIBR3,L,CLOSE,-0.05263157894736844,100.0705587,-316,-31622.2965492,exit
2021-09-30,2021-10-01,2,momentum,D10,PETZ3,L,OPEN,0.04347826086956524,21.87121785,1193,26092.362895050002,add
