month_end,trade_date,book,ticker,parent_qty,cohort_id,cohort_desired_qty,alloc_ratio
2012-08-31,2012-09-03,D10,B3SA3,5998,1,17995,1.0
2012-08-31,2012-09-03,D10,BEEF3,1822,1,5466,1.0
2012-08-31,2012-09-03,D10,BRSR6,-2448,1,-7344,1.0
2012-08-31,2012-09-03,D10,CIEL3,1608,1,4824,1.0
2012-08-31,2012-09-03,D10,CMIG4,-683,1,-2050,1.0
2012-08-31,2012-09-03,D10,CRUZ3,-86,1,-257,1.0
2012-08-31,2012-09-03,D10,CTIP3,-708,1,-2123,1.0
2012-08-31,2012-09-03,D10,EZTC3,-200,1,-599,1.0
2012-08-31,2012-09-03,D10,HBOR3,538,1,1613,1.0
2012-08-31,2012-09-03,D10,JHSF3,-3090,1,-9269,1.0
2012-08-31,2012-09-03,D10,LEVE3,1838,1,5514,1.0
2012-08-31,2012-09-03,D10,MPLU3,-74,1,-223,1.0
2012-08-31,2012-09-03,D10,MYPK3,-810,1,-2429,1.0
2012-08-31,2012-09-03,D10,RADL3,-575,1,-1724,1.0
2012-08-31,2012-09-03,D10,RPMG3,-1018,1,-3054,1.0
2012-08-31,2012-09-03,D10,SBSP3,-98,1,-295,1.0
2012-08-31,2012-09-03,D10,TAEE11,2164,1,6493,1.0
2012-08-31,2012-09-03,D10,TIMS3,-419,1,-1257,1.0
2012-08-31,2012-09-03,D10,UGPA3,868,1,2603,1.0
2012-08-31,2012-09-03,D10,VLID3,729,1,2188,1.0
2012-08-31,2012-09-03,D10,VSTE3,-36,1,-109,1.0
2012-08-31,2012-09-03,LS,AEDU3,1056,0,328,0.10353535353535354
2012-08-31,2012-09-03,LS,AEDU3,1056,1,2662,0.8402777777777778
2012-08-31,2012-09-03,LS,AEDU3,1056,2,178,0.05618686868686869
2012-08-31,2012-09-03,LS,AMER3,5,0,5,0.3125
2012-08-31,2012-09-03,LS,AMER3,5,1,8,0.5
2012-08-31,2012-09-03,LS,AMER3,5,2,3,0.1875
2012-08-31,2012-09-03,LS,B3SA3,2728,1,8185,1.0
2012-08-31,2012-09-03,LS,BBAS3,-1289,0,715,0.0
2012-08-31,2012-09-03,LS,BBAS3,-1289,1,-4581,1.0
2012-08-31,2012-09-03,LS,BEEF3,829,1,2486,1.0
2012-08-31,2012-09-03,LS,BRFS3,-239,1,-716,1.0
2012-08-31,2012-09-03,LS,CIEL3,518,0,-214,0.0
2012-08-31,2012-09-03,LS,CIEL3,518,1,2194,1.0
2012-08-31,2012-09-03,LS,CIEL3,518,2,-425,0.0
2012-08-31,2012-09-03,LS,CMIG4,-2108,0,-592,0.09359683794466403
2012-08-31,2012-09-03,LS,CMIG4,-2108,1,-4558,0.7206324110671937
2012-08-31,2012-09-03,LS,CMIG4,-2108,2,-1175,0.1857707509881423
2012-08-31,2012-09-03,LS,CRUZ3,-264,0,-74,0.09343434343434344
2012-08-31,2012-09-03,LS,CRUZ3,-264,1,-571,0.7209595959595959
2012-08-31,2012-09-03,LS,CRUZ3,-264,2,-147,0.1856060606060606
2012-08-31,2012-09-03,LS,CSMG3,-175,2,-524,1.0
2012-08-31,2012-09-03,LS,CTIP3,-543,1,-1466,0.9004914004914005
2012-08-31,2012-09-03,LS,CTIP3,-543,2,-162,0.09950859950859951
2012-08-31,2012-09-03,LS,DASA3,302,0,280,0.30837004405286345
2012-08-31,2012-09-03,LS,DASA3,302,1,476,0.5242290748898678
2012-08-31,2012-09-03,LS,DASA3,302,2,152,0.16740088105726872
2012-08-31,2012-09-03,LS,ELET3,407,0,377,0.3082583810302535
2012-08-31,2012-09-03,LS,ELET3,407,1,641,0.5241210139002453
