month_end,trade_date,next_trade_date,D10,LS,turnover_D10,turnover_LS,turnover_LS_reconst,turnover_LS_reweight,ls_gross_long,ls_gross_short,risk_ls_weighted_multiplier,risk_ls_weighted_score,risk_ls_flagged,risk_ls_high,risk_d10_weighted_multiplier,risk_d10_weighted_score,risk_d10_flagged,risk_d10_high,risk_universe_flagged,risk_universe_high,risk_universe_avg_multiplier,dispersion,dispersion_gate_active,LS_pre_overlay,CDI,BOVA11,beta_est,hedge_ratio,vt_scale,LS_vt,LS_pre_vt,LS_carry,LS_borrow_cost,LS_financing_net,LS_net
2017-10-31,2017-11-01,2017-12-01,-0.06710367304727262,-0.014819443453591626,0.46153846153846145,0.3076923076923076,0.2868171683389075,0.020875139353400112,0.49999999999999994,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1420189856990874,1,-0.013744591545470154,0.005674522127418591,-0.05040740229250096,0.024140414238082167,0.12155801179603073,0.7457443718344268,-0.014819443453591626,-0.01987201514794925,0.002115871469686166,0.002399070871374148,-0.00028319940168798196,-0.015102642855279607
2017-11-30,2017-12-01,2018-01-02,0.13492284868328067,0.0244422941518432,0.5641025641025643,0.4645991104700084,0.3967840069534984,0.06781510351651,0.5,0.5000000000000001,0.9952217814641183,0.01911287414352688,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9978448275862069,2.159115505754635,1,0.023611680907280542,0.005357961454301119,0.07620709714950546,0.0784390097467683,0.12155801179603073,0.7434858640677003,0.0244422941518432,0.03287526412152139,0.0019917843007462503,0.002391805217886751,-0.00040002091714050076,0.0240422732347027
2017-12-28,2018-01-02,2018-02-01,0.07047444152296074,0.01610160638155942,0.4444444444444444,0.5525542394456927,0.46843813667199896,0.08411610277369364,0.5,0.49999999999999994,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9978070175438597,2.1626244232427796,1,0.0084950546758938,0.005833860500798371,0.10837837837837827,0.09933259401446166,0.12155801179603073,0.7430602432861514,0.01610160638155942,0.021669314873247386,0.002167454901510353,0.002390435989424786,-0.0002229810879144328,0.015878625293644987
2018-01-31,2018-02-01,2018-03-01,0.005819224609650505,0.007906875382043474,0.4615384615384616,0.4832944832944834,0.43046349996443517,0.05283098333004824,0.49999999999999983,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1299094267078487,1,0.009497916758530206,0.0046399365258855685,0.00585223116313105,0.062411125325771255,0.12155801179603073,0.7744775417724109,0.007906875382043474,0.010209302343291189,0.0017967633172739376,0.0024915059116425655,-0.0006947425943686278,0.007212132787674846
2018-02-28,2018-03-01,2018-04-02,-0.01960931846763361,0.006517137392222433,0.3333333333333334,0.41857977492544163,0.34194957060166525,0.07663020432377642,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1355110354900417,1,0.008709190500258096,0.00530620535449855,-0.00242424242424244,0.056248045713869266,0.12155801179603073,0.7745123270313743,0.006517137392222433,0.008414504411055596,0.002054860728409505,0.002491617816344343,-0.0004367570879348381,0.006080380304287595
2018-03-29,2018-04-02,2018-05-02,-0.036629726222965085,-0.03804379508094023,0.3333333333333333,0.3333333333333333,0.28787878787878785,0.04545454545454547,0.49999999999999994,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1599762666761393,1,-0.05074457658630546,0.0051751262827499644,0.0015795868772783273,0.05070638596350814,0.12155801179603073,0.7525591425683974,-0.03804379508094023,-0.050552565146044406,0.0019472942990147455,0.0024209940914217166,-0.00047369979240697115,-0.038517494873347206
2018-04-30,2018-05-02,2018-06-01,-0.11532579710128998,-0.015465425387006427,0.2222222222222222,0.41941391941391926,0.34859584859584863,0.07081807081807065,0.5000000000000001,0.5000000000000001,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9979166666666667,2.1062713251217864,1,-0.0092429446947132,0.00517512915838636,-0.093169962392333,0.10939262668931943,0.12155801179603073,0.7518985499756027,-0.015465425387006427,-0.020568500082236152,0.0019455860550635833,0.002418868955105474,-0.00047328290004189084,-0.01593870828704832
2018-05-30,2018-06-01,2018-07-02,-0.07742988869045604,-0.009525566616047648,0.42857142857142855,0.44505494505494525,0.43223443223443225,0.012820512820512995,0.5,0.5000000000000001,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0809945891744723,1,-0.004156614198600245,0.005175127953596537,-0.06903010033444812,0.059808465606296345,0.12155801179603073,0.7591438239341141,-0.009525566616047648,-0.012547775949336275,0.001964333212020801,0.002442177110507617,-0.00047784389848681613,-0.010003410514534464
2018-06-29,2018-07-02,2018-08-01,0.051887584382009015,0.011060833466266354,0.34391534391534395,0.44063779357897,0.3318579568579569,0.10877983672101306,0.5000000000000001,0.5,0.9904684095860566,0.0381263616557734,2.0,0.0,0.9792328042328043,0.08306878306878314,2.0,0.0,2.0,0.0,0.9958333333333333,2.127315931553971,1,0.0022664522773221418,0.005422231405763034,0.09225463428653535,0.046802310729929075,0.12155801179603073,0.8204914315572598,0.011060833466266354,0.013480742200163306,0.0022244472041746226,0.002639533287819614,-0.0004150860836449914,0.010645747382621362
2018-07-31,2018-08-01,2018-09-03,-0.06518653350741511,-0.025176827092592374,0.3555555555555557,0.4638671790935763,0.3233110752718596,0.1405561038217167,0.5,0.5,0.9870501666547598,0.05179933338096161,2.0,0.0,0.9911330822347773,0.03546767106089142,1.0,0.0,3.0,0.0,0.99375,2.0619770359556755,1,-0.027248736870839955,0.005669392098232251,-0.030916984607288645,0.04103945568145292,0.12155801179603073,0.8119738292056182,-0.025176827092592374,-0.03100694405043045,0.0023016990056348575,0.002612132032821865,-0.00031043302718700757,-0.025487260119779382
2018-08-31,2018-09-03,2018-10-01,0.02924611666589116,0.030611444037989023,0.3333333333333335,0.4440580945647597,0.3688700110647707,0.07518808349998903,0.5,0.5,0.9924632899044205,0.030146840382318095,1.0,0.0,0.9865876276893227,0.053649489242709604,1.0,0.0,1.0,0.0,0.9979338842975206,2.111090335221996,1,0.03287405248717538,0.0046814831535106904,0.04194949769209888,0.056739314719189214,0.12155801179603073,0.8061296677769019,0.030611444037989023,0.0379733500224691,0.001886941229621368,0.0025933312775218245,-0.0007063900479004565,0.029905053990088568
